osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access
34480017,Trindelvej,residential,False,False,200.516,"LINESTRING (10.5794066 57.7222996, 10.5787845 57.7229209, 10.5787221 57.7229856, 10.5785568 57.7231679, 10.5783822 57.7233779, 10.5781706 57.7236324, 10.5779312 57.7239205)",,,,
113213555,Christian X's Vej,tertiary,False,True,241.65800000000002,"LINESTRING (10.5794066 57.7222996, 10.5801067 57.7223555, 10.5810743 57.7224328, 10.5811608 57.7224397, 10.581269 57.7224479, 10.5816312 57.7224773, 10.5822215 57.7225192, 10.5824592 57.7225393, 10.582636 57.7225543, 10.5831277 57.7225959, 10.5831697 57.7225995, 10.5832498 57.7226063, 10.5834319 57.722619)",2,50,,
113213555,Christian X's Vej,tertiary,False,True,8.533,"LINESTRING (10.5882231 57.723025, 10.5883594 57.7230493)",2,50,,
24340357,Skolevej,residential,False,False,60.232,"LINESTRING (10.5882231 57.723025, 10.5883798 57.7228376, 10.5885628 57.7226188, 10.5886367 57.7225304)",,50,,
113213555,Christian X's Vej,tertiary,False,False,93.381,"LINESTRING (10.5882231 57.723025, 10.5881171 57.723008, 10.5879824 57.7229927, 10.5873385 57.722914, 10.5873058 57.72291, 10.5866891 57.7228409)",2,50,,
24340357,Skolevej,residential,False,True,43.384,"LINESTRING (10.5888038 57.7221512, 10.5887832 57.7222373, 10.5886367 57.7225304)",,50,,
32542045,Kirkevej,residential,False,False,92.06199999999998,"LINESTRING (10.5832011 57.7234377, 10.5832504 57.7232605, 10.5833774 57.7228039, 10.5833809 57.7227914, 10.5833945 57.7227424, 10.5834075 57.7226995, 10.5834319 57.722619)",,50,,
"[32542204, 32542045, 32542198]",Kirkevej,residential,False,"[False, True]",245.95999999999998,"LINESTRING (10.5832011 57.7234377, 10.5830794 57.7238632, 10.5830556 57.7239465, 10.5828936 57.7245132, 10.5829193 57.7248163, 10.5829361 57.7250472, 10.5830101 57.7256354)",,50,yes,
123385008,Kirkevej,residential,False,False,130.445,"LINESTRING (10.5832011 57.7234377, 10.5816343 57.723309, 10.5814033 57.7232901, 10.5813344 57.7232844, 10.5810298 57.7232594)",,,,
32542283,Ankermedet,residential,False,False,208.14600000000002,"LINESTRING (10.5829558 57.7272061, 10.5829405 57.7273805, 10.5828627 57.7290773)",,50,,
1118917830,Skagavej,tertiary,False,False,97.717,"LINESTRING (10.5829558 57.7272061, 10.582641 57.7272004, 10.5824719 57.7271974, 10.5824518 57.727197, 10.5813109 57.7271765)",2,50,,
1118917830,Skagavej,tertiary,False,True,68.997,"LINESTRING (10.5829558 57.7272061, 10.5832862 57.7272118, 10.5841173 57.727226)",2,50,,
1118926922,Ankermedet,residential,False,True,174.69,"LINESTRING (10.5829558 57.7272061, 10.5829646 57.7270233, 10.5829884 57.7265296, 10.5830005 57.7262796, 10.5830101 57.7256354)",,50,,
