osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,width
144551184,Honnørkajen,residential,False,True,32.186,"LINESTRING (10.5221201 54.8551577, 10.5221187 54.8552235, 10.5220478 54.8554434)",,,
43852294,Havnegade,unclassified,False,True,10.669,"LINESTRING (10.5204878 54.8559344, 10.5204489 54.8560277)",40,,
747799074,Havnegade,unclassified,False,False,12.449,"LINESTRING (10.5204878 54.8559344, 10.5205191 54.8558239)",40,,
204951498,Havnegade,unclassified,False,False,9.379,"LINESTRING (10.5216565 54.8522295, 10.5216433 54.8521455)",40,,
"[27921562, 144551242]","['Beddingsvej', 'Værftskajen']",unclassified,False,False,130.15,"LINESTRING (10.5216565 54.8522295, 10.522798 54.8522431, 10.5228632 54.852245, 10.5228394 54.8527204)",,,
204951498,Havnegade,unclassified,False,True,41.494,"LINESTRING (10.5216565 54.8522295, 10.5216808 54.8525089, 10.521683 54.8526023)",40,,
27921538,Havnepladsen,unclassified,False,False,62.93,"LINESTRING (10.5215631 54.8514287, 10.5219291 54.8514572, 10.5219136 54.8518104)",30,,
204951498,Havnegade,unclassified,False,True,41.8,"LINESTRING (10.5215631 54.8514287, 10.5215746 54.8515275, 10.5216024 54.8517673, 10.521606 54.8518038)",40,,
43174978,Thomsens Plads,unclassified,False,True,19.704,"LINESTRING (10.5219136 54.8518104, 10.521606 54.8518038)",30,,
27921538,Havnepladsen,unclassified,False,True,62.93,"LINESTRING (10.5219136 54.8518104, 10.5219291 54.8514572, 10.5215631 54.8514287)",30,,
43174978,Thomsens Plads,unclassified,False,False,108.554,"LINESTRING (10.5219136 54.8518104, 10.5228359 54.8518301, 10.5230362 54.8518344, 10.5230574 54.8515051)",30,,
43174978,Thomsens Plads,unclassified,False,True,108.554,"LINESTRING (10.5230574 54.8515051, 10.5230362 54.8518344, 10.5228359 54.8518301, 10.5219136 54.8518104)",30,,
43174978,Thomsens Plads,unclassified,False,False,19.704,"LINESTRING (10.521606 54.8518038, 10.5219136 54.8518104)",30,,
204951498,Havnegade,unclassified,False,True,10.507,"LINESTRING (10.521606 54.8518038, 10.5216134 54.8518982)",40,,
204951498,Havnegade,unclassified,False,False,41.8,"LINESTRING (10.521606 54.8518038, 10.5216024 54.8517673, 10.5215746 54.8515275, 10.5215631 54.8514287)",40,,
27921564,Søndre Værft,unclassified,False,False,73.349,"LINESTRING (10.5228394 54.8527204, 10.5220625 54.8527034, 10.5216947 54.8526914)",,,
"[144551242, 376417002]","['Værftsvej', 'Værftskajen']",unclassified,False,False,167.19799999999998,"LINESTRING (10.5228394 54.8527204, 10.5229426 54.8527684, 10.5228447 54.8532347, 10.5227309 54.8535114, 10.5220427 54.8533885, 10.5216045 54.8533324)",,,
"[144551242, 27921562]","['Beddingsvej', 'Værftskajen']",unclassified,False,True,130.15,"LINESTRING (10.5228394 54.8527204, 10.5228632 54.852245, 10.522798 54.8522431, 10.5216565 54.8522295)",,,
27923429,Fiolstræde,residential,False,True,96.293,"LINESTRING (10.5216045 54.8533324, 10.5210034 54.8532878, 10.5201052 54.8532836)",,,
204951498,Havnegade,unclassified,False,False,52.234,"LINESTRING (10.5216045 54.8533324, 10.5217012 54.8528941, 10.5217037 54.8528662)",40,,
204951498,Havnegade,unclassified,False,True,25.847,"LINESTRING (10.5216045 54.8533324, 10.5215742 54.8534473, 10.5215438 54.8535622)",40,,
"[376417002, 144551242]","['Værftsvej', 'Værftskajen']",unclassified,False,True,167.198,"LINESTRING (10.5216045 54.8533324, 10.5220427 54.8533885, 10.5227309 54.8535114, 10.5228447 54.8532347, 10.5229426 54.8527684, 10.5228394 54.8527204)",,,
204951498,Havnegade,unclassified,False,False,9.936,"LINESTRING (10.5216947 54.8526914, 10.521683 54.8526023)",40,,
204951498,Havnegade,unclassified,False,True,19.445,"LINESTRING (10.5216947 54.8526914, 10.5217037 54.8528662)",40,,
27921564,Søndre Værft,unclassified,False,True,73.349,"LINESTRING (10.5216947 54.8526914, 10.5220625 54.8527034, 10.5228394 54.8527204)",,,
27921583,Prinsebroen,residential,False,False,24.643,"LINESTRING (10.5213982 54.8541185, 10.5217718 54.854172)",,,
27922628,Prinsensgade,residential,False,True,76.387,"LINESTRING (10.5213982 54.8541185, 10.520717 54.8539873, 10.5203778 54.8539383, 10.5202662 54.8539055)",40,,
204951498,Havnegade,unclassified,False,False,62.556,"LINESTRING (10.5213982 54.8541185, 10.5214817 54.8537995, 10.5215438 54.8535622)",40,,
204951498,Havnegade,unclassified,False,True,49.573,"LINESTRING (10.5213982 54.8541185, 10.521295 54.854371, 10.5212004 54.8545493)",40,,
27921583,Prinsebroen,residential,False,True,24.643,"LINESTRING (10.5217718 54.854172, 10.5213982 54.8541185)",,,
27921583,Prinsebroen,residential,False,False,135.567,"LINESTRING (10.5217718 54.854172, 10.5224119 54.8542243, 10.5223262 54.8545005, 10.5218509 54.8544544, 10.5217601 54.8542382, 10.5217718 54.854172)",,,
27921583,Prinsebroen,residential,False,True,135.567,"LINESTRING (10.5217718 54.854172, 10.5217601 54.8542382, 10.5218509 54.8544544, 10.5223262 54.8545005, 10.5224119 54.8542243, 10.5217718 54.854172)",,,
204951498,Havnegade,unclassified,False,False,4.845,"LINESTRING (10.5208203 54.8552518, 10.5208428 54.8552102)",40,,
204951498,Havnegade,unclassified,False,True,14.967,"LINESTRING (10.5208203 54.8552518, 10.5207507 54.8553803)",40,,
27921599,Pakhusvej,residential,False,False,38.347,"LINESTRING (10.5208203 54.8552518, 10.520896 54.8552646, 10.5211064 54.8553003, 10.5212854 54.8553306, 10.5213141 54.8553346, 10.5213964 54.8553462)",40,,
27921612,Havnepladsen,residential,True,False,61.298,"LINESTRING (10.5220478 54.8554434, 10.5219121 54.8559891)",,,
27921599,Pakhusvej,residential,False,True,43.081,"LINESTRING (10.5220478 54.8554434, 10.5218809 54.8554219, 10.5213964 54.8553462)",40,,
144551184,Honnørkajen,residential,False,False,32.186,"LINESTRING (10.5220478 54.8554434, 10.5221187 54.8552235, 10.5221201 54.8551577)",,,
747799071,Havnepladsen,residential,False,True,10.397,"LINESTRING (10.5218831 54.8560811, 10.5219121 54.8559891)",,,
785852137,Havnepladsen,residential,True,False,17.674,"LINESTRING (10.5218831 54.8560811, 10.5221187 54.856164)",40,,
204951500,Havnepladsen,residential,False,False,18.249,"LINESTRING (10.5221187 54.856164, 10.5219702 54.8563041)",40,,
785852137,Havnepladsen,residential,True,False,64.073,"LINESTRING (10.5221187 54.856164, 10.5223183 54.856219, 10.5223733 54.8562921, 10.5223225 54.8563981, 10.5221659 54.8564249, 10.5219702 54.8563041)",40,,
204951500,Havnepladsen,residential,False,True,18.249,"LINESTRING (10.5219702 54.8563041, 10.5221187 54.856164)",40,,
785852137,Havnepladsen,residential,True,False,44.275,"LINESTRING (10.5219702 54.8563041, 10.5213235 54.8561628)",40,,
27921622,Havnepladsen,residential,True,False,59.214,"LINESTRING (10.5213235 54.8561628, 10.5204878 54.8559344)",40,,
747799072,Havnepladsen,residential,False,True,15.545,"LINESTRING (10.5213235 54.8561628, 10.5214231 54.8562903)",,,
747799072,Havnepladsen,residential,False,False,15.545,"LINESTRING (10.5214231 54.8562903, 10.5213235 54.8561628)",,,
747799074,Havnegade,unclassified,False,True,12.449,"LINESTRING (10.5205191 54.8558239, 10.5204878 54.8559344)",40,,
1133991734,Havnegade,unclassified,False,False,7.707,"LINESTRING (10.5205191 54.8558239, 10.5205472 54.8557565)",40,,
"[785852137, 673134651]",Havnepladsen,residential,True,False,94.732,"LINESTRING (10.5205191 54.8558239, 10.5210105 54.8559495, 10.5214466 54.8560784, 10.521693 54.8560463, 10.5218831 54.8560811)",40,,
1133991734,Havnegade,unclassified,False,True,7.707,"LINESTRING (10.5205472 54.8557565, 10.5205191 54.8558239)",40,,
27921653,Kongensgade,residential,False,False,99.00099999999999,"LINESTRING (10.5205472 54.8557565, 10.5198998 54.8556457, 10.5197673 54.8556378, 10.5192172 54.8556578, 10.5190321 54.855643)",40,,
"[204951498, 785852135]",Havnegade,unclassified,False,False,43.812999999999995,"LINESTRING (10.5205472 54.8557565, 10.5206633 54.8555417, 10.5207302 54.8554179, 10.5207507 54.8553803)",40,,
27921653,Kongensgade,residential,False,False,47.189,"LINESTRING (10.5190321 54.855643, 10.5187956 54.8555639, 10.5183678 54.8554609)",40,,
