osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry
26316217,2,Kirkegade,tertiary,50,False,True,7.838,,"LINESTRING (9.9184459 57.0597312, 9.9185579 57.0597667)"
"[681923789, 496812113, 340533881, 340533878, 340533879, 339251097]","['1', '2']",Vesterbrogade,primary,50,True,False,208.34699999999998,55,"LINESTRING (9.9184459 57.0597312, 9.91852 57.0596185, 9.9187022 57.0592206, 9.9187627 57.0591069, 9.9187661 57.059101, 9.9189283 57.0589128, 9.9191275 57.0587349, 9.9193401 57.058587, 9.9196646 57.0584231, 9.9198119 57.0583659, 9.9199763 57.0583021, 9.9200296 57.0582864, 9.9202468 57.0582241)"
339252099,2,Vesterbrogade,primary,50,True,False,25.647,55,"LINESTRING (9.9224342 57.0575747, 9.9223615 57.0576054, 9.9222857 57.0576326, 9.9220627 57.0576827)"
744772914,,Laurits Hauges Vej,residential,50,False,False,6.479,,"LINESTRING (9.9162249 57.0609387, 9.9161658 57.0608901)"
105176614,,Ane Dams Gade,residential,,False,False,110.69400000000002,,"LINESTRING (9.9280851 57.0589168, 9.9280693 57.0589953, 9.9280672 57.0590249, 9.9280746 57.0590603, 9.9280991 57.0591011, 9.9284649 57.0595455, 9.9287065 57.0598389)"
339311503,2,Østergade,secondary,50,False,False,54.80499999999999,180,"LINESTRING (9.9280851 57.0589168, 9.9279191 57.0588852, 9.9277635 57.0588601, 9.9275443 57.0588353, 9.9272056 57.0588017)"
339311503,2,Østergade,secondary,50,False,True,82.591,180,"LINESTRING (9.9280851 57.0589168, 9.9282584 57.0589552, 9.9284879 57.059015, 9.9293026 57.0592524)"
681931236,3,Engvej,tertiary,50,False,False,7.045,,"LINESTRING (9.9253554 57.0578323, 9.9254401 57.0577888)"
"[253088403, 671174197, 671174198, 671174199, 671174204, 671174205]","['1', '2', '3']",Østerbrogade,secondary,50,True,False,122.068,180,"LINESTRING (9.9253554 57.0578323, 9.9252838 57.0577961, 9.9251998 57.0577643, 9.9250927 57.0577293, 9.9249908 57.0576987, 9.9248593 57.0576637, 9.9247212 57.0576345, 9.9243189 57.0575925, 9.9240962 57.0575605, 9.9239454 57.0575389, 9.9235535 57.0574827, 9.9234748 57.0574713)"
"[339256204, 344610934]",2,Østerbrogade,secondary,50,True,False,48.149,180,"LINESTRING (9.9233272 57.0574512, 9.9231689 57.0574304, 9.9231022 57.0574235, 9.9229681 57.0574054, 9.9228235 57.0573799, 9.9227259 57.057356, 9.9225805 57.0573099)"
"[671174189, 340533887]",1,,primary_link,50,True,False,57.135999999999996,,"LINESTRING (9.9233272 57.0574512, 9.9231583 57.0574515, 9.9229493 57.0574519, 9.9228395 57.0574622, 9.9227042 57.0574935, 9.9224342 57.0575747)"
26316231,,Garvergade,residential,,False,True,37.491,,"LINESTRING (9.9226802 57.0593487, 9.9223623 57.0594549, 9.9221555 57.0595283)"
31985057,,Tinghusgade,residential,,False,False,46.845,,"LINESTRING (9.9226802 57.0593487, 9.9226832 57.0591835, 9.9227076 57.0590592, 9.9227658 57.058932)"
31985057,,Tinghusgade,residential,,False,True,73.259,,"LINESTRING (9.9226802 57.0593487, 9.9226971 57.059485, 9.922731 57.0595846, 9.9227972 57.0596879, 9.9228768 57.059781, 9.9230337 57.0599201, 9.9230801 57.0599582)"
32344853,,Bryggergade,residential,,False,False,88.734,,"LINESTRING (9.9226802 57.0593487, 9.9236346 57.0592314, 9.9236977 57.0592247, 9.9236264 57.058997)"
31985053,,Torvegade,residential,,False,True,116.32300000000001,,"LINESTRING (9.9226049 57.0585322, 9.9224206 57.0585782, 9.9214848 57.0587255, 9.921435 57.058735, 9.9207805 57.0588605)"
31985058,,Torvet,living_street,,False,False,34.643,,"LINESTRING (9.9226049 57.0585322, 9.9225858 57.0585014, 9.9225567 57.0582228)"
31985058,,Torvet,living_street,,False,True,48.415,,"LINESTRING (9.9226049 57.0585322, 9.9228359 57.0587695, 9.9227658 57.058932)"
26463726,,Skansevej,residential,,False,False,23.208,,"LINESTRING (9.9244089 57.0623904, 9.9242588 57.0621983)"
32133413,,Bakkelygade,residential,,False,False,51.788,,"LINESTRING (9.9244089 57.0623904, 9.9236505 57.0626069)"
