osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,width
4832077,Vandværksvej,residential,False,True,29.819000000000003,"LINESTRING (11.8493878 55.9681469, 11.8494524 55.9681577, 11.849847 55.9682235)",,,,
"[139189006, 563890247]",Skansevej,tertiary,False,False,61.313,"LINESTRING (11.8493878 55.9681469, 11.8493865 55.9681093, 11.8493696 55.9675956)",50,,,
139189006,Skansevej,tertiary,False,True,182.088,"LINESTRING (11.8493878 55.9681469, 11.8493839 55.9682479, 11.8493718 55.9685681, 11.8494188 55.9688986, 11.8494928 55.9692819, 11.8495886 55.9697782)",50,,,
4832075,Havlitvej,residential,False,False,22.846000000000004,"LINESTRING (11.856785 55.968613, 11.8567676 55.968773, 11.8567519 55.9688173)",,,,
4832075,Havlitvej,residential,False,True,74.42800000000001,"LINESTRING (11.856785 55.968613, 11.856848 55.9684201, 11.8568631 55.9683997, 11.8571444 55.9680211, 11.8571726 55.9679831)",,,,
4832076,Gærdesmuttevej,residential,False,False,86.583,"LINESTRING (11.856785 55.968613, 11.85655 55.9685973, 11.8563041 55.9685651, 11.8554591 55.9683883)",,,,
93671511,Lille Karlsmindevej,tertiary,False,False,2.761,"LINESTRING (11.8571726 55.9679831, 11.8571303 55.9679756)",50,2,,
4832075,Havlitvej,residential,False,False,74.428,"LINESTRING (11.8571726 55.9679831, 11.8571444 55.9680211, 11.8568631 55.9683997, 11.856848 55.9684201, 11.856785 55.968613)",,,,
93671511,Lille Karlsmindevej,tertiary,False,True,49.108000000000004,"LINESTRING (11.8571726 55.9679831, 11.8575799 55.9680323, 11.8579497 55.9680571)",50,2,,
93671511,Lille Karlsmindevej,tertiary,False,False,7.601,"LINESTRING (11.8580701 55.9680686, 11.8579497 55.9680571)",50,2,,
93671511,Lille Karlsmindevej,tertiary,False,True,83.852,"LINESTRING (11.8580701 55.9680686, 11.8594175 55.9680629)",50,2,,
4832079,Amtsvejen,secondary,False,False,75.964,"LINESTRING (11.8494738 55.9664095, 11.8497191 55.9664533, 11.8500141 55.966506, 11.8506366 55.9666173)",50,2,16;225,
45864598,Amtsvejen,secondary,False,True,58.879,"LINESTRING (11.8494738 55.9664095, 11.8486529 55.9663006, 11.8485532 55.9662874)",50,2,16;225,
563890247,Skansevej,tertiary,False,True,28.549,"LINESTRING (11.8494738 55.9664095, 11.8494612 55.9664737, 11.8494236 55.9666647)",50,,,
563890246,Nørregade,residential,True,False,15.619,"LINESTRING (11.8508009 55.9632386, 11.8507354 55.9633742)",50,,,6
