osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,width
4674549,Kirchstrasse,residential,30,False,False,70.606,"LINESTRING (8.5924438 47.4134474, 8.5924729 47.4134739, 8.5925158 47.413513, 8.5926872 47.4137272, 8.5929089 47.4139981)",,,
35110853,Bahnhofstrasse,tertiary,30,False,False,92.60799999999999,"LINESTRING (8.5924438 47.4134474, 8.592324 47.4135001, 8.5914313 47.4139208)",,,
55283346,Neugutstrasse,tertiary,30,False,True,174.406,"LINESTRING (8.5924438 47.4134474, 8.592548 47.4134015, 8.5933376 47.4130777, 8.5943415 47.412699, 8.594447 47.4126591)",,,
"[1228625298, 4374926]",Bahnhofstrasse,residential,50,False,True,66.881,"LINESTRING (8.5924438 47.4134474, 8.5924118 47.4134182, 8.5923453 47.4133576, 8.592249 47.4132414, 8.5920283 47.4129719, 8.5919759 47.4129391)",,,
4674549,Kirchstrasse,residential,30,False,True,57.93000000000001,"LINESTRING (8.5932823 47.4144537, 8.5931262 47.4142632, 8.5929089 47.4139981)",,,
221349162,Rosenbergstrasse,residential,30,False,False,37.394000000000005,"LINESTRING (8.5932823 47.4144537, 8.5930476 47.4145538, 8.5929467 47.4146001, 8.5928976 47.4146572)",,,
221349163,Rosenbergstrasse,residential,30,False,True,23.122,"LINESTRING (8.5932823 47.4144537, 8.5934374 47.4144014, 8.5935583 47.4143623)",,,
221348691,Neugutstrasse,tertiary,30,False,True,11.382,"LINESTRING (8.594447 47.4126591, 8.5945784 47.4126084)",,,
55283346,Neugutstrasse,tertiary,30,False,False,174.40599999999998,"LINESTRING (8.594447 47.4126591, 8.5943415 47.412699, 8.5933376 47.4130777, 8.592548 47.4134015, 8.5924438 47.4134474)",,,
"[735238209, 122398946, 4473603, 739545511, 4674550, 757341628]",Bahnhofplatz,residential,,False,True,215.038,"LINESTRING (8.594447 47.4126591, 8.5943528 47.4125449, 8.5942511 47.4124215, 8.5941959 47.4123859, 8.5938063 47.412474, 8.5936712 47.4125045, 8.5931314 47.4126319, 8.5930578 47.4126493, 8.5930023 47.4126622, 8.5927744 47.4127149, 8.5925803 47.4127589, 8.5923966 47.4128005, 8.5921667 47.4128527, 8.5920522 47.412882, 8.5919759 47.4129391)",,,
"[802154366, 802154367]",Schwarzackerstrasse,residential,50,False,True,152.095,"LINESTRING (8.5854327 47.4142406, 8.585553 47.4142683, 8.5855929 47.4142775, 8.5858875 47.4142828, 8.5859091 47.4142826, 8.5859394 47.4142824, 8.5860154 47.4142778, 8.5860824 47.414269, 8.5864875 47.4141837, 8.5873763 47.4139836)",,,
"[1228625298, 4374926]",Bahnhofstrasse,residential,50,False,False,66.881,"LINESTRING (8.5919759 47.4129391, 8.5920283 47.4129719, 8.592249 47.4132414, 8.5923453 47.4133576, 8.5924118 47.4134182, 8.5924438 47.4134474)",,,
