osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,junction,tunnel,access
134361134,True,Avenue de la Croisette,residential,30,False,94.87799999999999,"LINESTRING (6.1456234 46.1885349, 6.1455915 46.1884494, 6.1453427 46.1877832, 6.1453355 46.1877641, 6.1453149 46.1877088)",,,,,
"[278906696, 917310806]",True,Rue de l'Aubépine,residential,30,False,47.193,"LINESTRING (6.1456234 46.1885349, 6.1454323 46.1887386, 6.1452894 46.1888908)",,,,,
917317671,True,Rue de la Colline,residential,30,False,35.926,"LINESTRING (6.1453149 46.1877088, 6.1452 46.1877393, 6.1448791 46.1878244)",,,,,
917317672,True,Avenue de la Croisette,residential,30,False,59.696000000000005,"LINESTRING (6.1453149 46.1877088, 6.1452924 46.1876519, 6.1451928 46.1873994, 6.1451378 46.18726, 6.1451096 46.1871911)",,,,,
5070016,True,Quai Capo d'Istria,tertiary,50,False,79.95,"LINESTRING (6.1441047 46.1873671, 6.1443763 46.1873016, 6.1446563 46.1872502, 6.1450438 46.1871983, 6.1451096 46.1871911)",1,,,,
39619663,True,Rue de la Colline,residential,30,False,45.449,"LINESTRING (6.1443227 46.187961, 6.1444146 46.1879364, 6.1448791 46.1878244)",,,,,
39619669,True,Rue de la Colline,residential,30,False,65.975,"LINESTRING (6.1443227 46.187961, 6.1442505 46.1879796, 6.1439544 46.188058, 6.1435207 46.1881702)",,,,,
134361137,True,Boulevard de la Cluse,tertiary,50,False,68.147,"LINESTRING (6.1443227 46.187961, 6.1442985 46.1878937, 6.1441322 46.1874293, 6.1441047 46.1873671)",,,,,
5070019,True,Rue de Carouge,residential,30,False,85.1,"LINESTRING (6.1428889 46.1883668, 6.1429006 46.1884074, 6.1429198 46.1884451, 6.1430144 46.1886107, 6.1430419 46.1886601, 6.1430625 46.1887117, 6.1431862 46.1891018)",,,,,
"[638433644, 556843019, 558361588, 171882431]",False,Pont de Carouge,tertiary,,"[False, True]",100.78800000000001,"LINESTRING (6.1413684 46.1878614, 6.1414087 46.1878852, 6.1414426 46.1878995, 6.1414711 46.1879111, 6.1415055 46.1879219, 6.1424095 46.1881981, 6.1424421 46.1882087, 6.142483 46.1882236, 6.1425458 46.1882525)",2,yes,,,
"[734866625, 14325948, 287716876]",False,Place de l'Octroi,tertiary,30,False,135.122,"LINESTRING (6.1413684 46.1878614, 6.1413407 46.1878595, 6.1412027 46.1878505, 6.1411342 46.1878407, 6.1409726 46.1878176, 6.1407641 46.187786, 6.1406542 46.1877694, 6.1404713 46.187739, 6.1402355 46.1876845, 6.140012 46.1876295, 6.1397716 46.1875697, 6.1396762 46.1875524)","['2', '3']",,,,
5172444,True,Rue Blanche,residential,30,False,48.41,"LINESTRING (6.1431862 46.1891018, 6.1432436 46.1890931, 6.1437241 46.1890216, 6.143801 46.1890102)",,,,,
5172442,False,Rue de la Ferme,residential,30,True,95.86399999999999,"LINESTRING (6.143801 46.1890102, 6.1437875 46.1889696, 6.1435333 46.1882081, 6.1435207 46.1881702)",,,,,
5172444,True,Rue Blanche,residential,30,False,70.294,"LINESTRING (6.143801 46.1890102, 6.1438487 46.1890028, 6.1442684 46.1889377, 6.1445743 46.1888894, 6.1446333 46.1888809, 6.1446922 46.1888724)",,,,,
134361137,True,Boulevard de la Cluse,tertiary,50,False,105.26,"LINESTRING (6.1446922 46.1888724, 6.1443441 46.1880177, 6.1443227 46.187961)",,,,,
5172442,False,Rue de la Ferme,residential,30,False,95.86399999999999,"LINESTRING (6.1435207 46.1881702, 6.1435333 46.1882081, 6.1437875 46.1889696, 6.143801 46.1890102)",,,,,
79744052,True,Rue de la Colline,residential,30,False,54.319,"LINESTRING (6.1435207 46.1881702, 6.1431955 46.1882515, 6.1429862 46.1883063, 6.1429205 46.1883297, 6.1428889 46.1883668)",,,,,
905813753,False,Rue de la Fontenette,secondary,50,True,23.63,"LINESTRING (6.145971 46.1848304, 6.1458559 46.1846334)",4,,,,
