osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,width,ref,access,junction,tunnel
4950200,Grabenstrasse,residential,30,False,False,85.485,"LINESTRING (9.4329983 47.5163425, 9.4330022 47.5163798, 9.4330224 47.5164709, 9.4331814 47.5169819, 9.4332198 47.5170961)",,,,,,,
5241887,Hauptstrasse,residential,30,False,False,67.331,"LINESTRING (9.4329983 47.5163425, 9.4330614 47.5163233, 9.433416 47.5162845, 9.4335899 47.5162598, 9.4337585 47.516232, 9.4338721 47.5162134)",2,,,,,,
"[289511641, 289511642, 257931733]",Hauptstrasse,residential,"['30', '50']",False,False,54.289,"LINESTRING (9.4329983 47.5163425, 9.4329252 47.5163318, 9.4328319 47.5163396, 9.4325064 47.5163824, 9.4323517 47.5164049, 9.4322889 47.516414)",2,yes,,,,,
4950200,Grabenstrasse,residential,30,False,True,115.082,"LINESTRING (9.4343693 47.5185663, 9.4335972 47.5176723)",,,,,,,
"[176557201, 176557203]",Wassergasse,residential,,False,False,158.71,"LINESTRING (9.4343693 47.5185663, 9.4342454 47.518619, 9.4337664 47.518823, 9.4329735 47.5191606, 9.4326804 47.519239, 9.4325414 47.5192736)",,,,,,,
176557203,Wassergasse,residential,,False,True,98.274,"LINESTRING (9.4343693 47.5185663, 9.434605 47.5184939, 9.434961 47.5184114, 9.4352189 47.5183599, 9.4354846 47.5183057, 9.4355988 47.5182684)",,,,,,,
5241887,Hauptstrasse,residential,30,False,True,67.331,"LINESTRING (9.4338721 47.5162134, 9.4337585 47.516232, 9.4335899 47.5162598, 9.433416 47.5162845, 9.4330614 47.5163233, 9.4329983 47.5163425)",2,,,,,,
98642924,Promenadenstrasse,residential,30,False,False,79.027,"LINESTRING (9.4338721 47.5162134, 9.4338592 47.5161286, 9.4338726 47.5157651, 9.4338797 47.5156076, 9.4338887 47.5155035)",,,,,,,
257899153,Hauptstrasse,residential,30,False,True,17.538999999999998,"LINESTRING (9.4338721 47.5162134, 9.4339868 47.516197, 9.4340433 47.5161887, 9.4341006 47.5161808)",2,,,,,,
"[498928872, 257575711]","['Schmiedgasse', 'Storchenplatz']",residential,30,True,False,66.177,"LINESTRING (9.4355411 47.516002, 9.435547 47.5160424, 9.4356222 47.5163056, 9.4356729 47.5164587, 9.4357237 47.5165076, 9.4358056 47.5165503)",,,3.9,,,,
257899152,Hauptstrasse,residential,30,False,False,30.919,"LINESTRING (9.4355411 47.516002, 9.4356156 47.515991, 9.435739 47.5159706, 9.4358109 47.515959, 9.4358641 47.5159408, 9.4359319 47.5159194)",2,,,,,,
257899152,Hauptstrasse,residential,30,False,True,16.5,"LINESTRING (9.4355411 47.516002, 9.4354854 47.5160088, 9.4353239 47.5160242)",2,,,,,,
107110437,Hauptstrasse,residential,30,False,True,29.92,"LINESTRING (9.4366842 47.5151104, 9.4366709 47.5151654, 9.4366491 47.515217, 9.4366201 47.5152599, 9.4365872 47.5152966, 9.4365601 47.515322, 9.4365276 47.5153534)",2,,,,,,
969752976,Bahnhofstrasse,residential,30,False,False,14.988,"LINESTRING (9.4366842 47.5151104, 9.4367009 47.5150336, 9.4366944 47.5149766)",2,,,,,,
875339324,Bahnhofstrasse,residential,50,False,True,23.061,"LINESTRING (9.433737 47.5124021, 9.4338046 47.5126044)",2,,,,,,
257942130,St. Gallerstrasse,residential,50,False,True,50.595,"LINESTRING (9.433737 47.5124021, 9.4335708 47.5124226, 9.4332707 47.5124048, 9.4330872 47.5123903, 9.4330687 47.5123885)",2,,,451,,,
24585476,Brühlstrasse,residential,30,False,False,106.857,"LINESTRING (9.4272064 47.5124233, 9.428613 47.5125678)",,,,,,,
79927657,Pestalozzistrasse,residential,30,False,True,61.714,"LINESTRING (9.4272064 47.5124233, 9.4270848 47.5129722)",,,,,,,
24585476,Brühlstrasse,residential,30,False,True,152.579,"LINESTRING (9.4272064 47.5124233, 9.4261453 47.5123172, 9.4259412 47.5122973, 9.4251962 47.5122249)",,,,,,,
79927657,Pestalozzistrasse,residential,30,False,False,167.85500000000002,"LINESTRING (9.4272064 47.5124233, 9.4273486 47.5117136, 9.4274621 47.5112478, 9.4275198 47.5109845, 9.4275356 47.5109304)",,,,,,,
79927643,Alemannenstrasse,residential,30,False,False,60.87,"LINESTRING (9.429326 47.512641, 9.4292023 47.513182)",,,4.9,,,,
24585476,Brühlstrasse,residential,30,False,True,54.165,"LINESTRING (9.429326 47.512641, 9.429276 47.5126359, 9.428613 47.5125678)",,,,,,,
79927643,Alemannenstrasse,residential,30,False,True,128.49099999999999,"LINESTRING (9.429326 47.512641, 9.4297682 47.5116018, 9.429799 47.5115305)",,,4.9,,,,
98527089,Brühlstrasse,residential,30,False,True,201.101,"LINESTRING (9.429326 47.512641, 9.4301614 47.5127256, 9.4303959 47.5127494, 9.4309723 47.5128078, 9.4319174 47.5129035, 9.431974 47.5129093)",,,,,,,
747448112,St. Gallerstrasse,secondary,50,False,True,42.453,"LINESTRING (9.4321452 47.5121599, 9.4316208 47.5120174)",2,,,451,,,
24585478,Rebhaldenstrasse,residential,,False,True,84.40899999999999,"LINESTRING (9.4321452 47.5121599, 9.4321197 47.512212, 9.4321074 47.5122807, 9.432064 47.5124853, 9.431974 47.5129093)",,,,,,,
884068929,St. Gallerstrasse,secondary,50,False,False,40.781,"LINESTRING (9.4321452 47.5121599, 9.4324734 47.5122487, 9.4325894 47.5122756, 9.4326549 47.5122844)",2,,,451,,,
24585478,Rebhaldenstrasse,residential,,False,False,161.891,"LINESTRING (9.4317607 47.5143568, 9.4317535 47.5142411, 9.4318131 47.5138795, 9.4318386 47.5137249, 9.4318982 47.5133632, 9.4319571 47.5130059, 9.431974 47.5129093)",,,,,,,
24585479,Rebenstrasse,residential,30,False,False,51.254000000000005,"LINESTRING (9.4317607 47.5143568, 9.4318481 47.5143994, 9.4321321 47.5144807, 9.4322293 47.5145154, 9.432274 47.5145648, 9.4322856 47.5146118)",,,,,,,
25996752,Rebenstrasse,residential,30,False,False,63.923,"LINESTRING (9.4317607 47.5143568, 9.431684 47.5143541, 9.4315365 47.5143447, 9.4312127 47.5143276, 9.4309128 47.5143073)",,,,,,,
"[884068930, 969758335]",Rebenstrasse,residential,30,False,True,33.083,"LINESTRING (9.4327226 47.514649, 9.4323466 47.5146155, 9.4322856 47.5146118)",,,,,,,
26008167,Rebenstrasse,residential,30,False,False,101.14000000000001,"LINESTRING (9.4329858 47.514665, 9.4332576 47.5146707, 9.4334251 47.5146645, 9.4338136 47.5146653, 9.433962 47.5146718, 9.4342726 47.5147006, 9.4343112 47.5147283)",,,,,,,
25361874,Sonnenhügelstrasse,tertiary,,False,False,114.47,"LINESTRING (9.4251698 47.5189992, 9.4251312 47.518917, 9.4249875 47.5186398, 9.4248687 47.5183379, 9.4248442 47.5182741, 9.4247834 47.518006)",,,,,,,
257931734,Romanshornerstrasse,primary,50,False,False,34.593,"LINESTRING (9.4251698 47.5189992, 9.4252427 47.5189833, 9.4253153 47.5189675, 9.4253825 47.5189529, 9.4256033 47.5188944)",2,,,13,,,
257959641,Romanshornerstrasse,primary,50,False,True,37.51,"LINESTRING (9.4251698 47.5189992, 9.4249666 47.5190421, 9.4246888 47.5190897)",2,,,13,,,
"[257903986, 176557203, 25650029]",Wassergasse,residential,30,False,False,117.67099999999999,"LINESTRING (9.4369533 47.5178696, 9.4368955 47.5179304, 9.4367043 47.5180266, 9.4363778 47.5181686, 9.4361664 47.5182391, 9.4359988 47.5182928, 9.43586 47.5183124, 9.4357337 47.5182988, 9.4355988 47.5182684)",,,,,,,
257899146,Wöschplatz,residential,30,False,True,16.169,"LINESTRING (9.4369533 47.5178696, 9.4369529 47.5178041, 9.4369197 47.5177274)",,,,,,,
"[26766306, 927806115]",Schlossgasse,residential,30,False,False,108.40700000000001,"LINESTRING (9.4363051 47.5155676, 9.4363333 47.5156022, 9.4363932 47.5157268, 9.4364773 47.5158809, 9.4366917 47.5161766, 9.4366854 47.5162038, 9.4364844 47.5163371, 9.436457 47.5163881, 9.4364175 47.5164164)",,,,,,,
"[256316017, 258207843]",Hauptstrasse,residential,30,False,True,48.406,"LINESTRING (9.4363051 47.5155676, 9.4361052 47.5157352, 9.4360559 47.5157751, 9.4359542 47.5158748, 9.4359319 47.5159194)",2,,,,,,
308361825,Hauptstrasse,residential,30,False,False,29.117,"LINESTRING (9.4363051 47.5155676, 9.436402 47.5154814, 9.4364147 47.5154691, 9.4364812 47.5154049, 9.4365276 47.5153534)",2,,,,,,
426008622,,residential,,True,False,28.383,"LINESTRING (9.4364175 47.5164164, 9.4363105 47.5163575, 9.4361827 47.5162733, 9.4361219 47.5162677)",,,,,,,
"[26766306, 927806115]",Schlossgasse,residential,30,False,True,108.40700000000001,"LINESTRING (9.4364175 47.5164164, 9.436457 47.5163881, 9.4364844 47.5163371, 9.4366854 47.5162038, 9.4366917 47.5161766, 9.4364773 47.5158809, 9.4363932 47.5157268, 9.4363333 47.5156022, 9.4363051 47.5155676)",,,,,,,
25996752,Rebenstrasse,residential,30,False,True,110.224,"LINESTRING (9.4255654 47.5144745, 9.4256045 47.5144261, 9.4258832 47.5143076, 9.4262691 47.5141485, 9.4263711 47.5141098, 9.4265197 47.514077, 9.4266751 47.5140585, 9.426761 47.5140563, 9.4268478 47.5140489)",,,,,,,
787913096,Rebenstrasse,residential,30,False,False,65.235,"LINESTRING (9.4255654 47.5144745, 9.4255108 47.5144872, 9.4254669 47.5144992, 9.4254329 47.5145021, 9.4253692 47.5145045, 9.4250392 47.5144802, 9.4247822 47.5144613, 9.4247582 47.5144595, 9.4247076 47.5144563)",,,,,,,
"[969777282, 79927638]",Römerstrasse,residential,30,False,False,271.478,"LINESTRING (9.4255654 47.5144745, 9.4256223 47.5145093, 9.4256545 47.514522, 9.4256927 47.5145301, 9.4257299 47.5145346, 9.4268999 47.5146215, 9.4269307 47.5146274, 9.4269687 47.5146346, 9.4271173 47.5146753, 9.4276039 47.5148086, 9.4283306 47.5150077, 9.4285175 47.5150589, 9.4287367 47.5151613, 9.4288257 47.5152029, 9.428845 47.5152119, 9.4289302 47.5152532)",,,,,,,
