osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,lanes,access,width
33174660,False,Piazza dell'Indipendenza,secondary,30,True,15.69,,"LINESTRING (8.9555744 46.0055842, 8.955542 46.0054449)",,,
35067386,False,Piazza dell'Indipendenza,tertiary,50,False,25.645,,"LINESTRING (8.9555744 46.0055842, 8.9552424 46.0055879)",,,
"[19546259, 253638853]",False,Viale Carlo Cattaneo,secondary,50,False,135.319,399,"LINESTRING (8.9555744 46.0055842, 8.9557685 46.0055891, 8.9561555 46.0056091, 8.9563765 46.0056205, 8.9567326 46.0056413, 8.9569688 46.0056515, 8.9573219 46.0056703)",,,
253638853,False,Viale Carlo Cattaneo,secondary,50,True,70.316,399,"LINESTRING (8.9582303 46.0057123, 8.9575348 46.0056792, 8.9573219 46.0056703)",,,
19589848,True,Via Pretorio,tertiary,50,False,80.87400000000001,,"LINESTRING (8.9525912 46.0079041, 8.952546 46.0078279, 8.9524545 46.0076468, 8.9523955 46.007522, 8.9523338 46.0073692, 8.9522783 46.0072109)",3,,
25219926,True,Via Ginevra,secondary,50,False,98.53999999999999,399,"LINESTRING (8.9525912 46.0079041, 8.9524591 46.0079436, 8.95218 46.0080276, 8.9514371 46.0082814)",2,,
35067395,False,Via Serafino Balestra,secondary,50,True,143.063,,"LINESTRING (8.9525912 46.0079041, 8.9530565 46.0078821, 8.9537949 46.0078943, 8.9544398 46.0079338)",2,,
"[27566088, 19589849, 39165068]",True,"['Via Massimiliano Magatti', 'Piazza Alessandro Manzoni']",tertiary,50,False,147.072,404,"LINESTRING (8.9518189 46.0045514, 8.9522078 46.00423, 8.9522754 46.0041588, 8.9524622 46.0038133, 8.9524819 46.0038, 8.9525106 46.0037939, 8.9530798 46.0038967)",,,
19589856,True,Via Bertaro Lambertenghi,residential,30,False,121.51600000000002,,"LINESTRING (8.9573391 46.0077851, 8.9573398 46.0078692, 8.9575441 46.0085655, 8.9576298 46.0088576)",1,,
19724912,False,Via Serafino Balestra,secondary,50,False,126.234,,"LINESTRING (8.9573391 46.0077851, 8.9572221 46.0078027, 8.9558521 46.0080091, 8.9557397 46.0080165)",3,,
19724912,False,Via Serafino Balestra,secondary,50,True,57.804,,"LINESTRING (8.9573391 46.0077851, 8.9574745 46.0077813, 8.9580874 46.0077769)",3,,
174518255,True,Via Pasquale Lucchini,residential,30,False,59.813,,"LINESTRING (8.9573391 46.0077851, 8.9573386 46.0076757, 8.9573412 46.0072472)",,,
25335268,True,Via Carlo Maderno,secondary,50,False,53.191,399,"LINESTRING (8.9544398 46.0079338, 8.9544601 46.0080032, 8.9545945 46.0083999)",,,
35067395,False,Via Serafino Balestra,secondary,50,False,143.063,,"LINESTRING (8.9544398 46.0079338, 8.9537949 46.0078943, 8.9530565 46.0078821, 8.9525912 46.0079041)",2,,
37668262,False,Via Serafino Balestra,secondary,50,True,100.833,,"LINESTRING (8.9544398 46.0079338, 8.9549682 46.0079729, 8.9555592 46.0080109, 8.9557397 46.0080165)",2,,
1167600315,True,Corso Elvezia,secondary,50,False,51.109,,"LINESTRING (8.9556515 46.0066595, 8.9556305 46.0062001)",,,
25147587,True,Via Francesco Somaini,residential,,False,130.12,,"LINESTRING (8.9556696 46.0071011, 8.9573412 46.0072472)",,,
35068322,True,Corso Elvezia,secondary,50,False,49.124,,"LINESTRING (8.9556696 46.0071011, 8.9556515 46.0066595)",,,
19724911,True,Corso Elvezia,tertiary,50,False,48.539,,"LINESTRING (8.9557397 46.0080165, 8.955769 46.0081148, 8.9558419 46.0084471)",,,
