osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,ref,bridge,junction
25138178,False,2,Bohl,residential,50,True,80.222,"LINESTRING (9.3771875 47.4264357, 9.37709 47.4264321, 9.3767237 47.4264187, 9.3762623 47.4264066, 9.3761226 47.4263989)",,,,
795821255,False,,Bohl,residential,50,False,28.616,"LINESTRING (9.3771875 47.4264357, 9.3772781 47.4264346, 9.3773997 47.4264259, 9.3775613 47.4263961)",,,,
"[802177315, 28858469]",False,,Katharinengasse,"['residential', 'living_street']",20,True,45.179,"LINESTRING (9.3771875 47.4264357, 9.3771869 47.4264539, 9.377186 47.4264876, 9.3771834 47.42652, 9.3771649 47.4268417)",no,,,
8079033,False,,Gallusstrasse,living_street,20,False,52.717999999999996,"LINESTRING (9.3758901 47.4230025, 9.3759257 47.4229095, 9.3759695 47.4228133, 9.3759975 47.422752, 9.3760711 47.4226425, 9.3761626 47.4225732)",,,,
8079039,False,,Gallusstrasse,living_street,20,False,39.611000000000004,"LINESTRING (9.3758901 47.4230025, 9.3759183 47.4230897, 9.3759842 47.4231866, 9.3760836 47.4233321)",,,,
8060844,False,2,Blumenbergplatz,tertiary,50,False,13.918,"LINESTRING (9.3735264 47.426601, 9.373511 47.4266584, 9.3735141 47.4267252)",,,,
"[8071153, 315283622, 424706975]",False,3,Unterer Graben,primary,50,"[False, True]",113.62200000000001,"LINESTRING (9.3735264 47.426601, 9.3736931 47.4267151, 9.3737575 47.4267515, 9.3739411 47.4268699, 9.3740159 47.4269253, 9.3741074 47.427002, 9.3741939 47.4270909, 9.3743133 47.4272179, 9.3744101 47.4273083, 9.3744617 47.4273505, 9.3744976 47.4273772)",,7,,
140561108,False,2,Blumenbergplatz,secondary,50,False,61.191,"LINESTRING (9.3735264 47.426601, 9.3735556 47.4265431, 9.3735819 47.4265022, 9.373599 47.4264821, 9.3736337 47.4264429, 9.373909 47.4261167)",,,,
1062104618,True,1,Rosenbergstrasse,primary,50,False,85.935,"LINESTRING (9.3735264 47.426601, 9.3733085 47.426511, 9.3730859 47.4263481, 9.372735 47.4260536)",,7,,
74284014,True,2,Blumenbergplatz,secondary,50,False,21.017000000000003,"LINESTRING (9.373909 47.4261167, 9.3739081 47.4260453, 9.3739194 47.4260155, 9.373945 47.4259427, 9.3739474 47.4259308)",,,,
140561108,False,2,Blumenbergplatz,secondary,50,True,61.191,"LINESTRING (9.373909 47.4261167, 9.3736337 47.4264429, 9.373599 47.4264821, 9.3735819 47.4265022, 9.3735556 47.4265431, 9.3735264 47.426601)",,,,
