osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,ref,tunnel,bridge,access,junction
26713415,True,1,motorway_link,80,False,76.18199999999999,"LINESTRING (6.1286593 46.1832344, 6.1286863 46.1834485, 6.1287068 46.1835631, 6.1287318 46.1836684, 6.1287394 46.1837373, 6.128757 46.1839158)",,,,,,
292127799,True,1,motorway_link,80,False,254.53300000000002,"LINESTRING (6.1286593 46.1832344, 6.1286188 46.1835857, 6.1285964 46.1840452, 6.1285683 46.1845275, 6.1285409 46.1848599, 6.1284951 46.1853116, 6.1284882 46.18552)",Voie Centrale,,,,,
"[8022379, 343709044]",False,,tertiary,50,False,217.17000000000002,"LINESTRING (6.1198249 46.1821458, 6.1198759 46.1821266, 6.1199069 46.182106, 6.1199311 46.1820879, 6.1199548 46.1820607, 6.1199693 46.1820346, 6.1199746 46.1820199, 6.1199822 46.1819893, 6.1199839 46.181963, 6.119977 46.1819313, 6.1199639 46.1818971, 6.1199335 46.1818576, 6.1198093 46.1816948, 6.1197992 46.1816817, 6.1197782 46.1816537, 6.1190658 46.1807027, 6.1189372 46.180531, 6.1188616 46.1804244)","['Place du 1er-Août', 'Avenue du Curé-Baud']",,,,,
25340528,False,,tertiary,50,True,80.54299999999999,"LINESTRING (6.1198249 46.1821458, 6.1197305 46.1821759, 6.1195054 46.1822463, 6.1192425 46.182326, 6.119129 46.182353, 6.1190072 46.182382, 6.1189339 46.1824017, 6.1188902 46.1824191, 6.1188651 46.182431)",Chemin des Courtillets,,,,,
25340505,True,1,tertiary,50,False,80.457,"LINESTRING (6.1205894 46.1825804, 6.1205504 46.1824861, 6.120536 46.1824575, 6.1205176 46.1824367, 6.1204954 46.1824246, 6.1204729 46.1824134, 6.1204239 46.1823969, 6.1198988 46.1822168, 6.119865 46.1821952, 6.1198449 46.1821737, 6.1198249 46.1821458)",Place du 1er-Août,,,,,
"[224551642, 224551638]",False,3,primary,50,False,74.804,"LINESTRING (6.1205894 46.1825804, 6.1206539 46.1824154, 6.1207266 46.1822294, 6.1208151 46.1820206, 6.1208523 46.1819328)",Avenue des Communes-Réunies,104,,,,
"[224551641, 83361883]",False,4,primary,50,True,43.82,"LINESTRING (6.1205894 46.1825804, 6.1205316 46.1827361, 6.1204451 46.1829616)",Avenue des Communes-Réunies,104,,,,
25340528,False,,tertiary,50,False,80.543,"LINESTRING (6.1188651 46.182431, 6.1188902 46.1824191, 6.1189339 46.1824017, 6.1190072 46.182382, 6.119129 46.182353, 6.1192425 46.182326, 6.1195054 46.1822463, 6.1197305 46.1821759, 6.1198249 46.1821458)",Chemin des Courtillets,,,,,
35921205,False,,tertiary,50,False,21.374000000000002,"LINESTRING (6.1188651 46.182431, 6.1188155 46.1824677, 6.1187883 46.1825023, 6.1187669 46.1825416, 6.118735 46.182598)",Chemin des Courtillets,,,,,
177720850,True,,tertiary,50,False,32.230000000000004,"LINESTRING (6.1188651 46.182431, 6.1188535 46.1825203, 6.1188756 46.1825605, 6.1189005 46.182594, 6.1190179 46.1826816)",Chemin des Courtillets,,,,,
