osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,ref,bridge,access
38632382,Eisenbahnstrasse,residential,50,False,False,27.652,"LINESTRING (8.7515635 47.1285319, 8.751596 47.1285288, 8.7516259 47.1285288, 8.7516711 47.1285307, 8.7517251 47.1285355, 8.7517715 47.1285442, 8.7518466 47.1285651, 8.7519171 47.1285799)",,,,,
170193233,Eisenbahnstrasse,tertiary,50,False,True,22.689999999999998,"LINESTRING (8.7515635 47.1285319, 8.7515509 47.1285381, 8.7514667 47.1285793, 8.7512991 47.1286252)",6.00,,,,
1151928065,Eisenbahnstrasse,tertiary,50,False,False,36.723,"LINESTRING (8.7515635 47.1285319, 8.7516069 47.1284987, 8.7516557 47.1284507, 8.7517462 47.1283473, 8.7518022 47.1282938, 8.7518457 47.1282648)",6.00,,,,
285515028,Hauptstrasse,residential,30,False,True,96.052,"LINESTRING (8.7518457 47.1282648, 8.7518157 47.1282179, 8.75178 47.1281802, 8.7517088 47.1281096, 8.7514227 47.1278728, 8.7512535 47.1277388, 8.7510814 47.1275779)",,,,,
1151928064,Etzelstrasse,tertiary,50,False,False,35.469,"LINESTRING (8.7518457 47.1282648, 8.751857 47.1283218, 8.751863 47.1283368, 8.7518799 47.1283992, 8.7519171 47.1285799)",,,,,
1151928065,Eisenbahnstrasse,tertiary,50,False,True,36.723000000000006,"LINESTRING (8.7518457 47.1282648, 8.7518022 47.1282938, 8.7517462 47.1283473, 8.7516557 47.1284507, 8.7516069 47.1284987, 8.7515635 47.1285319)",6.00,,,,
25805648,Schmiedenstrasse,residential,,False,True,79.689,"LINESTRING (8.7506846 47.1272281, 8.7505811 47.1272804, 8.7502363 47.1274362, 8.7500518 47.127527, 8.7498281 47.1276447)",,,,,
"[41975209, 1233331958]",Birchlistrasse,residential,30,False,False,49.138,"LINESTRING (8.7506846 47.1272281, 8.7510408 47.1275391, 8.7510814 47.1275779)",,,,,
316738703,Hauptstrasse,residential,30,False,True,26.519000000000002,"LINESTRING (8.7506846 47.1272281, 8.7505543 47.1271126, 8.7504712 47.1270389)",,2,,,
25805648,Schmiedenstrasse,residential,,False,False,79.68900000000001,"LINESTRING (8.7498281 47.1276447, 8.7500518 47.127527, 8.7502363 47.1274362, 8.7505811 47.1272804, 8.7506846 47.1272281)",,,,,
35978063,Hauptstrasse,residential,30,False,False,10.781,"LINESTRING (8.7450078 47.1273385, 8.7451487 47.127353)",,,,,
545010704,Hauptstrasse,secondary,50,False,True,12.415,"LINESTRING (8.7450078 47.1273385, 8.7448445 47.1273275)",,,386.1,,
26552261,Langrütistrasse,secondary,50,False,False,14.437,"LINESTRING (8.7450078 47.1273385, 8.7450098 47.1272956, 8.7450093 47.1272655, 8.7450091 47.1272483, 8.7450103 47.1272087)",,,386.1,,
71226147,,residential,,False,False,31.281,"LINESTRING (8.74564 47.1284539, 8.7455664 47.1285772, 8.7455542 47.1285961, 8.7455216 47.1286575, 8.7455135 47.1286738, 8.7454921 47.1287165)",,,,,
35978062,Hauptstrasse,residential,30,False,False,57.336,"LINESTRING (8.7501266 47.1265889, 8.7501365 47.126642, 8.7501549 47.1266941, 8.7501822 47.1267458, 8.7502179 47.126795, 8.7502613 47.1268412, 8.7504712 47.1270389)",,2,,,
"[27842019, 541770860]",Ilgenweidstrasse,residential,,False,True,31.788999999999998,"LINESTRING (8.7501266 47.1265889, 8.7501117 47.1264802, 8.7500716 47.1263056)",,,,,
