osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,ref,tunnel,bridge,width
1058294350,True,Poststrasse,residential,50,False,10.669,,"LINESTRING (8.404863 47.4030597, 8.4049577 47.4031311)",,,,
286442106,True,Zürcherstrasse,secondary,60,False,63.04200000000001,1,"LINESTRING (8.404863 47.4030597, 8.4049813 47.4029884, 8.4050387 47.4029579, 8.4051983 47.402874, 8.4054539 47.4027395, 8.4055183 47.4027069)",,,,
"[4743656, 4743657, 85395620]",False,Ueberlandstrasse,primary,60,True,217.35200000000003,5,"LINESTRING (8.4054002 47.4087225, 8.4051719 47.4087526, 8.4050715 47.4087532, 8.4047772 47.4087396, 8.4044587 47.4087126, 8.4040826 47.4086761, 8.4039409 47.40866, 8.40326 47.408599, 8.4027827 47.4085638, 8.4025343 47.4085553)",3,yes,,
"[119468699, 1099367660]",False,Ueberlandstrasse,primary,60,False,140.965,5,"LINESTRING (8.4054002 47.4087225, 8.4055523 47.4086861, 8.4056189 47.4086664, 8.4058222 47.4086054, 8.4063656 47.4084183, 8.4066178 47.4083349, 8.4069256 47.4082345, 8.407092 47.4081802)",3,,,
"[698305608, 698305610, 965992111]",False,Heimstrasse,tertiary,50,False,73.504,"['4', '3']","LINESTRING (8.4054002 47.4087225, 8.405457 47.408891, 8.4054613 47.4089324, 8.4054701 47.4090172, 8.4054604 47.4091018, 8.4054456 47.4091682, 8.4053697 47.4093715)",,,,
198549112,False,Güterstrasse,tertiary,,False,79.661,,"LINESTRING (8.3958478 47.4103694, 8.3957647 47.410294, 8.395708 47.4102087, 8.3956827 47.4101358, 8.3956723 47.4100616, 8.3956861 47.4099424, 8.3957529 47.4097538, 8.3957778 47.4096901)",,,,
198549112,False,Güterstrasse,tertiary,,True,79.66100000000002,,"LINESTRING (8.3957778 47.4096901, 8.3957529 47.4097538, 8.3956861 47.4099424, 8.3956723 47.4100616, 8.3956827 47.4101358, 8.395708 47.4102087, 8.3957647 47.410294, 8.3958478 47.4103694)",,,,
720165040,False,Ueberlandstrasse,primary,60,True,166.14600000000002,2,"LINESTRING (8.3957778 47.4096901, 8.397911 47.4099848, 8.3979411 47.4099889)",3,,,
119104111,False,Zürcherstrasse,secondary,50,False,45.243,3,"LINESTRING (8.4027693 47.4044964, 8.4028148 47.4044882, 8.402964 47.4044546, 8.4030154 47.4044359, 8.40311 47.4043892, 8.4032672 47.4042837)",,,,
"[708056268, 708056278]",False,Zentralstrasse,secondary,50,True,143.738,"['2', '3']","LINESTRING (8.4027693 47.4044964, 8.4027447 47.4045009, 8.4026038 47.4045266, 8.4024508 47.4045763, 8.4024125 47.4045903, 8.4017589 47.4048292, 8.4016453 47.4048707, 8.4013087 47.4049988, 8.4011976 47.405041, 8.4011021 47.4051101)",,,,
816567043,False,Bremgartnerstrasse,secondary,50,True,58.785,2,"LINESTRING (8.4027693 47.4044964, 8.4026684 47.4043944, 8.4026447 47.4043675, 8.4025573 47.4042603, 8.402401 47.4040314)",,,,
816567043,False,Bremgartnerstrasse,secondary,50,False,9.477,2,"LINESTRING (8.4023461 47.4039547, 8.402401 47.4040314)",,,,
149420015,False,Florastrasse,residential,,False,119.655,,"LINESTRING (8.4023461 47.4039547, 8.4023635 47.4039472, 8.4024012 47.4039297, 8.4024572 47.4039044, 8.4026751 47.4038001, 8.4027215 47.403778, 8.4030204 47.4036127, 8.4032258 47.4035047, 8.4035057 47.4033447, 8.4036002 47.4032945)",,,,
816567043,False,Bremgartnerstrasse,secondary,50,True,66.563,2,"LINESTRING (8.4023461 47.4039547, 8.4022832 47.4038687, 8.402035 47.4035221, 8.4019973 47.4034679, 8.4019604 47.403416)",,,,
816567043,False,Bremgartnerstrasse,secondary,50,True,25.956,2,"LINESTRING (8.4019604 47.403416, 8.401796 47.4032108)",,,,
149420020,True,Schulstrasse,residential,,False,64.783,,"LINESTRING (8.4019604 47.403416, 8.401982 47.4034089, 8.402056 47.4033854, 8.4023221 47.4033627, 8.4024416 47.4033526, 8.402598 47.4033394, 8.4028063 47.4033297)",,,,
816567043,False,Bremgartnerstrasse,secondary,50,False,66.563,2,"LINESTRING (8.4019604 47.403416, 8.4019973 47.4034679, 8.402035 47.4035221, 8.4022832 47.4038687, 8.4023461 47.4039547)",,,,
148673903,False,Bremgartnerstrasse,secondary,50,False,70.042,2,"LINESTRING (8.4012559 47.4026981, 8.4013006 47.4027426, 8.4013377 47.4027806, 8.4014 47.4028379, 8.4014211 47.4028572, 8.4017099 47.4031208, 8.4017444 47.4031568, 8.401796 47.4032108)",,,,
148673904,False,Bremgartnerstrasse,secondary,,True,25.496,2,"LINESTRING (8.4012559 47.4026981, 8.4012102 47.402631, 8.4011866 47.4025865, 8.4011615 47.402545, 8.4011262 47.4024864)",,,,
708056277,False,Zürcherstrasse,secondary,50,False,39.493,3,"LINESTRING (8.4042727 47.4034503, 8.4046685 47.4032171)",,,,
151507390,False,Schulstrasse,residential,,True,54.41,,"LINESTRING (8.4042727 47.4034503, 8.4041943 47.4034128, 8.4040951 47.4033754, 8.4039112 47.4033229, 8.4036002 47.4032945)",,,,
"[46916568, 1221384970]",False,Zürcherstrasse,secondary,50,True,119.74600000000001,2,"LINESTRING (8.4042727 47.4034503, 8.4041832 47.4035131, 8.4040958 47.4035766, 8.4040047 47.4036468, 8.4037759 47.4038374, 8.4034474 47.4041339, 8.4033864 47.4041889, 8.4032672 47.4042837)",,,,
148673904,False,Bremgartnerstrasse,secondary,,False,25.496000000000002,2,"LINESTRING (8.4011262 47.4024864, 8.4011615 47.402545, 8.4011866 47.4025865, 8.4012102 47.402631, 8.4012559 47.4026981)",,,,
"[708056274, 149420014]",False,Bäckerstrasse,tertiary,50,False,78.49699999999999,"['2', '3']","LINESTRING (8.4011021 47.4051101, 8.4011323 47.4051526, 8.4011521 47.4051782, 8.4011926 47.4052309, 8.4012318 47.4052798, 8.4014605 47.4055581, 8.4015449 47.405648, 8.4015779 47.405681, 8.4016345 47.4057132)",,,,
