osmid,name,highway,maxspeed,oneway,reversed,length,geometry,access,lanes,bridge,ref,tunnel,width,junction
"[27250530, 368605823]",Hammerallee,"['living_street', 'residential']","['20', '30']",False,False,71.86,"LINESTRING (7.8991663 47.3501082, 7.8990862 47.3500026, 7.8988493 47.3497232, 7.8986923 47.3495476)",,,,,,,
216696622,Ringstrasse,living_street,20,False,True,45.39,"LINESTRING (7.8991663 47.3501082, 7.8991838 47.3502113, 7.899207 47.3504397, 7.8992146 47.350515)",,,,,,,
216696623,Solothurnerstrasse,living_street,20,False,True,105.678,"LINESTRING (7.8991663 47.3501082, 7.8993339 47.3500969, 7.8996814 47.3500561, 7.8998554 47.3500357, 7.9000387 47.3500142, 7.9002701 47.3499653, 7.9004114 47.3499287, 7.900515 47.3498809)",,,,,,,
"[368605824, 228684738]",Solothurnerstrasse,"['living_street', 'residential']","['20', '50']",False,True,102.60000000000001,"LINESTRING (7.8991663 47.3501082, 7.8989314 47.3501124, 7.8986497 47.3501224, 7.8985849 47.3501247, 7.8983169 47.3501308, 7.8982519 47.3501323, 7.8980016 47.3501309, 7.8979303 47.3501242, 7.8978066 47.3501149)",,,,,,,
219737144,Grundstrasse,residential,20,False,True,114.591,"LINESTRING (7.8978066 47.3501149, 7.8977846 47.3501916, 7.897764 47.3502555, 7.8977006 47.3504195, 7.8976295 47.3506176, 7.8975935 47.3507428, 7.8975923 47.3507655, 7.8975901 47.3508067, 7.8976092 47.3508732, 7.8976495 47.3509494, 7.8976819 47.3510231, 7.8976954 47.3510782, 7.8977052 47.3511183)",,,,,,,
"[368605824, 228684738]",Solothurnerstrasse,"['residential', 'living_street']","['20', '50']",False,False,102.6,"LINESTRING (7.8978066 47.3501149, 7.8979303 47.3501242, 7.8980016 47.3501309, 7.8982519 47.3501323, 7.8983169 47.3501308, 7.8985849 47.3501247, 7.8986497 47.3501224, 7.8989314 47.3501124, 7.8991663 47.3501082)",,,,,,,
27250541,Hübelistrasse,living_street,20,True,False,78.678,"LINESTRING (7.900515 47.3498809, 7.9005492 47.3499441, 7.9005939 47.3500711, 7.9006018 47.3501176, 7.9006128 47.350183, 7.9006031 47.3504349, 7.9006044 47.3504786, 7.9006059 47.3505297, 7.9006242 47.3505784)",designated,,,,,,
216696623,Solothurnerstrasse,living_street,20,False,False,105.678,"LINESTRING (7.900515 47.3498809, 7.9004114 47.3499287, 7.9002701 47.3499653, 7.9000387 47.3500142, 7.8998554 47.3500357, 7.8996814 47.3500561, 7.8993339 47.3500969, 7.8991663 47.3501082)",,,,,,,
"[776036643, 228780159, 216696623]","['Leberngasse', 'Solothurnerstrasse']","['living_street', 'residential']","['20', '30']",False,True,59.677,"LINESTRING (7.900515 47.3498809, 7.9005861 47.3498296, 7.9006332 47.349773, 7.9006444 47.349744, 7.9006489 47.3497101, 7.900615 47.3495362, 7.9005984 47.3494513, 7.9005873 47.3493754)",,,,,,,
27250475,Ringstrasse,living_street,20,False,False,101.062,"LINESTRING (7.9013261 47.3519974, 7.901124 47.3519023, 7.9003033 47.3515615, 7.9002779 47.351551, 7.90019 47.3515145)",,,,,,,
27250686,Ringstrasse,tertiary,50,False,False,96.345,"LINESTRING (7.9013261 47.3519974, 7.9015518 47.3519893, 7.902413 47.3520069, 7.9026022 47.352026)",,4,,,,,
27250719,Dornacherstrasse,residential,30,True,False,124.87899999999999,"LINESTRING (7.9013261 47.3519974, 7.9013532 47.3520528, 7.9014567 47.3524254, 7.9016134 47.3529358, 7.9016504 47.3530981)",,,,,,,
27250777,Dornacherstrasse,living_street,20,True,False,153.359,"LINESTRING (7.9013261 47.3519974, 7.9013554 47.3518809, 7.9013596 47.3518318, 7.9013835 47.3514944, 7.9013975 47.351267, 7.9014008 47.3511896, 7.9014286 47.3506209)",,,,,,,
210399590,Ziegelfeldstrasse,tertiary,50,False,True,95.662,"LINESTRING (7.9013261 47.3519974, 7.9011337 47.3520307, 7.9002054 47.3521958, 7.9000939 47.3521963)",,,,,,,
210399590,Ziegelfeldstrasse,tertiary,50,False,True,6.664,"LINESTRING (7.9000939 47.3521963, 7.9000067 47.3521862)",,,,,,,
"[27250586, 129433995]",Neumattstrasse,residential,"['50', '30']",False,True,128.416,"LINESTRING (7.9000939 47.3521963, 7.9000898 47.3522742, 7.9001485 47.3523552, 7.9002827 47.3525248, 7.9004711 47.352755, 7.9006273 47.3529299, 7.9007545 47.3531002, 7.9008548 47.3532177)",,,,,,,
210399590,Ziegelfeldstrasse,tertiary,50,False,False,95.662,"LINESTRING (7.9000939 47.3521963, 7.9002054 47.3521958, 7.9011337 47.3520307, 7.9013261 47.3519974)",,,,,,,
210399590,Ziegelfeldstrasse,tertiary,50,False,False,6.664,"LINESTRING (7.9000067 47.3521862, 7.9000939 47.3521963)",,,,,,,
129433994,Zehnderweg,residential,50,False,True,40.236,"LINESTRING (7.9000067 47.3521862, 7.8999813 47.3522403, 7.8999552 47.3523021, 7.8998661 47.3525352)",,,,,,,
210399590,Ziegelfeldstrasse,tertiary,50,False,True,109.961,"LINESTRING (7.9000067 47.3521862, 7.8999271 47.3521632, 7.8998887 47.3521539, 7.8995464 47.3520599, 7.8988252 47.3518526, 7.8986599 47.3518051)",,,,,,,
27250771,Bleichmattstrasse,living_street,20,False,False,97.32000000000001,"LINESTRING (7.8986599 47.3518051, 7.8987202 47.3517044, 7.8989305 47.3513665, 7.8989344 47.3513603, 7.8990389 47.351193, 7.8990695 47.3511441, 7.8991116 47.3511005, 7.8991608 47.351075, 7.8992514 47.351056)",,,,,,,
