osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,bridge
4987475,1,Kempttalstrasse,secondary,50,roundabout,True,False,16.945,"LINESTRING (8.7259851 47.4085164, 8.7260219 47.4085372, 8.7260454 47.4085646, 8.7260537 47.4085923, 8.726049 47.4086211, 8.7260296 47.4086492)",,
"[217636862, 783979679]","['2', '3']",Kempttalstrasse,secondary,50,,False,True,72.99,"LINESTRING (8.7259851 47.4085164, 8.7260387 47.4084433, 8.7261298 47.4083204, 8.7261719 47.4082636, 8.7264195 47.4079295)",345,
4987475,1,Kempttalstrasse,secondary,50,roundabout,True,False,15.222,"LINESTRING (8.7260296 47.4086492, 8.7259892 47.4086752, 8.7259407 47.4086877, 8.7258915 47.4086873, 8.7258489 47.4086766)",,
"[905758138, 785417430]",,Lättenstrasse,residential,30,,False,True,64.004,"LINESTRING (8.7260296 47.4086492, 8.7261366 47.4086827, 8.7262139 47.4087065, 8.7262854 47.4087292, 8.7263461 47.4087516, 8.7263766 47.4087655, 8.7264032 47.4087792, 8.726432 47.4087985, 8.7264499 47.4088169, 8.7264656 47.4088368, 8.7264795 47.4088587, 8.726489 47.4088826, 8.7264939 47.408903, 8.7264967 47.4089233, 8.7264968 47.4089465, 8.7264905 47.4089776, 8.7264812 47.4090013, 8.7264678 47.4090277, 8.726456 47.4090481)",,
4987474,2,Kempttalstrasse,secondary,50,,False,False,329.10400000000004,"LINESTRING (8.7258489 47.4086766, 8.7257925 47.4087548, 8.7256794 47.4089122, 8.7255913 47.4090279, 8.7253803 47.4092934, 8.7249427 47.4098436, 8.7247445 47.4100974, 8.7243216 47.4106217, 8.7237778 47.411283)",345,
4987475,1,Kempttalstrasse,secondary,50,roundabout,True,False,15.593,"LINESTRING (8.7258489 47.4086766, 8.725823 47.4086634, 8.7257979 47.4086413, 8.7257836 47.4086151, 8.7257817 47.408586, 8.7257961 47.4085541)",,
4987475,1,Kempttalstrasse,secondary,50,roundabout,True,False,16.453,"LINESTRING (8.7257961 47.4085541, 8.7258273 47.4085272, 8.7258751 47.4085087, 8.7259313 47.4085047, 8.7259851 47.4085164)",,
"[27715593, 27715594, 5111062]",2,Usterstrasse,secondary,50,,False,False,28.359,"LINESTRING (8.7257961 47.4085541, 8.7257148 47.4085244, 8.725689 47.4085149, 8.7255119 47.4084503, 8.7254651 47.4084322)",,yes
905757409,,Kempttalstrasse,secondary,50,,False,True,21.03,"LINESTRING (8.7226776 47.4126243, 8.7228126 47.4124587)",345,
25347059,,Usterstrasse,secondary,50,,False,False,86.482,"LINESTRING (8.7254651 47.4084322, 8.7254001 47.4084041, 8.7252618 47.4083349, 8.7252083 47.4083066, 8.7251555 47.408273, 8.725106 47.4082369, 8.7250401 47.4081872, 8.7249303 47.4080996, 8.7246604 47.4078831)",339,
