osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,bridge
"[4881897, 563895485]",Chutzenstrasse,"['living_street', 'residential']","['20', '30']",5.5,False,False,119.578,"LINESTRING (7.4372514 46.9756746, 7.4372344 46.9757939, 7.4372321 46.9758015, 7.4372163 46.9758737, 7.4371976 46.9759249, 7.4371826 46.9759662, 7.4371474 46.9760475, 7.4370777 46.9761655, 7.4370373 46.9762271, 7.4369569 46.9763498, 7.4369075 46.9764251, 7.4367381 46.9766835)",,
203645162,Kalchackerstrasse,living_street,20,,False,True,50.975,"LINESTRING (7.4372514 46.9756746, 7.4373082 46.9756782, 7.4375998 46.9756966, 7.4377657 46.9757072, 7.4379204 46.975717)",2,
"[322946732, 8153343]",Kalchackerstrasse,"['living_street', 'tertiary']","['20', '50']",,False,False,244.148,"LINESTRING (7.4372514 46.9756746, 7.4371277 46.9756668, 7.4368496 46.9756491, 7.4366905 46.97564, 7.4364283 46.9756249, 7.4362802 46.9756165, 7.4360294 46.9755995, 7.4358516 46.9755907, 7.4352716 46.9755657, 7.4352503 46.9755648, 7.4351254 46.9755592, 7.4344092 46.9755287, 7.4340424 46.9755134)",2,
563895485,Chutzenstrasse,residential,30,,False,False,12.19,"LINESTRING (7.4361824 46.9775311, 7.4361182 46.9776316)",,
563895485,Chutzenstrasse,residential,30,,False,True,103.249,"LINESTRING (7.4361824 46.9775311, 7.43625 46.9774279, 7.4364159 46.9771749, 7.4364274 46.9771573, 7.4367381 46.9766835)",,
738364577,Johanniterstrasse,residential,30,,False,False,178.118,"LINESTRING (7.4361824 46.9775311, 7.4373633 46.9781344, 7.4376589 46.9782825, 7.4376915 46.9783063, 7.4380046 46.9785344)",,
26531737,Ritterstrasse,residential,30,,False,False,51.928,"LINESTRING (7.4380046 46.9785344, 7.4384041 46.9781552)",,
26531737,Ritterstrasse,residential,30,,False,True,168.75100000000003,"LINESTRING (7.4380046 46.9785344, 7.437066 46.9793411, 7.4369929 46.9794109, 7.4368595 46.979539, 7.4366564 46.9797407)",,
738364577,Johanniterstrasse,residential,30,,False,True,178.118,"LINESTRING (7.4380046 46.9785344, 7.4376915 46.9783063, 7.4376589 46.9782825, 7.4373633 46.9781344, 7.4361824 46.9775311)",,
26531737,Ritterstrasse,residential,30,,False,True,76.917,"LINESTRING (7.4396201 46.976676, 7.4391786 46.9772987)",,
322946730,Kalchackerstrasse,tertiary,50,,False,False,88.835,"LINESTRING (7.4396201 46.976676, 7.43986 46.9768481, 7.439942 46.9768973, 7.4400429 46.976951, 7.440121 46.9769828, 7.4401775 46.9770058, 7.4403311 46.9770606, 7.4405603 46.9771378)",2,
"[322946730, 88191262]",Kalchackerstrasse,tertiary,50,,False,True,131.252,"LINESTRING (7.4396201 46.976676, 7.4393309 46.9763889, 7.4389211 46.975974, 7.4388328 46.9759028, 7.4387609 46.9758546, 7.4386735 46.9758123, 7.4385444 46.9757728)",2,
83863637,Felsenstrasse,tertiary,50,,False,True,11.741,"LINESTRING (7.4418605 46.9775431, 7.4418262 46.977571, 7.4417951 46.9775874, 7.4417646 46.9775902, 7.4417333 46.9775905)",2,
"[72623078, 327664297, 322946729, 322946731, 1168522652]","['Felsenaubrücke', 'Fährstrasse', 'Felsenstrasse']",tertiary,50,,False,False,373.11899999999997,"LINESTRING (7.4418605 46.9775431, 7.4418748 46.9775092, 7.4418771 46.9774729, 7.4418464 46.9774396, 7.4418165 46.9774193, 7.4417615 46.977403, 7.4416531 46.9773893, 7.4416166 46.9773847, 7.4414864 46.9773503, 7.4405848 46.9769373, 7.4402948 46.9768045, 7.4402521 46.9767757, 7.44022 46.976741, 7.4401951 46.9767068, 7.4400577 46.9764109, 7.4400294 46.9763438, 7.4400212 46.9763217, 7.4400182 46.9763038, 7.4400203 46.9762886, 7.4400285 46.9762729, 7.4400457 46.9762534, 7.440066 46.9762379, 7.4401094 46.9762162, 7.4407706 46.9758752, 7.440798 46.9758613, 7.4410854 46.975714, 7.4413778 46.9755639, 7.44151 46.9754994, 7.4415964 46.9754555, 7.4416844 46.9754052)",2,yes
"[25840167, 322946733, 318136689, 318135958, 318135959]",Strandweg,residential,30,,False,False,426.419,"LINESTRING (7.4416844 46.9754052, 7.4417209 46.9754414, 7.4417301 46.9754579, 7.4417308 46.9754772, 7.4417247 46.9755015, 7.4417054 46.9755311, 7.4416753 46.9755667, 7.4416516 46.975588, 7.4415816 46.9756463, 7.4414811 46.9757209, 7.4413129 46.9758105, 7.441172 46.9758769, 7.4410501 46.9759311, 7.4409949 46.9759514, 7.4409359 46.975966, 7.4408958 46.9759687, 7.4408728 46.9759685, 7.440814 46.9759574, 7.4407562 46.9759352, 7.4407287 46.9759174, 7.4406974 46.9758832, 7.4406495 46.9758055, 7.4406094 46.9757346, 7.4404896 46.9755338, 7.4404354 46.975428, 7.4403706 46.9752691, 7.4403318 46.9751961, 7.4402887 46.9750877, 7.4402497 46.9749758, 7.4402389 46.9748994, 7.4401403 46.9745414, 7.440111 46.9744361, 7.4400933 46.9743103, 7.4400832 46.9741932, 7.4400891 46.9740868, 7.4400745 46.9739194, 7.4400544 46.9737362, 7.440033 46.9736666, 7.4400207 46.9735613, 7.4400189 46.9735332, 7.4400068 46.9733544, 7.4399987 46.9731384)",,
"[744189720, 744189719, 561768135]",Fährstrasse,tertiary,50,,False,False,69.412,"LINESTRING (7.4416844 46.9754052, 7.4417945 46.975338, 7.4418562 46.9752913, 7.4418863 46.9752628, 7.4419034 46.9752427, 7.4419182 46.9752213, 7.4419337 46.9751907, 7.4419487 46.9751378, 7.4419567 46.9750974, 7.441956 46.9750557, 7.4419472 46.9750072, 7.4419088 46.9748484)",2,
"[72623078, 327664297, 322946729, 322946731, 1168522652]","['Fährstrasse', 'Felsenaubrücke', 'Felsenstrasse']",tertiary,50,,False,True,373.1190000000001,"LINESTRING (7.4416844 46.9754052, 7.4415964 46.9754555, 7.44151 46.9754994, 7.4413778 46.9755639, 7.4410854 46.975714, 7.440798 46.9758613, 7.4407706 46.9758752, 7.4401094 46.9762162, 7.440066 46.9762379, 7.4400457 46.9762534, 7.4400285 46.9762729, 7.4400203 46.9762886, 7.4400182 46.9763038, 7.4400212 46.9763217, 7.4400294 46.9763438, 7.4400577 46.9764109, 7.4401951 46.9767068, 7.44022 46.976741, 7.4402521 46.9767757, 7.4402948 46.9768045, 7.4405848 46.9769373, 7.4414864 46.9773503, 7.4416166 46.9773847, 7.4416531 46.9773893, 7.4417615 46.977403, 7.4418165 46.9774193, 7.4418464 46.9774396, 7.4418771 46.9774729, 7.4418748 46.9775092, 7.4418605 46.9775431)",2,yes
83863637,Felsenstrasse,tertiary,50,,False,False,11.741,"LINESTRING (7.4417333 46.9775905, 7.4417646 46.9775902, 7.4417951 46.9775874, 7.4418262 46.977571, 7.4418605 46.9775431)",2,
322946730,Kalchackerstrasse,tertiary,50,,False,True,102.348,"LINESTRING (7.4417333 46.9775905, 7.4416752 46.9775777, 7.4416026 46.9775513, 7.4412069 46.9773914, 7.4411395 46.9773641, 7.4405603 46.9771378)",2,
327664954,Aeschenbrunnmattstrasse,tertiary,50,,False,True,108.781,"LINESTRING (7.4417333 46.9775905, 7.4416931 46.9776586, 7.4416284 46.9777621, 7.4413214 46.9780518, 7.4413184 46.9780546, 7.4411469 46.9782578, 7.4409954 46.9784254)",2,
25840168,Felshaldenweg,residential,30,,False,False,199.42600000000002,"LINESTRING (7.4419088 46.9748484, 7.4418543 46.9748539, 7.4417095 46.9748716, 7.4416092 46.9748826, 7.4415489 46.9748843, 7.4415068 46.9748818, 7.4414841 46.9748746, 7.4414631 46.9748644, 7.4414491 46.9748452, 7.4414434 46.9748277, 7.441347 46.974503, 7.4412393 46.9741578, 7.4410845 46.9736616, 7.441053 46.9736046, 7.4410178 46.9735634, 7.4409635 46.9734969, 7.4409183 46.9734387)",,
"[528509333, 744189719]",Fährstrasse,tertiary,50,,False,False,261.026,"LINESTRING (7.4419088 46.9748484, 7.4418738 46.9747034, 7.4418148 46.9744805, 7.4418007 46.974437, 7.4416967 46.9741275, 7.441657 46.9740356, 7.4415895 46.9739092, 7.4412508 46.9733514, 7.4411828 46.9732395, 7.4411451 46.9731776, 7.4411137 46.9731259, 7.4410953 46.9730913, 7.441084 46.9730547, 7.4410768 46.973017, 7.4410734 46.9729871, 7.4410749 46.9729554, 7.4410798 46.9729253, 7.441098 46.9728797, 7.4411133 46.9728558, 7.4411375 46.9728218, 7.4411545 46.9728009, 7.4411835 46.9727652, 7.4412286 46.9727236, 7.4412735 46.9726941, 7.4413045 46.9726819, 7.4413512 46.9726677)",,
"[744189720, 561768135, 744189719]",Fährstrasse,tertiary,50,,False,True,69.412,"LINESTRING (7.4419088 46.9748484, 7.4419472 46.9750072, 7.441956 46.9750557, 7.4419567 46.9750974, 7.4419487 46.9751378, 7.4419337 46.9751907, 7.4419182 46.9752213, 7.4419034 46.9752427, 7.4418863 46.9752628, 7.4418562 46.9752913, 7.4417945 46.975338, 7.4416844 46.9754052)",2,
203645162,Kalchackerstrasse,living_street,20,,False,False,50.97500000000001,"LINESTRING (7.4379204 46.975717, 7.4377657 46.9757072, 7.4375998 46.9756966, 7.4373082 46.9756782, 7.4372514 46.9756746)",2,
