osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,access,tunnel,junction,bridge
25837091,True,3,1,Place Charles Dufour,primary,50,False,47.821,"LINESTRING (6.4958416 46.5076918, 6.4954778 46.5076359, 6.495229 46.5076079)",,,,,
23359564,True,3,1,Rue de la Gare,primary,50,False,20.853,"LINESTRING (6.4961551 46.5087997, 6.4961495 46.5086122)",,,,,
"[110018320, 527726241, 527726238, 23335310]",True,1,,"['Rue des Fossés', 'Passage de la Couronne', 'Rue des Jardins']",residential,50,False,183.93699999999998,"LINESTRING (6.4961551 46.5087997, 6.4962723 46.508764, 6.4966969 46.508604, 6.496732 46.5086323, 6.4969889 46.5088394, 6.4972371 46.5090233, 6.4969085 46.5091888, 6.4966168 46.5093414, 6.4965669 46.5093661, 6.496506 46.509401, 6.4964585 46.509429)",,,,,
"[23365169, 198693563]",False,,,Rue Docteur Yersin,residential,30,False,132.651,"LINESTRING (6.4977491 46.5128265, 6.4978042 46.5128035, 6.4981259 46.5125931, 6.4981845 46.5125548, 6.4982106 46.5125377, 6.4982794 46.5124929, 6.4989158 46.5120362, 6.498947 46.5120204, 6.4989917 46.5119978)",5,,,,
"[1173576987, 24817030, 959806487]",False,,,Rue du Sablon,residential,30,False,134.6,"LINESTRING (6.4977491 46.5128265, 6.4977295 46.5128059, 6.4977 46.5127747, 6.4976114 46.5126812, 6.4974207 46.5124799, 6.4973309 46.5123851, 6.497173 46.5122055, 6.4971443 46.5121728, 6.4970151 46.5120508, 6.4967907 46.5118119)","['5', '6']",,,,
110377045,True,3,1,Rue des Charpentiers,primary,50,False,42.596,"LINESTRING (6.4964585 46.509429, 6.4962616 46.5090707)",,,,,
23335319,True,,1,Rue des Charpentiers,primary,50,False,82.88000000000001,"LINESTRING (6.4989165 46.5112096, 6.4987568 46.511215, 6.4986844 46.511211, 6.4986324 46.5112062, 6.4985811 46.5111966, 6.4983936 46.5111493, 6.4980998 46.5110737, 6.4978877 46.5110098)",,,,,
23335407,True,,129,,secondary,50,False,38.065,"LINESTRING (6.4989165 46.5112096, 6.4987621 46.5112614, 6.4986928 46.5112957, 6.4986721 46.5113694, 6.4986782 46.5114596)",,,,,
"[791403208, 23326411]",True,2,1,Place Charles Dufour,primary,50,False,57.03500000000001,"LINESTRING (6.4962395 46.5080769, 6.496223 46.507967, 6.4962021 46.5079092, 6.4961785 46.5078602, 6.496127 46.5078111, 6.4960803 46.5077828, 6.4959969 46.5077482, 6.4958416 46.5076918)",,yes,,,
24829925,True,1,,Place Charles Dufour,residential,50,False,39.06,"LINESTRING (6.4962395 46.5080769, 6.496355 46.5078617, 6.4964123 46.5077464)",,,,,
"[23365337, 1171526754, 828867236]",False,2,,Avenue Jean-Jacques Cart,secondary,50,False,233.68000000000004,"LINESTRING (6.4970901 46.5133533, 6.4970742 46.5133454, 6.4970019 46.5133105, 6.4966716 46.5131549, 6.4963537 46.5130286, 6.4960691 46.5129703, 6.4954985 46.5128788, 6.4951878 46.5128574, 6.4949533 46.5128629, 6.4948776 46.5128688, 6.4948028 46.5128763, 6.4947298 46.5128868, 6.4946578 46.5128983, 6.4945492 46.5129205, 6.4944432 46.5129456, 6.4942362 46.5130028)",,,,,
"[28901425, 86642195, 777456356, 110013839]",True,,,Rue Docteur Yersin,residential,30,False,77.31200000000001,"LINESTRING (6.4970901 46.5133533, 6.4971276 46.5133239, 6.4973694 46.5131398, 6.4974261 46.5130942, 6.4974393 46.5130821, 6.4977155 46.5128558, 6.4977491 46.5128265)",6,no,yes,,
"[596609713, 596609715, 110013853]",False,"['2', '3']",1,Rue de Lausanne,primary,50,False,220.264,"LINESTRING (6.4999792 46.5115873, 6.5000199 46.5117505, 6.5001097 46.5119616, 6.5002426 46.5121413, 6.5004683 46.5123752, 6.5009786 46.5128058, 6.501173 46.5129743, 6.5014858 46.5132402)",,,,,
"[23335409, 941391485]",False,"['2', '3']",1,Rue de Lausanne,primary,50,True,47.765,"LINESTRING (6.4999792 46.5115873, 6.4999657 46.5114954, 6.4999589 46.5114286, 6.4999526 46.5113632, 6.4999439 46.5111586)",,,,,
23335367,True,2,1,Place Saint-Louis,primary,50,False,17.942,"LINESTRING (6.4999439 46.5111586, 6.4999139 46.5111164, 6.4998763 46.5110831, 6.4998353 46.5110595, 6.4997879 46.5110457)",,,,,
"[23335409, 941391485]",False,"['2', '3']",1,Rue de Lausanne,primary,50,False,47.765,"LINESTRING (6.4999439 46.5111586, 6.4999526 46.5113632, 6.4999589 46.5114286, 6.4999657 46.5114954, 6.4999792 46.5115873)",,,,,
"[86762972, 521442087]",False,,,Rue Saint-Louis,residential,30,False,109.511,"LINESTRING (6.4967907 46.5118119, 6.4973596 46.5115461, 6.4974265 46.5115092, 6.4976752 46.511372, 6.4977101 46.5113538, 6.4978753 46.5112673, 6.4979142 46.5112539, 6.49795 46.5112362)",,,,,
975933375,False,,,Rue Saint-Louis,residential,30,True,14.063,"LINESTRING (6.4967907 46.5118119, 6.4967294 46.5118419, 6.4966219 46.5118523)",5,,,,
"[1173576987, 24817030, 959806487]",False,,,Rue du Sablon,residential,30,True,134.60000000000002,"LINESTRING (6.4967907 46.5118119, 6.4970151 46.5120508, 6.4971443 46.5121728, 6.497173 46.5122055, 6.4973309 46.5123851, 6.4974207 46.5124799, 6.4976114 46.5126812, 6.4977 46.5127747, 6.4977295 46.5128059, 6.4977491 46.5128265)","['5', '6']",,,,
110377106,True,,,Rue Saint-Louis,residential,50,False,19.373,"LINESTRING (6.49795 46.5112362, 6.4979586 46.511145, 6.4979564 46.5110984, 6.497944 46.5110632)",,,,,
"[86762972, 521442087]",False,,,Rue Saint-Louis,residential,30,True,109.511,"LINESTRING (6.49795 46.5112362, 6.4979142 46.5112539, 6.4978753 46.5112673, 6.4977101 46.5113538, 6.4976752 46.511372, 6.4974265 46.5115092, 6.4973596 46.5115461, 6.4967907 46.5118119)",,,,,
"[364039113, 88954948, 110237959, 77344583]",True,"['2', '3']",1,Rue des Charpentiers,primary,50,False,210.171,"LINESTRING (6.4978877 46.5110098, 6.4978431 46.5109729, 6.4973429 46.5105745, 6.4971407 46.5104143, 6.4970386 46.5103307, 6.4969282 46.5102372, 6.4968473 46.5101604, 6.4967223 46.50992, 6.4966781 46.5098419, 6.4965872 46.5096745, 6.4964585 46.509429)",,,,,
23365182,True,1,77,Avenue des Pâquis,secondary,50,False,44.083000000000006,"LINESTRING (6.4986782 46.5114596, 6.4985488 46.5113207, 6.4985358 46.5113057, 6.4985244 46.5112913, 6.4984272 46.5112165, 6.4983762 46.5111902, 6.4983036 46.5111714)",,,,,
"[849917473, 527858934]",False,2,77,Avenue des Pâquis,secondary,50,True,56.91499999999999,"LINESTRING (6.4986782 46.5114596, 6.4986902 46.5114757, 6.498898 46.5117643, 6.4989599 46.511849, 6.4989855 46.5118832, 6.4989996 46.5119019, 6.4990111 46.5119173)",,,,,
"[110013880, 110013837]",True,,1,Rue Louis de Savoie,primary,50,False,14.779,"LINESTRING (6.4999831 46.5110293, 6.4999737 46.5110965, 6.4999439 46.5111586)",,,,,
