osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel,junction,access,width
"[8081619, 55924317, 1041096798]",Heidengasse,residential,30,False,False,121.19900000000001,"LINESTRING (8.5300573 47.1966911, 8.5300548 47.1967633, 8.5300368 47.196816, 8.5299933 47.1968563, 8.5296202 47.1970326, 8.5290216 47.1973154, 8.5288888 47.1973774)",,,,,,
164478078,Langgasse,primary,50,False,True,75.064,"LINESTRING (8.5300573 47.1966911, 8.5302282 47.1966957, 8.5305485 47.1966843, 8.5307537 47.1966689, 8.5307973 47.1966656, 8.5310459 47.1966402)",3,4,,,,
412095977,Langgasse,primary,50,False,False,125.319,"LINESTRING (8.5300573 47.1966911, 8.5299046 47.1966762, 8.5297555 47.1966548, 8.5294953 47.1965952, 8.5292507 47.19652, 8.5287521 47.19633, 8.528719 47.1963172, 8.5285436 47.1962531)",2,4,,,,
156517111,Neugasse,primary,50,False,True,37.058,"LINESTRING (8.5260773 47.1953648, 8.5260327 47.1953676, 8.5259928 47.1953731, 8.5259111 47.1953911, 8.5258612 47.1954067, 8.5258228 47.1954236, 8.5257744 47.1954483, 8.5257203 47.1954816, 8.5256615 47.1955232)",2,4,,,,
473891349,Kreuzplatz,primary,50,False,True,31.634,"LINESTRING (8.5260773 47.1953648, 8.5261163 47.1953664, 8.5261641 47.1953734, 8.5262127 47.1953836, 8.5264023 47.1954445, 8.5264656 47.195465)",3,4,,,,
"[8080101, 911886559]",Rathausstrasse,tertiary,"['50', '30']",False,False,106.02500000000002,"LINESTRING (8.5260773 47.1953648, 8.5260797 47.1953151, 8.5260836 47.1952873, 8.5260899 47.195259, 8.5260992 47.1952297, 8.526149 47.1951223, 8.5262096 47.194992, 8.5262355 47.1949364, 8.5263453 47.1946988, 8.5263745 47.194627, 8.5263737 47.1945608, 8.5263619 47.1945077, 8.5263098 47.1944517)","['2', '3']",,,,,
156517111,Neugasse,primary,50,False,False,37.058,"LINESTRING (8.5256615 47.1955232, 8.5257203 47.1954816, 8.5257744 47.1954483, 8.5258228 47.1954236, 8.5258612 47.1954067, 8.5259111 47.1953911, 8.5259928 47.1953731, 8.5260327 47.1953676, 8.5260773 47.1953648)",2,4,,,,
691531060,Neugasse,primary,50,False,True,61.574,"LINESTRING (8.5256615 47.1955232, 8.5256179 47.1955594, 8.5255759 47.195603, 8.5252958 47.195977, 8.5252709 47.1960079)",3,4,,,,
55924336,Bahnhofstrasse,residential,30,False,False,83.10399999999998,"LINESTRING (8.5234405 47.194406, 8.5236091 47.1940805, 8.5236978 47.1939091, 8.5237638 47.1937816, 8.5237966 47.1936991)",,,,,,
"[55924336, 911886555]",Bahnhofstrasse,"['residential', 'living_street']","['20', '30']",False,True,76.697,"LINESTRING (8.5234405 47.194406, 8.5231804 47.1949049, 8.5231389 47.1949845, 8.5230863 47.1950516)",,,,,,
