osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,bridge
74006490,2,3,primary,90,False,False,430.97900000000004,"LINESTRING (14.4530746 48.9474634, 14.4529437 48.9471083, 14.452811 48.946828, 14.4526408 48.9465188, 14.4521946 48.945756, 14.4521259 48.9456404, 14.4520976 48.9455927, 14.4520498 48.9455122, 14.4515475 48.9446659, 14.4510213 48.9438338)",
"[672861112, 838362710]",,,tertiary,"['90', '50']",False,True,228.70600000000002,"LINESTRING (14.4530746 48.9474634, 14.453094 48.9474498, 14.4531155 48.9474261, 14.4531356 48.9473873, 14.453149 48.9473441, 14.4531536 48.9472961, 14.4531539 48.9471673, 14.4530487 48.9465154, 14.4530438 48.9464793, 14.4528388 48.9456491, 14.4528132 48.9455371, 14.4527982 48.9454714, 14.4527901 48.9454357)",
"[815082947, 22779940]",1,,primary_link,"['90', '50']",True,False,203.13600000000002,"LINESTRING (14.450818 48.9420937, 14.4507701 48.9422036, 14.4506449 48.9423529, 14.4505878 48.9424384, 14.4505358 48.9425521, 14.4505205 48.9426836, 14.4505615 48.9428619, 14.4506294 48.9430175, 14.4510213 48.9438338)",
22779945,2,143,secondary,30,False,True,58.426,"LINESTRING (14.450818 48.9420937, 14.4508664 48.9419894, 14.4508665 48.9418718, 14.450829 48.941786, 14.450737 48.941707, 14.4506465 48.9416673, 14.4505901 48.9416565)",
1047723353,,,tertiary,,False,False,88.414,"LINESTRING (14.450818 48.9420937, 14.451056 48.9421668, 14.451636 48.9423456, 14.4519153 48.9424295)",
229590079,2,143,secondary,90,False,False,45.907000000000004,"LINESTRING (14.448228 48.94199, 14.4483158 48.9419766, 14.4483837 48.9419663, 14.4488403 48.9418967)",
673049796,,143,secondary,90,False,True,38.572,"LINESTRING (14.448228 48.94199, 14.4479846 48.9419939, 14.4477003 48.9419846)",
22779938,1,,primary_link,90,True,False,236.304,"LINESTRING (14.4491619 48.9415511, 14.4491441 48.9413261, 14.448612 48.9394587)",
229590092,2,3,primary,90,False,True,257.911,"LINESTRING (14.448612 48.9394587, 14.4490265 48.9403929, 14.4493573 48.9410565, 14.4496932 48.9416659)",
"[333256265, 22779954]",1,,primary_link,90,True,False,242.69799999999998,"LINESTRING (14.4510213 48.9438338, 14.4500149 48.9426139, 14.4498035 48.9423442, 14.4496287 48.94222, 14.4494261 48.942126, 14.4493133 48.9420883, 14.4492093 48.9420536)",
74006490,2,3,primary,90,False,True,430.9789999999999,"LINESTRING (14.4510213 48.9438338, 14.4515475 48.9446659, 14.4520498 48.9455122, 14.4520976 48.9455927, 14.4521259 48.9456404, 14.4521946 48.945756, 14.4526408 48.9465188, 14.452811 48.946828, 14.4529437 48.9471083, 14.4530746 48.9474634)",
229590087,2,3,primary,90,False,False,259.885,"LINESTRING (14.4510213 48.9438338, 14.4503281 48.9427584, 14.4496932 48.9416659)",
"[22779941, 672861111]",1,,primary_link,"['90', '50']",True,False,114.95200000000001,"LINESTRING (14.4496932 48.9416659, 14.4499493 48.9419702, 14.4501541 48.9421264, 14.4503608 48.9421914, 14.4505518 48.9421945, 14.4507057 48.9421531, 14.450818 48.9420937)",
229590087,2,3,primary,90,False,True,259.885,"LINESTRING (14.4496932 48.9416659, 14.4503281 48.9427584, 14.4510213 48.9438338)",
229590092,2,3,primary,90,False,False,257.911,"LINESTRING (14.4496932 48.9416659, 14.4493573 48.9410565, 14.4490265 48.9403929, 14.448612 48.9394587)",
22779942,1,,primary_link,90,True,False,27.851999999999997,"LINESTRING (14.4492093 48.9420536, 14.4491758 48.9420122, 14.4491587 48.9419478, 14.449166 48.9418849, 14.4492262 48.941821)",
333256266,1,,primary_link,90,True,False,72.241,"LINESTRING (14.4492093 48.9420536, 14.4490099 48.9420199, 14.448228 48.94199)",
838362710,,,tertiary,50,False,False,171.03,"LINESTRING (14.4525943 48.9439228, 14.4525229 48.9439961, 14.4525238 48.9440665, 14.4526523 48.9448517, 14.4527901 48.9454357)",
"[841482925, 333256271]",,,residential,"['50', '30']",False,True,53.906,"LINESTRING (14.4525943 48.9439228, 14.4527333 48.9439029, 14.4528873 48.9438788, 14.453149 48.9438379, 14.4533158 48.9438221)",
1047723354,,,tertiary,50,False,True,42.638,"LINESTRING (14.4525943 48.9439228, 14.4526779 48.9437626, 14.4527245 48.9435507)",
25754342,,,residential,50,False,True,91.209,"LINESTRING (14.4527245 48.9435507, 14.4523571 48.9435366, 14.4514776 48.9435686)",
"[1047723355, 333256267, 1047723356]",,,tertiary,50,False,True,148.124,"LINESTRING (14.4527245 48.9435507, 14.4527018 48.9433816, 14.4526657 48.9432363, 14.4526556 48.9431956, 14.4526226 48.943111, 14.4524784 48.9427406, 14.4523865 48.9426179, 14.4522778 48.9425421, 14.4519153 48.9424295)",
333256270,,,residential,30,False,False,46.099000000000004,"LINESTRING (14.4527245 48.9435507, 14.4529377 48.9436088, 14.4531295 48.9436439, 14.4533062 48.9437072)",
1047723354,,,tertiary,50,False,False,42.638,"LINESTRING (14.4527245 48.9435507, 14.4526779 48.9437626, 14.4525943 48.9439228)",
333256268,,,residential,30,False,False,41.353,"LINESTRING (14.4563394 48.9434471, 14.4564291 48.9438143)",
71187533,,,residential,30,False,False,51.955,"LINESTRING (14.4563394 48.9434471, 14.4565837 48.9434405, 14.4565751 48.9437471)",
333256268,,,residential,30,False,True,224.348,"LINESTRING (14.4563394 48.9434471, 14.4561185 48.943471, 14.4559166 48.9434928, 14.4554646 48.9435447, 14.45524 48.9435848, 14.455013 48.9436253, 14.4548252 48.9436529, 14.4546943 48.943675, 14.454209 48.9436858, 14.4538639 48.9436945, 14.4536061 48.9437002, 14.4533062 48.9437072)",
333256268,,,residential,30,False,True,41.353,"LINESTRING (14.4564291 48.9438143, 14.4563394 48.9434471)",
25754341,,,residential,30,False,False,229.968,"LINESTRING (14.4564291 48.9438143, 14.4562003 48.9438795, 14.4558675 48.9438789, 14.4558065 48.9438788, 14.4556229 48.9438786, 14.4553753 48.9438783, 14.4548575 48.9438777, 14.4545807 48.9438773, 14.4543257 48.943877, 14.4541102 48.9438767, 14.4540319 48.9438766, 14.4537083 48.9438762, 14.4535339 48.943876, 14.4533158 48.9438221)",
25754344,,,residential,30,False,False,13.395,"LINESTRING (14.4564291 48.9438143, 14.4565164 48.9437914, 14.4565751 48.9437471)",
