osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,name,geometry,bridge
"[376997816, 108160341, 108160342]",2,431,secondary,50,False,True,143.794,Vyškovská,"LINESTRING (17.0032814 49.1511343, 17.0033213 49.1512075, 17.0034188 49.1514391, 17.003463 49.1515442, 17.0035195 49.151681, 17.0036523 49.1518629, 17.0037836 49.1520428, 17.003898 49.1521524, 17.0040625 49.1523101)",
171037889,2,50,primary,50,False,False,146.535,Legionářská,"LINESTRING (17.0032814 49.1511343, 17.0035072 49.1510735, 17.0041856 49.1508259, 17.0047659 49.150545, 17.0049804 49.1504358)",
373664218,2,50,primary,50,False,True,307.153,Slavkovská,"LINESTRING (17.0032814 49.1511343, 17.0022592 49.1514384, 17.0018819 49.1515491, 17.0015683 49.1516304, 17.0012476 49.1516938, 17.0010383 49.1517263, 17.0009284 49.1517382, 17.0008385 49.1517478, 17.0007222 49.1517588, 17.0005757 49.1517697, 17.0002165 49.1517824, 16.9994225 49.1517857, 16.9992454 49.1517983)",
52566068,2,50,primary,50,False,True,36.366,Slovenská,"LINESTRING (17.0064714 49.1472402, 17.0063094 49.1475496)",
504134033,,,residential,,False,False,44.078,Úlehla,"LINESTRING (17.0064714 49.1472402, 17.0070769 49.147224)",
27467297,,43111,tertiary,,False,False,24.171,Dvorská,"LINESTRING (17.0065405 49.1491744, 17.0067398 49.1491972, 17.0068643 49.1492217)",
52566074,2,50,primary,50,False,True,183.64800000000002,Legionářská,"LINESTRING (17.0065405 49.1491744, 17.0065178 49.149266, 17.0064296 49.1494125, 17.0061787 49.1496593, 17.0055576 49.1501043, 17.0049804 49.1504358)",
171037883,2,50,primary,50,False,False,169.183,Dvorská,"LINESTRING (17.0065405 49.1491744, 17.0065512 49.1490564, 17.0065496 49.1489469, 17.0065268 49.1487995, 17.0065056 49.1486624, 17.0063092 49.147722, 17.0063093 49.1476633)",
48875182,,,residential,,False,True,91.188,Vyškovská,"LINESTRING (17.0051877 49.1528296, 17.0048712 49.1520689, 17.0048585 49.1520383)",
1033834511,2,431,secondary,50,False,False,101.21,Vyškovská,"LINESTRING (17.0051877 49.1528296, 17.0048287 49.1527263, 17.0044692 49.1525577, 17.004265 49.1524513, 17.0041967 49.1524037, 17.0040625 49.1523101)",
