osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction,tunnel
23721515,tř. T. G. Masaryka,tertiary,False,False,26.476,"LINESTRING (18.3544089 49.6837433, 18.3545315 49.6835188)",,,,,,
23721515,tř. T. G. Masaryka,tertiary,False,True,133.245,"LINESTRING (18.3544089 49.6837433, 18.3543436 49.6838319, 18.3542872 49.6838838, 18.3542132 49.6839391, 18.3539874 49.6840793, 18.3536303 49.6843029, 18.353149 49.6846131)",,,,,,
30801506,Antala Staška,residential,False,False,201.75700000000003,"LINESTRING (18.353648 49.688099, 18.353452 49.6881936, 18.353378 49.688227, 18.3531235 49.6883518, 18.3528534 49.6884793, 18.3525481 49.6886234, 18.3524675 49.6886594, 18.3520481 49.6888469, 18.3520152 49.6888616, 18.3518438 49.6889347, 18.3518231 49.6889435, 18.3515613 49.6890555, 18.3513914 49.6891277, 18.3513552 49.6891431)",,,,,,
"[542417477, 485592997]",Bruzovská,secondary,False,True,195.354,"LINESTRING (18.353648 49.688099, 18.3535 49.6880136, 18.3527093 49.6874955, 18.3525029 49.687352, 18.3517847 49.6868225)",4,473,50,,,
202594577,Revoluční,secondary,False,True,216.56900000000002,"LINESTRING (18.3452491 49.6877847, 18.3448369 49.6876861, 18.3444287 49.687567, 18.3438336 49.6873335, 18.343342 49.6870696, 18.3429994 49.686829, 18.3428264 49.6866843)",,473,,,,
487630493,Revoluční,secondary,True,False,132.565,"LINESTRING (18.3452491 49.6877847, 18.346201 49.6878718, 18.3467735 49.6878643, 18.3468738 49.6878569, 18.3470803 49.6878417)",3,473,,,,
47400591,Míru,residential,False,False,45.171,"LINESTRING (18.3428264 49.6866843, 18.3425503 49.6868124, 18.3423161 49.686921)",,,,,,
202594577,Revoluční,secondary,False,False,216.569,"LINESTRING (18.3428264 49.6866843, 18.3429994 49.686829, 18.343342 49.6870696, 18.3438336 49.6873335, 18.3444287 49.687567, 18.3448369 49.6876861, 18.3452491 49.6877847)",,473,,,,
9623734,Bruzovská,secondary,False,True,11.163,"LINESTRING (18.3510408 49.686185, 18.3509485 49.6861043)",,473,,,,
166278829,Bruzovská,secondary,False,False,88.819,"LINESTRING (18.3510408 49.686185, 18.3511785 49.6863021, 18.351232 49.686348, 18.3517847 49.6868225)",3,473,50,,,
487630476,Revoluční,secondary,True,False,67.26400000000001,"LINESTRING (18.3510408 49.686185, 18.350904 49.6863145, 18.3505021 49.6866794)",2,473,,,,
30499592,,secondary_link,True,False,120.12,"LINESTRING (18.3517847 49.6868225, 18.351214 49.6864616, 18.3511342 49.6864445, 18.3510519 49.6864268, 18.3509112 49.6864389, 18.3507822 49.686483, 18.3505021 49.6866794)",,,,,,
166278829,Bruzovská,secondary,False,True,88.819,"LINESTRING (18.3517847 49.6868225, 18.351232 49.686348, 18.3511785 49.6863021, 18.3510408 49.686185)",3,473,50,,,
"[542417477, 485592997]",Bruzovská,secondary,False,False,195.35399999999998,"LINESTRING (18.3517847 49.6868225, 18.3525029 49.687352, 18.3527093 49.6874955, 18.3535 49.6880136, 18.353648 49.688099)",4,473,50,,,
30801865,Puškinova,residential,False,False,25.987,"LINESTRING (18.3446953 49.689852, 18.3448351 49.6900675)",,,,,,
30815586,Na Aleji,residential,False,False,48.925,"LINESTRING (18.3446953 49.689852, 18.3446057 49.6897591, 18.3445357 49.6896419, 18.3445358 49.6894994, 18.3445398 49.6894371)",,,30,,,
"[485602203, 542421395, 542417471]",Lískovecká,secondary,False,False,249.839,"LINESTRING (18.3446953 49.689852, 18.3449185 49.6897392, 18.3464532 49.6889096, 18.3467991 49.6887219, 18.3469775 49.6885608, 18.3470624 49.6884426, 18.34711 49.6882966)","['2', '3']",477,,,,
26580933,,primary_link,True,False,36.115,"LINESTRING (18.3548384 49.683027, 18.354628 49.6830623, 18.3545196 49.6830619, 18.3543473 49.683038)",1,48,,,,
27560147,tř. T. G. Masaryka,tertiary,False,True,58.974999999999994,"LINESTRING (18.3548384 49.683027, 18.3547544 49.6831601, 18.3547365 49.6831883, 18.3545315 49.6835188)",,477,,,,
27560522,,primary_link,True,False,29.424,"LINESTRING (18.3548384 49.683027, 18.3549175 49.6829945, 18.3550013 49.6829752, 18.355114 49.6829736, 18.355226 49.6829859)",1,48,,,,
"[256600034, 387234771]",tř. T. G. Masaryka,tertiary,False,False,35.869,"LINESTRING (18.3548384 49.683027, 18.3549196 49.6828983, 18.3549358 49.6828727, 18.35499 49.6827869, 18.3550198 49.6827267)",,477,,yes,,
30814615,,secondary_link,True,False,84.54599999999999,"LINESTRING (18.34711 49.6882966, 18.3469533 49.6881243, 18.346899 49.688058, 18.3467526 49.6879976, 18.3461808 49.6879493)",1,,,,,
493036662,Lískovecká,secondary,False,False,41.713,"LINESTRING (18.34711 49.6882966, 18.3470938 49.6881666, 18.3470885 49.6880754, 18.3470847 49.6880111, 18.3470829 49.687922)",2,477,,,,
"[542421395, 485602203, 542417471]",Lískovecká,secondary,False,True,249.83899999999997,"LINESTRING (18.34711 49.6882966, 18.3470624 49.6884426, 18.3469775 49.6885608, 18.3467991 49.6887219, 18.3464532 49.6889096, 18.3449185 49.6897392, 18.3446953 49.689852)","['2', '3']",477,,,,
23721515,tř. T. G. Masaryka,tertiary,False,True,26.476,"LINESTRING (18.3545315 49.6835188, 18.3544089 49.6837433)",,,,,,
