osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge,access,junction
29199400,U Lesovny,residential,False,True,91.48,"LINESTRING (16.2298264 50.5388901, 16.2297219 50.5389696, 16.2296627 50.5390866, 16.2296558 50.5391029, 16.2295784 50.5392859, 16.2294017 50.5396592)",,,,,,
29199490,Nad Pekárnou,residential,False,True,90.037,"LINESTRING (16.2298264 50.5388901, 16.2295812 50.5389105, 16.2294645 50.5389524, 16.2293525 50.5390093, 16.2291253 50.539137, 16.2287947 50.5393273)",,,,,,
221913620,,residential,False,True,130.886,"LINESTRING (16.2298264 50.5388901, 16.2299249 50.538837, 16.230055 50.5387588, 16.2302166 50.5385943, 16.2303867 50.5383844, 16.2304896 50.5382363, 16.2305683 50.5380646, 16.2306626 50.5378629)",,,,,,
302868227,Žďárská,secondary,False,False,182.63,"LINESTRING (16.2298264 50.5388901, 16.2298523 50.5389432, 16.2298975 50.5389942, 16.2299556 50.5390353, 16.2300197 50.539058, 16.2301098 50.5390736, 16.2302073 50.5390762, 16.2303082 50.5390608, 16.2303807 50.539031, 16.2304377 50.5389915, 16.2304759 50.538939, 16.230508 50.5388678, 16.2306485 50.5383353, 16.2306972 50.5381335, 16.2307347 50.5380321, 16.2307696 50.5379605, 16.2308231 50.5378931)",301,50,,,,
302868227,Žďárská,secondary,False,False,45.842,"LINESTRING (16.2311619 50.5377293, 16.2317323 50.537533)",301,50,,,,
29199398,Malá Ledhuj,residential,False,True,244.83,"LINESTRING (16.2311619 50.5377293, 16.2311757 50.5377781, 16.23118 50.5378208, 16.2312045 50.5384769, 16.2311771 50.5389619, 16.2311014 50.5393255, 16.2312216 50.5395925, 16.2313612 50.5396394, 16.2313919 50.5396678, 16.2314832 50.5398472)",,,,,,
302868227,Žďárská,secondary,False,True,30.492,"LINESTRING (16.2311619 50.5377293, 16.2309765 50.5377961, 16.2309118 50.5378266, 16.2308641 50.537856, 16.2308231 50.5378931)",301,50,,,,
9405062,Komenského náměstí,tertiary,False,True,41.82,"LINESTRING (16.2340579 50.5386006, 16.2340137 50.5385586, 16.2339466 50.5384945, 16.2338557 50.5384069, 16.2337303 50.5382874)",,50,2,,,
135498738,Na Babí,tertiary,False,False,147.31699999999998,"LINESTRING (16.2340579 50.5386006, 16.2341288 50.5385733, 16.2341692 50.5385527, 16.2342142 50.5385227, 16.23426 50.5384858, 16.2342975 50.5384366, 16.2345096 50.5381022, 16.2346257 50.5379421, 16.2347759 50.5378304, 16.2349445 50.537732, 16.2352764 50.5375685)",30319,50,2,,,
135498740,Na Babí,tertiary,False,False,35.259,"LINESTRING (16.2340579 50.5386006, 16.2337643 50.5387225, 16.2336353 50.5387689)",,50,2,,,
