osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction
31976389,330,Husova,secondary,False,False,136.535,"LINESTRING (14.9855909 50.1385152, 14.9855535 50.1383774, 14.985266 50.1373051)",2,,
31976376,,Barákova,residential,False,False,70.149,"LINESTRING (14.987877 50.1380363, 14.9870271 50.1383545)",,,
31976381,,Riegrova,residential,False,False,122.755,"LINESTRING (14.987877 50.1380363, 14.9872816 50.1370004)",,,
"[31976376, 31976375]",,"['Barákova', 'Hlouškova']",residential,False,True,362.918,"LINESTRING (14.987877 50.1380363, 14.988048 50.137987, 14.9898173 50.1375654, 14.9911149 50.1373265, 14.9911688 50.1370921, 14.9910499 50.1362641)",,,
31976377,,Spálená,residential,False,False,397.07399999999996,"LINESTRING (14.9926022 50.1393259, 14.9909883 50.1390442, 14.9894071 50.1387272, 14.9883044 50.1383932, 14.9872852 50.1383407)",,,
31976377,,Spálená,residential,False,False,18.458,"LINESTRING (14.9872852 50.1383407, 14.9870271 50.1383545)",,,
31976377,,Spálená,residential,False,True,397.07399999999996,"LINESTRING (14.9872852 50.1383407, 14.9883044 50.1383932, 14.9894071 50.1387272, 14.9909883 50.1390442, 14.9926022 50.1393259)",,,
31976378,,Mládežnická,residential,False,False,87.944,"LINESTRING (14.9872852 50.1383407, 14.9873198 50.1385239, 14.9876459 50.1390931)",,,
1064111762,330,Palackého nám.,secondary,False,False,35.575,"LINESTRING (14.9853594 50.1364556, 14.9854816 50.1361454)",2,,
31976389,330,Husova,secondary,False,True,95.834,"LINESTRING (14.9853594 50.1364556, 14.9853371 50.136526, 14.9852888 50.1366521, 14.9852442 50.1367911, 14.9852188 50.1368854, 14.9852104 50.1369288, 14.9852084 50.1369771, 14.9852106 50.1370327, 14.9852251 50.1371428, 14.985266 50.1373051)",2,,
"[1250939104, 1182682606]",,Palackého nám.,residential,False,False,89.925,"LINESTRING (14.9853594 50.1364556, 14.9854901 50.1364378, 14.9856006 50.136407, 14.9857108 50.1363763, 14.9858915 50.1363138, 14.9860662 50.1362559, 14.9862867 50.1361787, 14.9863959 50.13614, 14.9864917 50.1361061)",,,
1123457529,,Riegrova,residential,True,False,114.272,"LINESTRING (14.9864917 50.1361061, 14.9872816 50.1370004)",1,,
31976380,,Karoliny Světlé,residential,False,False,329.962,"LINESTRING (14.9864917 50.1361061, 14.9875697 50.1357148, 14.9908541 50.1351749)",,,
"[1250939104, 1182682606]",,Palackého nám.,residential,False,True,89.92499999999998,"LINESTRING (14.9864917 50.1361061, 14.9863959 50.13614, 14.9862867 50.1361787, 14.9860662 50.1362559, 14.9858915 50.1363138, 14.9857108 50.1363763, 14.9856006 50.136407, 14.9854901 50.1364378, 14.9853594 50.1364556)",,,
31976379,,Palackého nám.,residential,False,True,17.67,"LINESTRING (14.9856501 50.1353671, 14.985648 50.1352082)",,,
31976387,330,Paroubkova,secondary,False,False,17.67,"LINESTRING (14.9856501 50.1353671, 14.985648 50.1352082)",2,,
31976388,330,Palackého nám.,secondary,False,True,87.60399999999998,"LINESTRING (14.9856501 50.1353671, 14.9856469 50.1354771, 14.9856302 50.1356323, 14.9855675 50.1359039, 14.9855492 50.1359555, 14.9854816 50.1361454)",2,,
31976416,,Pražská,residential,False,True,121.33,"LINESTRING (14.9856501 50.1353671, 14.9855185 50.1353715, 14.9853878 50.1353676, 14.9848749 50.1353537, 14.9839504 50.1353164)",,,
31976381,,Riegrova,residential,False,True,122.755,"LINESTRING (14.9872816 50.1370004, 14.987877 50.1380363)",,,
31976382,,Za Sokolovnou,residential,False,False,280.779,"LINESTRING (14.9872816 50.1370004, 14.9897504 50.1365254, 14.9910499 50.1362641)",,,
1064111762,330,Palackého nám.,secondary,False,True,35.575,"LINESTRING (14.9854816 50.1361454, 14.9853594 50.1364556)",2,,
31976388,330,Palackého nám.,secondary,False,False,87.604,"LINESTRING (14.9854816 50.1361454, 14.9855492 50.1359555, 14.9855675 50.1359039, 14.9856302 50.1356323, 14.9856469 50.1354771, 14.9856501 50.1353671)",2,,
1123457531,,Kostelní,residential,False,False,100.691,"LINESTRING (14.9854816 50.1361454, 14.9853986 50.1361535, 14.9848233 50.1362093, 14.9843774 50.1362404, 14.9842359 50.1362461, 14.9840793 50.136244)",,,
31976389,330,Husova,secondary,False,False,95.83399999999999,"LINESTRING (14.985266 50.1373051, 14.9852251 50.1371428, 14.9852106 50.1370327, 14.9852084 50.1369771, 14.9852104 50.1369288, 14.9852188 50.1368854, 14.9852442 50.1367911, 14.9852888 50.1366521, 14.9853371 50.136526, 14.9853594 50.1364556)",2,,
31976389,330,Husova,secondary,False,True,136.535,"LINESTRING (14.985266 50.1373051, 14.9855535 50.1383774, 14.9855909 50.1385152)",2,,
31976397,,Tylova,residential,True,False,152.594,"LINESTRING (14.985266 50.1373051, 14.9851868 50.1373095, 14.985169 50.1373104, 14.9851189 50.137301, 14.9847578 50.1369608, 14.9843634 50.1366555, 14.9840963 50.1364111, 14.9840712 50.136362, 14.9840667 50.1363152, 14.9840793 50.136244)",,,
26628109,2722,Jindřichova,tertiary,False,True,71.523,"LINESTRING (14.9854593 50.1393601, 14.9856313 50.1387264)",,,
31976391,,,tertiary,False,True,35.018,"LINESTRING (14.9854593 50.1393601, 14.9859329 50.1392762)",,,
1123457531,,Kostelní,residential,False,False,64.189,"LINESTRING (14.9840793 50.136244, 14.9831854 50.1361736)",,,
1123457531,,Kostelní,residential,False,True,100.69099999999999,"LINESTRING (14.9840793 50.136244, 14.9842359 50.1362461, 14.9843774 50.1362404, 14.9848233 50.1362093, 14.9853986 50.1361535, 14.9854816 50.1361454)",,,
1123457531,,Kostelní,residential,False,True,36.47,"LINESTRING (14.9826737 50.1361746, 14.9831854 50.1361736)",,,
31976399,,Dr. Sokola,residential,False,False,53.787,"LINESTRING (14.9826737 50.1361746, 14.9825735 50.1363185, 14.9821924 50.1365346)",,,
31976399,,Dr. Sokola,residential,False,False,18.577,"LINESTRING (14.9821924 50.1365346, 14.9820478 50.1366736)",,,
31976399,,Dr. Sokola,residential,False,True,53.787,"LINESTRING (14.9821924 50.1365346, 14.9825735 50.1363185, 14.9826737 50.1361746)",,,
31976399,,Dr. Sokola,residential,False,False,34.148,"LINESTRING (14.9820478 50.1366736, 14.9817587 50.1369185)",,,
31976399,,Dr. Sokola,residential,False,True,18.577,"LINESTRING (14.9820478 50.1366736, 14.9821924 50.1365346)",,,
