osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,access,junction
"[374566516, 793621295]",Hlavní třída,residential,False,False,86.12599999999999,"LINESTRING (12.7026861 49.9698805, 12.7027457 49.9699963, 12.7028846 49.9701862, 12.7029126 49.9702246, 12.7030945 49.970444, 12.7031988 49.97058)",,,,,
"[744390708, 744390709, 32255119]",Masarykova,residential,False,False,222.204,"LINESTRING (12.7037633 49.9716004, 12.7037303 49.9717744, 12.7036576 49.9720103, 12.7036024 49.9721539, 12.7035625 49.9723934, 12.7035608 49.9725248, 12.703578 49.9726902, 12.7035798 49.9727081, 12.7035948 49.9728529, 12.703596 49.9728644, 12.7036149 49.9730962, 12.7036194 49.9732385, 12.7035751 49.973425, 12.703558 49.9735835)",2,,,,
79177987,Poštovní,residential,True,False,235.853,"LINESTRING (12.7037633 49.9716004, 12.7038548 49.9716319, 12.7038851 49.9716605, 12.7038679 49.9721776, 12.7038658 49.9722518, 12.7039047 49.9726448, 12.7039107 49.9727064, 12.7039143 49.9727432, 12.7039225 49.9728497, 12.7039408 49.9730865, 12.7039385 49.9732883, 12.703882 49.9733625, 12.7038056 49.9734375, 12.7036932 49.9735232, 12.7036428 49.9735491, 12.703558 49.9735835)",,,,,
32255119,Masarykova,residential,False,True,18.874000000000002,"LINESTRING (12.7037633 49.9716004, 12.7037642 49.9714999, 12.7037508 49.9714312)",2,,,,
4758165,Anglická,residential,False,False,63.471,"LINESTRING (12.7047028 49.9744741, 12.7047278 49.9744087, 12.7047666 49.9743382, 12.7049447 49.9739868, 12.7049704 49.9739678, 12.7050134 49.9739482)",,,,,
32255120,Reitenbergerova,residential,False,True,98.096,"LINESTRING (12.7047028 49.9744741, 12.7038059 49.9741081, 12.7035586 49.9739884)",,,,,
315944340,Reitenbergerova,residential,False,False,223.37499999999997,"LINESTRING (12.7047028 49.9744741, 12.7050834 49.9746215, 12.7054454 49.9747403, 12.7057469 49.974821, 12.7059549 49.9748701, 12.7062654 49.9749526, 12.7063548 49.9749778, 12.7068441 49.9751159, 12.7071845 49.9752072, 12.7073565 49.9752617, 12.7074295 49.9752946, 12.7075024 49.9753451)",,,,,
4758165,Anglická,residential,False,True,63.471000000000004,"LINESTRING (12.7050134 49.9739482, 12.7049704 49.9739678, 12.7049447 49.9739868, 12.7047666 49.9743382, 12.7047278 49.9744087, 12.7047028 49.9744741)",,,,,
315944332,Anglická,residential,False,False,46.153,"LINESTRING (12.7050134 49.9739482, 12.7050334 49.9737909, 12.7051014 49.9735374)",,,,,
8152450,Ruská,tertiary,False,False,277.315,"LINESTRING (12.7011542 49.9699988, 12.7010357 49.9701424, 12.7009444 49.9703148, 12.7009156 49.9704006, 12.7009036 49.9705287, 12.700957 49.9707019, 12.7010537 49.970913, 12.7011238 49.9710556, 12.7011914 49.9712251, 12.7012189 49.971324, 12.7012439 49.9714687, 12.701251 49.97163, 12.7012642 49.9719962, 12.7012799 49.9724343)",,,,,
62389073,Dykova,residential,False,False,43.641,"LINESTRING (12.7011542 49.9699988, 12.7012608 49.9699694, 12.7014057 49.9699294, 12.7015454 49.9698796, 12.7017153 49.9698481)",,,,,
"[488893434, 488893435, 562265071]",Ruská,residential,False,True,147.66799999999998,"LINESTRING (12.7032709 49.9760945, 12.7031853 49.9760945, 12.7031376 49.9760945, 12.7022158 49.9760941, 12.7017538 49.976094, 12.7015227 49.9760854, 12.7014174 49.9760476, 12.7013776 49.9760275, 12.7013377 49.9759882, 12.7013032 49.9759474)",,,,,
562265068,Hlavní třída,residential,True,False,181.29399999999998,"LINESTRING (12.7032709 49.9760945, 12.7032925 49.9769002, 12.7032948 49.9769861, 12.7032991 49.9772728, 12.7033113 49.9777247)",1,,,,
53840457,Goethovo náměstí,residential,False,True,52.727000000000004,"LINESTRING (12.7075024 49.9753451, 12.7076875 49.975266, 12.7080648 49.9750405)",,,,,
