osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,maxspeed,lanes,access,junction
36932431,Českobratrská,residential,False,False,115.953,"LINESTRING (16.5750398 49.5467918, 16.5750539 49.5468456, 16.5750681 49.5468993, 16.5751778 49.5473168, 16.5751795 49.5475617, 16.5751827 49.547827)",,,,,,
69728072,Masarykovo náměstí,secondary,False,False,55.855999999999995,"LINESTRING (16.5750398 49.5467918, 16.57554 49.546789, 16.575813 49.5468041)",365,,,,,
"[69728072, 69728057, 359950132]",Masarykovo náměstí,secondary,False,True,174.54199999999994,"LINESTRING (16.5750398 49.5467918, 16.5749362 49.5467985, 16.5737503 49.5468967, 16.5736319 49.5469053, 16.5734796 49.5469157, 16.5732506 49.546935, 16.5731591 49.5469476, 16.5728987 49.5469835, 16.572781 49.5469987, 16.5726464 49.5470142)",365,yes,,,,
"[36932433, 503949245, 503949238]","['Čapkova', 'Nové Město', 'Masarykovo náměstí']",residential,False,False,191.09300000000002,"LINESTRING (16.5750398 49.5467918, 16.5750247 49.5467536, 16.5750097 49.5467154, 16.5749706 49.5466045, 16.5749336 49.5465155, 16.5749232 49.5464454, 16.5749585 49.5456383, 16.5750287 49.5455296, 16.5752402 49.5454682, 16.575645 49.5453508)",,,,,,
356585022,Česká,secondary,False,False,48.716,"LINESTRING (16.5684958 49.5482201, 16.56905 49.5479698)",365,,,,,
36932457,Česká,residential,False,False,67.598,"LINESTRING (16.5684958 49.5482201, 16.5683269 49.5481858, 16.5675685 49.5481538)",,,,,,
"[69728072, 69728057, 359950132]",Masarykovo náměstí,secondary,False,False,174.542,"LINESTRING (16.5726464 49.5470142, 16.572781 49.5469987, 16.5728987 49.5469835, 16.5731591 49.5469476, 16.5732506 49.546935, 16.5734796 49.5469157, 16.5736319 49.5469053, 16.5737503 49.5468967, 16.5749362 49.5467985, 16.5750398 49.5467918)",365,yes,,,,
"[784328451, 1168439643, 784328454, 452210199]",Tyršova,tertiary,False,True,359.243,"LINESTRING (16.5726464 49.5470142, 16.5726336 49.5469613, 16.5726074 49.5468535, 16.5725872 49.5467699, 16.5724859 49.5463831, 16.5722912 49.5456601, 16.5721196 49.5449803, 16.5718252 49.5439272, 16.5718234 49.5438292)",3657,,50,,,
"[9587611, 1168439645, 1168439647]",Masarykovo náměstí,secondary,False,True,87.754,"LINESTRING (16.5726464 49.5470142, 16.57225 49.5470577, 16.5721028 49.5470739, 16.5719839 49.5470757, 16.5718843 49.5470744, 16.5717502 49.5470707, 16.5716756 49.5470738, 16.5716088 49.5470856, 16.5715447 49.5471065, 16.5714664 49.5471431)",365,,,,,
356585022,Česká,secondary,False,True,48.716,"LINESTRING (16.56905 49.5479698, 16.5684958 49.5482201)",365,,,,,
