osmid,ref,name,highway,maxspeed,oneway,reversed,length,access,geometry,lanes
30981609,522,Velkoveská,secondary,50,False,False,40.161,,"LINESTRING (14.4120892 50.2346341, 14.4119967 50.2349904)",
30981604,,Růžová,residential,,False,True,88.298,destination,"LINESTRING (14.4120892 50.2346341, 14.4122259 50.2350485, 14.412358 50.2351733, 14.4126268 50.2353103)",
30981609,522,Velkoveská,secondary,50,False,True,59.080999999999996,,"LINESTRING (14.4120892 50.2346341, 14.4119385 50.2343705, 14.4118441 50.2342711, 14.4117202 50.2341626)",
152100559,,Kudrnova,residential,,False,True,302.62100000000004,,"LINESTRING (14.4090684 50.2333909, 14.4088305 50.2340738, 14.4085449 50.2341088, 14.4082053 50.2341581, 14.407994 50.2341984, 14.4079255 50.2342463, 14.4077284 50.2347224, 14.4077311 50.2348307, 14.407766 50.234901, 14.4078089 50.2349608, 14.4079488 50.2350891, 14.4080655 50.2351471, 14.4084715 50.2352569, 14.4086536 50.2353229)",
313941554,522,Postřižínská,secondary,50,False,False,54.966,,"LINESTRING (14.4090684 50.2333909, 14.4088845 50.2333523, 14.408714 50.2332993, 14.4083767 50.2331745)",
313941554,522,Postřižínská,secondary,50,False,True,56.649,,"LINESTRING (14.4090684 50.2333909, 14.4093664 50.2334243, 14.4096259 50.2334216, 14.4098565 50.2333948)",
26190761,,Pod Tvrzí,residential,,False,True,73.241,,"LINESTRING (14.4117202 50.2341626, 14.4118262 50.2341454, 14.4119638 50.2341313, 14.4127376 50.2341991)",
30981609,522,Velkoveská,secondary,50,False,False,59.081,,"LINESTRING (14.4117202 50.2341626, 14.4118441 50.2342711, 14.4119385 50.2343705, 14.4120892 50.2346341)",
630375916,522,Dolní náměstí,secondary,50,False,False,45.848,,"LINESTRING (14.4117202 50.2341626, 14.4114205 50.2338706, 14.4113665 50.2338179)",
313941554,522,Postřižínská,secondary,50,False,False,74.487,,"LINESTRING (14.4083767 50.2331745, 14.4073697 50.2329906)",
30982116,,Lesní,residential,,False,True,47.601,,"LINESTRING (14.4083767 50.2331745, 14.408418 50.2329782, 14.4084369 50.2327485)",
313941554,522,Postřižínská,secondary,50,False,True,54.965999999999994,,"LINESTRING (14.4083767 50.2331745, 14.408714 50.2332993, 14.4088845 50.2333523, 14.4090684 50.2333909)",
352007948,24211,Dolní náměstí,tertiary,,False,True,23.998,,"LINESTRING (14.4110384 50.2334515, 14.4111937 50.2332599)",
9526268,522,Dolní náměstí,secondary,50,False,True,46.953,,"LINESTRING (14.4110384 50.2334515, 14.4111838 50.2336148, 14.4113665 50.2338179)",
9526401,522,Dolní náměstí,secondary,50,False,False,89.796,,"LINESTRING (14.4110384 50.2334515, 14.4109174 50.2333811, 14.4107516 50.2333288, 14.4105456 50.2333086, 14.4102754 50.2333202, 14.4098565 50.2333948)",
"[26190768, 30981299, 30980928]",,"['V Malém háji', 'Československé armády', 'U Lékárny']",residential,50,False,False,295.96000000000004,,"LINESTRING (14.4108376 50.2294092, 14.410897 50.2294075, 14.4114525 50.2293916, 14.4120048 50.2293705, 14.4121447 50.2293758, 14.4121866 50.2293793, 14.4123038 50.2293921, 14.4128016 50.2295296, 14.4131331 50.2295816, 14.4132186 50.2296091, 14.4132232 50.229655, 14.4132411 50.2298357, 14.4132878 50.2300878, 14.4133129 50.2303784, 14.4128107 50.2304098)",1
