osmid,highway,oneway,reversed,length,lanes,ref,geometry
167480857,residential,False,True,90.932,,,"LINESTRING (13.5466533 49.3312362, 13.5464494 49.3304293)"
162116868,primary,False,True,53.541,2,22,"LINESTRING (13.5466533 49.3312362, 13.5466985 49.3312573, 13.546736 49.3312827, 13.5467899 49.3313526, 13.5468711 49.3316064, 13.5468939 49.3316774)"
543986814,residential,False,False,90.219,,,"LINESTRING (13.5466533 49.3312362, 13.5469466 49.3312098, 13.5471059 49.3312329, 13.5471629 49.3312672, 13.5471444 49.3313914, 13.5470958 49.3315155, 13.5468939 49.3316774)"
287445297,primary,False,False,97.102,2,22,"LINESTRING (13.5466533 49.3312362, 13.5466154 49.3312241, 13.5465566 49.331213, 13.5464786 49.3312105, 13.545928 49.3311891, 13.5453234 49.3311547)"
287445297,primary,False,False,38.257,2,22,"LINESTRING (13.5446699 49.3310807, 13.5441624 49.3309859)"
1082055188,residential,False,True,18.386,,,"LINESTRING (13.5446699 49.3310807, 13.5447437 49.3309225)"
287445297,primary,False,True,48.087,2,22,"LINESTRING (13.5446699 49.3310807, 13.5450201 49.331127, 13.5453234 49.3311547)"
43564664,residential,False,True,29.279,,,"LINESTRING (13.5453234 49.3311547, 13.5452474 49.3310296, 13.5451576 49.3309149)"
287445297,primary,False,False,48.087,2,22,"LINESTRING (13.5453234 49.3311547, 13.5450201 49.331127, 13.5446699 49.3310807)"
287445297,primary,False,True,97.102,2,22,"LINESTRING (13.5453234 49.3311547, 13.545928 49.3311891, 13.5464786 49.3312105, 13.5465566 49.331213, 13.5466154 49.3312241, 13.5466533 49.3312362)"
43564667,residential,False,True,145.65200000000002,,,"LINESTRING (13.5428877 49.3305588, 13.5429608 49.330517, 13.5430862 49.3305152, 13.5433132 49.3304738, 13.5438993 49.3305234, 13.5443755 49.3305142, 13.5446164 49.3305144, 13.5447887 49.3305253, 13.5448574 49.3305161)"
287445297,primary,False,True,81.057,2,22,"LINESTRING (13.5428877 49.3305588, 13.5433772 49.3307517, 13.5436126 49.3308395, 13.5437844 49.3309002, 13.5438593 49.3309183)"
162116866,primary,False,True,50.431,2,22,"LINESTRING (13.5522048 49.3341944, 13.5524807 49.3342601, 13.5526207 49.3342867, 13.5527476 49.3342981, 13.5528759 49.3342981)"
287445294,primary,False,False,136.875,2,22,"LINESTRING (13.5522048 49.3341944, 13.5517823 49.3340831, 13.5513461 49.3339888, 13.5511354 49.3339432, 13.5510398 49.3339225, 13.5507898 49.3338685, 13.5506172 49.3338284, 13.5504267 49.3337803)"
66908448,unclassified,False,True,120.32900000000001,,,"LINESTRING (13.5528759 49.3342981, 13.5529554 49.3343633, 13.5530499 49.3344244, 13.5542849 49.3348537)"
162116866,primary,False,False,50.431,2,22,"LINESTRING (13.5528759 49.3342981, 13.5527476 49.3342981, 13.5526207 49.3342867, 13.5524807 49.3342601, 13.5522048 49.3341944)"
"[162116867, 43564671]",residential,False,True,263.053,,,"LINESTRING (13.5472493 49.3323574, 13.5469905 49.3322544, 13.5466192 49.3321382, 13.5464692 49.3320594, 13.5461103 49.3319506, 13.5452077 49.3316579, 13.5445957 49.3315288, 13.5439457 49.33141)"
162116868,primary,False,False,80.554,2,22,"LINESTRING (13.5472493 49.3323574, 13.547141 49.3322456, 13.5470734 49.3321443, 13.5469734 49.3319258, 13.5469038 49.3317086, 13.5468939 49.3316774)"
287445294,primary,False,True,179.99599999999998,2,22,"LINESTRING (13.5472493 49.3323574, 13.5473429 49.3324201, 13.5474096 49.3324583, 13.5474542 49.3324839, 13.5477684 49.3326436, 13.5483279 49.3329178, 13.5489109 49.3331812, 13.5492398 49.3333221)"
43564674,residential,False,True,16.412,,,"LINESTRING (13.5492398 49.3333221, 13.5491607 49.3334604)"
287445294,primary,False,False,179.99599999999998,2,22,"LINESTRING (13.5492398 49.3333221, 13.5489109 49.3331812, 13.5483279 49.3329178, 13.5477684 49.3326436, 13.5474542 49.3324839, 13.5474096 49.3324583, 13.5473429 49.3324201, 13.5472493 49.3323574)"
287445294,primary,False,True,100.022,2,22,"LINESTRING (13.5492398 49.3333221, 13.5501065 49.3336726, 13.5504267 49.3337803)"
"[313970496, 162111507, 313970492]",residential,False,"[False, True]",355.064,,,"LINESTRING (13.5492398 49.3333221, 13.5491061 49.3333233, 13.5488115 49.3332213, 13.5485797 49.3331337, 13.5483124 49.333045, 13.548139 49.3330482, 13.5478489 49.3329812, 13.5477909 49.3329678, 13.5475329 49.3329379, 13.5473638 49.3328968, 13.54708 49.332809, 13.5468278 49.3327199, 13.5467623 49.3327005, 13.5464482 49.332654, 13.546379 49.3326602, 13.5460977 49.3327421, 13.545792 49.3328115, 13.5456087 49.332846, 13.5455163 49.3328531, 13.545424 49.3328424, 13.5451334 49.3327798, 13.5449173 49.3327677, 13.5446361 49.3327831)"
1087528136,residential,False,True,18.835,,,"LINESTRING (13.5504267 49.3337803, 13.5502242 49.3338865)"
287445294,primary,False,False,100.022,2,22,"LINESTRING (13.5504267 49.3337803, 13.5501065 49.3336726, 13.5492398 49.3333221)"
