osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,tunnel
"[904461730, 26353573]",Jiráskova,residential,30,False,False,133.447,"LINESTRING (14.7655014 49.0074194, 14.7655677 49.0073796, 14.7657455 49.0072573, 14.765934 49.0071908, 14.766087 49.0071599, 14.7663201 49.0071397, 14.7667323 49.0071093, 14.7667877 49.0070986, 14.7668385 49.0070888, 14.7669355 49.007036, 14.7670855 49.0069293)",,,
891439870,Seifertova,living_street,20,False,True,99.342,"LINESTRING (14.766337 49.005982, 14.7649881 49.0061053)",,,
25447728,Na Sadech,living_street,20,False,False,103.509,"LINESTRING (14.766337 49.005982, 14.7663232 49.0059194, 14.7662675 49.005667, 14.766251 49.005592, 14.7661339 49.0050607)",,,
25447728,Na Sadech,living_street,20,False,True,75.86999999999999,"LINESTRING (14.766337 49.005982, 14.7664275 49.0063561, 14.766464 49.006515, 14.7664921 49.0065915, 14.7665444 49.0066457)",,,
25447729,,living_street,20,False,False,99.4,"LINESTRING (14.7661339 49.0050607, 14.7647864 49.0051939)",,,
25447728,Na Sadech,living_street,20,False,False,92.504,"LINESTRING (14.7661339 49.0050607, 14.7661327 49.0049194, 14.7661605 49.0047862, 14.7663146 49.0042393)",,,
25447728,Na Sadech,living_street,20,False,True,103.509,"LINESTRING (14.7661339 49.0050607, 14.766251 49.005592, 14.7662675 49.005667, 14.7663232 49.0059194, 14.766337 49.005982)",,,
115600804,Sokolská,residential,50,False,True,66.239,"LINESTRING (14.7663146 49.0042393, 14.7654299 49.004105)",,,
25447728,Na Sadech,living_street,20,False,True,92.504,"LINESTRING (14.7663146 49.0042393, 14.7661605 49.0047862, 14.7661327 49.0049194, 14.7661339 49.0050607)",,,
"[115600920, 115600779, 31145567]",Sokolská,residential,50,False,True,154.987,"LINESTRING (14.7663146 49.0042393, 14.7665408 49.0042706, 14.7666547 49.004288, 14.7668115 49.004312, 14.7673849 49.0044034, 14.768335 49.0045549, 14.7683814 49.0045623)",yes,2,
