osmid,ref,name,highway,oneway,reversed,length,access,geometry,maxspeed
28879944,1807,Třemošenská,tertiary,False,False,20.567,,"LINESTRING (13.3633524 49.8387201, 13.3631484 49.8388501)",
38087907,,Za Starou školou,residential,False,True,186.269,destination,"LINESTRING (13.3557305 49.8401568, 13.3558273 49.8401473, 13.3582984 49.8399049)",
240464107,1804,Na Návsi,tertiary,False,False,19.631,,"LINESTRING (13.3557305 49.8401568, 13.3556828 49.8401349, 13.3555949 49.8401101, 13.3554779 49.8400952)",
275652772,1804,třída 1. máje,tertiary,False,True,111.218,,"LINESTRING (13.3557305 49.8401568, 13.3560221 49.8405473, 13.3561388 49.8406166, 13.3562761 49.8406802, 13.3567869 49.8408137)",
240464107,1804,Na Návsi,tertiary,False,False,147.69199999999998,,"LINESTRING (13.3554779 49.8400952, 13.3553608 49.8401002, 13.3552561 49.8401114, 13.3550974 49.8401627, 13.3549217 49.8402104, 13.3548077 49.8402323, 13.3546491 49.8402561, 13.3543656 49.8402849, 13.3540839 49.8402998, 13.3537729 49.8403179, 13.3534706 49.8403397)",
240464107,1804,Na Návsi,tertiary,False,True,19.631,,"LINESTRING (13.3554779 49.8400952, 13.3555949 49.8401101, 13.3556828 49.8401349, 13.3557305 49.8401568)",
"[504842417, 492221934]",1807,Třemošenská,tertiary,False,True,150.76100000000002,,"LINESTRING (13.3554779 49.8400952, 13.3555261 49.8399347, 13.3560797 49.8394924, 13.3562207 49.8394239, 13.3563736 49.8393767, 13.3566294 49.839318, 13.3569776 49.8392959)",
29043742,1806,K Trnové,tertiary,False,False,28.962,,"LINESTRING (13.3534706 49.8403397, 13.353088 49.8404231)",
240464107,1804,Na Návsi,tertiary,False,True,147.69199999999998,,"LINESTRING (13.3534706 49.8403397, 13.3537729 49.8403179, 13.3540839 49.8402998, 13.3543656 49.8402849, 13.3546491 49.8402561, 13.3548077 49.8402323, 13.3549217 49.8402104, 13.3550974 49.8401627, 13.3552561 49.8401114, 13.3553608 49.8401002, 13.3554779 49.8400952)",
"[240464123, 299269815]",1804,K Cihelně,tertiary,False,False,128.914,,"LINESTRING (13.3534706 49.8403397, 13.3531726 49.8399924, 13.352936 49.8397595, 13.3528067 49.8396721, 13.3526884 49.8395921, 13.352418 49.8394093)",
273549810,1804,K Cihelně,tertiary,False,True,119.112,,"LINESTRING (13.350954 49.8389283, 13.3511144 49.8389599, 13.3515579 49.8390472, 13.3516124 49.8390579, 13.3517168 49.8391034, 13.352418 49.8394093)",
28879944,1807,Třemošenská,tertiary,False,True,20.567,,"LINESTRING (13.3631484 49.8388501, 13.3633524 49.8387201)",
28879944,1807,Třemošenská,tertiary,False,False,128.904,,"LINESTRING (13.3631484 49.8388501, 13.3625432 49.8390049, 13.3614202 49.8391536)",
38087897,,Na Strži,residential,False,True,120.028,,"LINESTRING (13.3631484 49.8388501, 13.3631138 49.8390785, 13.3629456 49.8399215)",
28879944,1807,Třemošenská,tertiary,False,False,129.495,,"LINESTRING (13.3614202 49.8391536, 13.3596598 49.8394129)",
38087898,,Spojovací,residential,False,False,89.767,,"LINESTRING (13.3614202 49.8391536, 13.36174 49.8399341)",
28879944,1807,Třemošenská,tertiary,False,True,128.904,,"LINESTRING (13.3614202 49.8391536, 13.3625432 49.8390049, 13.3631484 49.8388501)",
28879944,1807,Třemošenská,tertiary,False,True,129.495,,"LINESTRING (13.3596598 49.8394129, 13.3614202 49.8391536)",
38087899,,Nad Sokolovnou,residential,False,True,64.499,,"LINESTRING (13.3596598 49.8394129, 13.3595498 49.8399886)",
28879944,1807,Třemošenská,tertiary,False,False,91.41,,"LINESTRING (13.3596598 49.8394129, 13.3592578 49.8394635, 13.3587968 49.8394572, 13.3583966 49.8394217)",
492221934,1807,Třemošenská,tertiary,False,True,92.881,,"LINESTRING (13.3569776 49.8392959, 13.3582607 49.8394097)",
243221835,,,residential,False,True,77.336,,"LINESTRING (13.3569776 49.8392959, 13.3576709 49.8390419, 13.3579153 49.8389524)",
"[504842417, 492221934]",1807,Třemošenská,tertiary,False,False,150.761,,"LINESTRING (13.3569776 49.8392959, 13.3566294 49.839318, 13.3563736 49.8393767, 13.3562207 49.8394239, 13.3560797 49.8394924, 13.3555261 49.8399347, 13.3554779 49.8400952)",
29043742,1806,K Trnové,tertiary,False,True,28.962,,"LINESTRING (13.353088 49.8404231, 13.3534706 49.8403397)",
29043742,1806,K Trnové,tertiary,False,False,210.58400000000003,,"LINESTRING (13.353088 49.8404231, 13.3524194 49.8406158, 13.352289 49.8406506, 13.3522088 49.8406872, 13.3519766 49.840793, 13.3519541 49.8408085, 13.3515759 49.8410692, 13.35107 49.8414178, 13.3508284 49.8415844)",
38087891,,Na Rypličce,residential,False,False,76.515,,"LINESTRING (13.353088 49.8404231, 13.3530837 49.8404767, 13.3530495 49.840907, 13.3530024 49.8411083)",
"[810225905, 275652770, 38087891]",,"['U Vrbky', 'Na Rypličce']",residential,False,False,367.604,,"LINESTRING (13.353788 49.8429349, 13.3541462 49.8431862, 13.3543627 49.8434096, 13.3544966 49.8436026, 13.3545753 49.8437269, 13.3547524 49.8438386, 13.3547938 49.843858, 13.3549034 49.8439095, 13.3553311 49.8441103, 13.3555791 49.8441788, 13.3557996 49.8441864, 13.3558462 49.844186, 13.3560274 49.844167, 13.3565409 49.8437791, 13.3568338 49.8435614, 13.3572208 49.8432773, 13.357316 49.8432076)",
38087891,,Na Rypličce,residential,False,True,218.77100000000004,,"LINESTRING (13.353788 49.8429349, 13.3535557 49.8427216, 13.3532723 49.8423611, 13.3531371 49.8421272, 13.3528865 49.8416935, 13.3528978 49.8416175, 13.3529235 49.8414452, 13.3530024 49.8411083)",
38087918,,Větrná,residential,False,True,144.256,,"LINESTRING (13.353788 49.8429349, 13.3534147 49.8433777, 13.3528126 49.8440695)",
275652770,,U Vrbky,residential,False,True,14.439,,"LINESTRING (13.357449 49.8431101, 13.357316 49.8432076)",
"[275652766, 38087895]",,Družstevní,residential,False,False,208.03300000000002,,"LINESTRING (13.357449 49.8431101, 13.3576253 49.8432069, 13.3579024 49.8433582, 13.3579554 49.8433871, 13.358195 49.8435179, 13.3582066 49.8435242, 13.3584864 49.8436771, 13.358543 49.843708, 13.3585891 49.8437332, 13.3592618 49.8440976, 13.3596626 49.8443194)",
275652771,,U Vrbky,residential,False,False,87.577,,"LINESTRING (13.357449 49.8431101, 13.3580207 49.8426611, 13.358229 49.8425041)",
38087896,,U Husa,residential,False,False,93.821,,"LINESTRING (13.3604147 49.8447298, 13.360458 49.8446976, 13.3608679 49.8443923, 13.3612711 49.8440919)",
38087896,,U Husa,residential,False,True,60.494,,"LINESTRING (13.3604147 49.8447298, 13.3603564 49.8447757, 13.3602381 49.8448686, 13.3598796 49.8451504)",
275652766,,Družstevní,residential,False,True,70.647,,"LINESTRING (13.3604147 49.8447298, 13.3598452 49.8444195, 13.3596849 49.8443322, 13.3596626 49.8443194)",
