osmid,ref,name,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,access,bridge,tunnel
1150719146,2,Štefánikova,primary,roundabout,True,False,30.871,"LINESTRING (15.2725066 49.952807, 15.2725586 49.9528283, 15.2725996 49.9528579, 15.2726264 49.9528936, 15.2726371 49.9529327, 15.2726309 49.9529722, 15.2726082 49.953009, 15.2725707 49.9530405)",,,,,
"[245175261, 1150719285, 666126263]",2,Štefánikova,primary,,False,True,89.863,"LINESTRING (15.2725066 49.952807, 15.2726277 49.9525942, 15.2727566 49.9523676, 15.272848 49.9522273, 15.2729335 49.9521141, 15.272977 49.9520585)",2,50,,,
28550439,2,Československých legionářů,primary,,False,True,52.405,"LINESTRING (15.2709004 49.9528017, 15.2705418 49.952714, 15.2702124 49.9526401)",3,50,,,
"[1146548970, 382269301]",2,Štefánikova,primary,,False,False,36.222,"LINESTRING (15.2709004 49.9528017, 15.2710103 49.9528255, 15.2711957 49.9528657, 15.2713802 49.9529057)","['2', '3']",50,,,
"[1195394217, 1150719250]",2,Štefánikova,primary,roundabout,True,False,36.077,"LINESTRING (15.2725707 49.9530405, 15.2725201 49.9530647, 15.272461 49.9530788, 15.2723981 49.9530818, 15.2723365 49.9530734, 15.2723102 49.9530644, 15.2722809 49.9530543, 15.2722358 49.9530259, 15.2722047 49.9529907, 15.2721902 49.9529512)",,,,,
666126263,2,Štefánikova,primary,,False,True,63.628,"LINESTRING (15.272977 49.9520585, 15.2733905 49.9515519)",2,50,,,
"[1150719285, 245175261, 666126263]",2,Štefánikova,primary,,False,False,89.863,"LINESTRING (15.272977 49.9520585, 15.2729335 49.9521141, 15.272848 49.9522273, 15.2727566 49.9523676, 15.2726277 49.9525942, 15.2725066 49.952807)",2,50,,,
9583746,2,Štefánikova,primary,,False,False,60.938,"LINESTRING (15.2738293 49.9510822, 15.2733905 49.9515519)",2,50,,,
"[24258077, 1101712326]",03321,Štefánikova,tertiary,,False,False,91.594,"LINESTRING (15.2738293 49.9510822, 15.2739164 49.9509667, 15.2741313 49.9506541, 15.2743536 49.9503308)",2,50,,,
28550437,2,Československých legionářů,primary,roundabout,True,False,23.570999999999998,"LINESTRING (15.2697495 49.9525658, 15.2697812 49.9525169, 15.2698369 49.9524778, 15.2699099 49.9524533, 15.2699915 49.9524462)",1,,,,
"[563699982, 563699983]",2,Československých legionářů,primary,,False,False,261.126,"LINESTRING (15.2697495 49.9525658, 15.269588 49.9525465, 15.2690845 49.9524793, 15.268753 49.9524421, 15.2683143 49.9524016, 15.2677111 49.9523673, 15.2671734 49.9523574, 15.2667214 49.9523646, 15.2662338 49.952395, 15.2661289 49.9524053)","['2', '3']",50,,,
"[394549555, 28550423]",,Česká,residential,,True,False,121.102,"LINESTRING (15.2619841 49.9525863, 15.262061 49.952526, 15.2622799 49.9523403, 15.2625215 49.9522173, 15.2628047 49.9521363, 15.263018 49.9520628, 15.263261 49.9519014)",,,,,
