osmid,oneway,lanes,name,highway,maxspeed,reversed,length,tunnel,geometry,width,access
"[27852193, 30619203, 476507494]",True,1,Smetanovo nábřeží,secondary,30,False,47.346999999999994,building_passage,"LINESTRING (14.4143866 50.0860597, 14.4143214 50.0860224, 14.4142745 50.0859432, 14.4141473 50.0856701)",,
"[403367713, 128356307, 118174013]",False,2,Křižovnická,secondary,30,True,141.03699999999998,,"LINESTRING (14.4143866 50.0860597, 14.4144308 50.0861455, 14.4145135 50.0862932, 14.414549 50.0863592, 14.4146213 50.0864897, 14.4148726 50.0869252, 14.4149776 50.0871088, 14.4150563 50.087253)",,
4323229,False,3,Křižovnická,secondary,,False,97.76599999999999,,"LINESTRING (14.4155853 50.0887026, 14.4155409 50.0886014, 14.4155044 50.0885099, 14.4154903 50.0884744, 14.4153561 50.0881511, 14.4153162 50.0880012, 14.4152839 50.0878462)",,
425860932,False,2,Národní,residential,,False,23.139,,"LINESTRING (14.4130136 50.0813952, 14.4130388 50.0813955, 14.4131957 50.0813969, 14.4133375 50.0814035)",,
"[345621897, 399592635, 425860933, 127711591]",False,3,Smetanovo nábřeží,secondary,50,True,230.834,,"LINESTRING (14.4130136 50.0813952, 14.4130116 50.0814105, 14.4130037 50.0815041, 14.4130005 50.0815457, 14.4130011 50.0815985, 14.4130029 50.0816301, 14.4130032 50.0816487, 14.4130094 50.0817024, 14.4130258 50.0818022, 14.4131269 50.0825089, 14.4131982 50.0829955, 14.4132314 50.0832165, 14.4132684 50.0834629)",,
4643619,True,1,Jáchymova,residential,,False,88.196,,"LINESTRING (14.418695 50.0883876, 14.4187712 50.0884125, 14.4197139 50.0886909, 14.4198162 50.0887216)",,
876526302,True,,Kaprova,residential,,False,20.384,,"LINESTRING (14.4166312 50.0884595, 14.4163569 50.0885108)",,
"[805407400, 1159750889, 1159750890, 141140410, 141140411, 151364029]",True,1,Divadelní,secondary,"['50', '30']",False,187.128,yes,"LINESTRING (14.413933 50.0804307, 14.41384 50.0810737, 14.4138113 50.0812723, 14.4137789 50.0815247, 14.413812 50.0818018, 14.413838 50.082031, 14.4138462 50.0821075)",,
"[27272736, 198423333]",False,,Ostrovní,residential,,True,96.75500000000001,,"LINESTRING (14.413933 50.0804307, 14.4140245 50.0804127, 14.4140663 50.0804068, 14.4142323 50.0803835, 14.4144233 50.0803552, 14.4144904 50.0803437, 14.4148369 50.0803074, 14.4151721 50.0802923, 14.4152667 50.0802975)",,
"[110995809, 4640166]",False,,Konviktská,residential,,True,42.872,,"LINESTRING (14.4139347 50.0828858, 14.4140698 50.0828799, 14.4145336 50.082905)",,
"[805407401, 27204579, 805407403]",True,1,"['Divadelní', 'Betlémská']",secondary,50,False,98.10199999999999,,"LINESTRING (14.4139347 50.0828858, 14.4139445 50.0831221, 14.4138561 50.0833165, 14.4137669 50.0834231, 14.4134198 50.0834493, 14.4133603 50.0834547, 14.4132879 50.0834612, 14.4132684 50.0834629)",,
"[345621897, 399592635, 425860933, 127711591]",False,3,Smetanovo nábřeží,secondary,50,False,230.834,,"LINESTRING (14.4132684 50.0834629, 14.4132314 50.0832165, 14.4131982 50.0829955, 14.4131269 50.0825089, 14.4130258 50.0818022, 14.4130094 50.0817024, 14.4130032 50.0816487, 14.4130029 50.0816301, 14.4130011 50.0815985, 14.4130005 50.0815457, 14.4130037 50.0815041, 14.4130116 50.0814105, 14.4130136 50.0813952)",,
"[1072183643, 1072183645, 151364030]",False,2,Smetanovo nábřeží,secondary,50,True,162.88,,"LINESTRING (14.4132684 50.0834629, 14.4132776 50.0835244, 14.4133131 50.0837638, 14.4133836 50.0841131, 14.4134242 50.0842861, 14.4134806 50.0844436, 14.4137167 50.0848925)",,
4353715,True,1,Platnéřská,residential,,False,127.62700000000001,,"LINESTRING (14.4150563 50.087253, 14.4150818 50.0872425, 14.4151923 50.0872201, 14.416834 50.0872565)",,
27589308,False,,Platnéřská,residential,,False,56.482,,"LINESTRING (14.4150563 50.087253, 14.4150302 50.087265, 14.4149722 50.0872918, 14.4144966 50.087372, 14.4143067 50.087404)",,
"[403367713, 128356307, 118174013]",False,2,Křižovnická,secondary,30,False,141.03699999999998,,"LINESTRING (14.4150563 50.087253, 14.4149776 50.0871088, 14.4148726 50.0869252, 14.4146213 50.0864897, 14.414549 50.0863592, 14.4145135 50.0862932, 14.4144308 50.0861455, 14.4143866 50.0860597)",,
133325746,False,,Křižovnická,secondary,,True,53.431,,"LINESTRING (14.4150563 50.087253, 14.4152371 50.0876968, 14.4152457 50.0877179)",,
128851986,False,1,Karlova,living_street,20,True,94.347,,"LINESTRING (14.4179517 50.0861465, 14.4178913 50.0861302, 14.417598 50.0860509, 14.4173742 50.0860129, 14.4171828 50.0860041, 14.4170589 50.086007, 14.4169522 50.0860152, 14.4168389 50.0860367, 14.4167842 50.0860535, 14.416717 50.0861052)",,
"[39467353, 420149851]",False,1,Husova,residential,30,"[False, True]",64.96799999999999,,"LINESTRING (14.4179517 50.0861465, 14.4180574 50.0860185, 14.4182349 50.0855941)",,
420149855,True,1,Husova,residential,,False,81.821,,"LINESTRING (14.4179517 50.0861465, 14.4174884 50.0866474, 14.4173606 50.086777)",,
133325747,False,,Vodičkova,residential,,True,24.709,,"LINESTRING (14.4241459 50.0806897, 14.4239276 50.0805172)",,
"[4387744, 378871831]",True,1,Palackého,residential,50,False,137.29999999999998,,"LINESTRING (14.4241459 50.0806897, 14.4241275 50.0806963, 14.4240514 50.0807243, 14.4238104 50.0808087, 14.4230899 50.0810633, 14.4227358 50.0811635, 14.4225123 50.0812277, 14.4224334 50.0812504)",,
133325747,False,,Vodičkova,residential,,False,24.709,,"LINESTRING (14.4239276 50.0805172, 14.4241459 50.0806897)",,
133325747,False,,Vodičkova,residential,,True,52.251999999999995,,"LINESTRING (14.4239276 50.0805172, 14.4236221 50.0802563, 14.4235337 50.0801792, 14.423488 50.0801414)",,
