osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,width,access
22758636,Vidimova,residential,False,True,124.958,"LINESTRING (14.3893416 50.1606361, 14.3892246 50.161191, 14.3890093 50.1617377)",,,,
103363767,Lidická,tertiary,False,True,38.754,"LINESTRING (14.3893416 50.1606361, 14.3889665 50.1606373, 14.3888002 50.1606563)",2421,50,6.3,
290091616,Legií,residential,False,False,83.71,"LINESTRING (14.3889503 50.1584616, 14.3878861 50.1581424)",,,,
103366842,Horova,residential,False,False,89.056,"LINESTRING (14.3889503 50.1584616, 14.3887461 50.158622, 14.3885351 50.1587179, 14.3882536 50.1587867, 14.3878959 50.1588394)",,,4,
"[13807200, 290091616]","['Nad Vinicemi', 'Legií']",residential,False,True,190.183,"LINESTRING (14.387447 50.1563824, 14.3871376 50.1564028, 14.3858863 50.1567442, 14.3859958 50.1570898, 14.3861775 50.1573522)",,,,
13807316,Krátká,residential,False,False,97.553,"LINESTRING (14.3878861 50.1581424, 14.3871093 50.1588649)",,,,
290091616,Legií,residential,False,True,83.71,"LINESTRING (14.3878861 50.1581424, 14.3889503 50.1584616)",,,,
290091616,Legií,residential,False,False,93.658,"LINESTRING (14.3878861 50.1581424, 14.3872295 50.1579565, 14.3867113 50.1577668)",,,,
22758717,Zeyerova,unclassified,False,False,130.0,"LINESTRING (14.3867113 50.1577668, 14.3856642 50.1587243)",,,,
290091616,Legií,residential,False,False,59.971000000000004,"LINESTRING (14.3867113 50.1577668, 14.3864395 50.1575909, 14.3861775 50.1573522)",,,,
290091616,Legií,residential,False,True,93.658,"LINESTRING (14.3867113 50.1577668, 14.3872295 50.1579565, 14.3878861 50.1581424)",,,,
"[290091616, 13807200]","['Nad Vinicemi', 'Legií']",residential,False,False,190.183,"LINESTRING (14.3861775 50.1573522, 14.3859958 50.1570898, 14.3858863 50.1567442, 14.3871376 50.1564028, 14.387447 50.1563824)",,,,
290091616,Legií,residential,False,True,59.971000000000004,"LINESTRING (14.3861775 50.1573522, 14.3864395 50.1575909, 14.3867113 50.1577668)",,,,
13807316,Krátká,residential,False,True,97.553,"LINESTRING (14.3871093 50.1588649, 14.3878861 50.1581424)",,,,
103366842,Horova,residential,False,False,104.423,"LINESTRING (14.3871093 50.1588649, 14.3863484 50.1588266, 14.3856642 50.1587243)",,,4,
