osmid,ref,name,highway,maxspeed,width,junction,oneway,reversed,length,geometry,lanes,bridge,access,tunnel
820925282,20,Písecká,primary,50,6,roundabout,True,False,17.035999999999998,"LINESTRING (13.8813332 49.4208268, 13.8813766 49.4208046, 13.8814013 49.4207965, 13.8814303 49.4207911, 13.8814594 49.4207898, 13.8814886 49.4207921, 13.8815195 49.4207985, 13.8815465 49.420809)",,,,
157286084,121,Buzická,secondary,50,,,False,False,98.319,"LINESTRING (13.887019 49.4235895, 13.8881558 49.4231047)",,,,
157286084,121,Buzická,secondary,50,,,False,True,92.335,"LINESTRING (13.887019 49.4235895, 13.8859188 49.4240107)",,,,
86440257,,,residential,,,,False,False,89.943,"LINESTRING (13.887019 49.4235895, 13.8871156 49.4237307, 13.8872039 49.4240934, 13.887085 49.4243699)",,,,
9623795,121,Strakatého,secondary,50,,,False,True,11.009,"LINESTRING (13.8859188 49.4240107, 13.8858076 49.4240783)",,,,
86440272,,Nad Lomnicí,residential,,,,False,False,96.995,"LINESTRING (13.8859188 49.4240107, 13.8856305 49.4231588)",,,,
157286084,121,Buzická,secondary,50,,,False,False,92.335,"LINESTRING (13.8859188 49.4240107, 13.887019 49.4235895)",,,,
"[56305443, 277757835, 56305445]",173,tř. T. G. Masaryka,secondary,50,,,False,True,90.773,"LINESTRING (13.8769604 49.4287588, 13.8772413 49.4286837, 13.8780364 49.4284827, 13.8780897 49.4284683, 13.8781273 49.4284582)",2,yes,,
261287610,173,náměstí Kalinovo,secondary,50,,,False,False,26.729,"LINESTRING (13.8769604 49.4287588, 13.8768719 49.4287835, 13.8766184 49.4288499)",2,,,
86440261,,Šilhova,residential,,,,False,False,133.795,"LINESTRING (13.8882772 49.4280169, 13.8880362 49.4283469, 13.8875061 49.4291106)",,,,
157571413,175,Čechova,secondary,50,,,False,True,80.277,"LINESTRING (13.8882772 49.4280169, 13.8878099 49.427806, 13.8873879 49.4275856)",,,,
86440260,,U Čertova kamene,residential,,,,False,True,53.427,"LINESTRING (13.8873879 49.4275856, 13.8870444 49.4275206, 13.8866954 49.4274212)",,,,
157571413,175,Čechova,secondary,50,,,False,False,80.277,"LINESTRING (13.8873879 49.4275856, 13.8878099 49.427806, 13.8882772 49.4280169)",,,,
157571413,175,Čechova,secondary,50,,,False,True,69.744,"LINESTRING (13.8873879 49.4275856, 13.8871037 49.4273639, 13.8868256 49.4270777)",,,,
86440247,,Na Tržišti,residential,,,,False,False,59.188,"LINESTRING (13.8868256 49.4270777, 13.8875249 49.4268012)",,,,
157571460,175,Čechova,secondary,50,,,False,True,108.408,"LINESTRING (13.8868256 49.4270777, 13.8860318 49.4262507)",,,,
157571413,175,Čechova,secondary,50,,,False,False,69.744,"LINESTRING (13.8868256 49.4270777, 13.8871037 49.4273639, 13.8873879 49.4275856)",,,,
"[199112523, 199112510]",,Čechova,residential,,,,False,"[False, True]",54.081999999999994,"LINESTRING (13.8868256 49.4270777, 13.8866919 49.4271457, 13.886567 49.4272086, 13.8865396 49.4272331, 13.8865232 49.4272615, 13.8865187 49.4272917, 13.8865239 49.4273156, 13.8865368 49.4273383, 13.8865566 49.4273587, 13.8866954 49.4274212)",,,,
"[277757835, 9624566]",173,tř. T. G. Masaryka,secondary,50,,,False,False,249.579,"LINESTRING (13.8824944 49.4269441, 13.8824306 49.4269584, 13.8822291 49.4270071, 13.8821872 49.4270192, 13.881363 49.4273639, 13.8811387 49.4274709, 13.8807393 49.4276614, 13.8803195 49.4278677, 13.8796558 49.4280464, 13.8795405 49.4280775)",2,,,
