osmid,name,highway,oneway,reversed,length,geometry,ref,width,maxspeed,bridge
37014278,Novodvorská,residential,False,False,137.33,"LINESTRING (14.4704153 49.2979641, 14.4703126 49.298024, 14.470263 49.2980515, 14.4700797 49.2981658, 14.4699163 49.2981961, 14.4694273 49.2982059, 14.4686494 49.2982216)",,,,
37014312,Křižíkova vilová čtvrť,residential,False,False,53.22,"LINESTRING (14.4704153 49.2979641, 14.4704713 49.2979306, 14.4705077 49.2979087, 14.4709548 49.2976396)",,,,
155205292,Libušina,secondary,False,False,69.166,"LINESTRING (14.4704153 49.2979641, 14.4705285 49.2980482, 14.4710445 49.2984316)",135,7,,
892185182,Libušina,secondary,False,True,119.506,"LINESTRING (14.4704153 49.2979641, 14.4703056 49.297897, 14.4698589 49.2976239, 14.4691438 49.2972835)",135,7,,
188927593,Michalská,secondary,False,True,15.448,"LINESTRING (14.4688687 49.2971526, 14.4686921 49.2972303)",135,,,
188927592,Libušina,tertiary,False,True,68.339,"LINESTRING (14.4688687 49.2971526, 14.4688241 49.2971258, 14.4687689 49.2970772, 14.4686388 49.2967891, 14.4686139 49.2965755)",12217,,,
892185183,Libušina,secondary,False,False,24.718,"LINESTRING (14.4688687 49.2971526, 14.4690194 49.2972183, 14.4691438 49.2972835)",135,7,,
1193131315,Fáberova,living_street,False,True,48.606,"LINESTRING (14.4642881 49.298798, 14.46364 49.2986864)",,,20,
26557552,Fáberova,tertiary,False,True,113.479,"LINESTRING (14.4642881 49.298798, 14.464741 49.2983459, 14.465092 49.2979234)",1354,,,
188914511,Gabrielova,residential,False,False,86.041,"LINESTRING (14.4642881 49.298798, 14.4648713 49.2988609, 14.4654588 49.2989242)",,,,
164923990,Zářečí,tertiary,False,False,11.51,"LINESTRING (14.4701767 49.2916251, 14.4700313 49.2916666)",12217,,,
"[37014323, 164923983, 37014327]",Zářečí,residential,False,False,357.552,"LINESTRING (14.4701767 49.2916251, 14.4704358 49.2916249, 14.4706497 49.2920254, 14.4708696 49.2927985, 14.4709674 49.2930057, 14.471068 49.2931164, 14.471279 49.2933484, 14.4721527 49.2944282)",,,,
164923990,Zářečí,tertiary,False,True,11.51,"LINESTRING (14.4700313 49.2916666, 14.4701767 49.2916251)",12217,,,
"[28042808, 32949040, 164923990]",Zářečí,tertiary,False,False,75.886,"LINESTRING (14.4700313 49.2916666, 14.4697961 49.2916897, 14.4690872 49.291722, 14.4689893 49.2917219)",12217,,,yes
"[32949040, 28042808, 164923990]",Zářečí,tertiary,False,True,75.886,"LINESTRING (14.4689893 49.2917219, 14.4690872 49.291722, 14.4697961 49.2916897, 14.4700313 49.2916666)",12217,,,yes
112387004,Pod Schody,residential,False,False,200.345,"LINESTRING (14.4689893 49.2917219, 14.4691882 49.2919037, 14.469341 49.2925356, 14.4696069 49.2931252, 14.4696851 49.2932905, 14.4696945 49.2934415)",,,,
