osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,tunnel
10050414,00717,Vrapická,tertiary,False,False,91.398,"LINESTRING (14.1847757 50.157389, 14.1846438 50.1574391, 14.1841687 50.1576045, 14.1836492 50.1577822)",,,
"[33834145, 1179865500]",,,tertiary,False,False,24.667,"LINESTRING (14.1847757 50.157389, 14.1847953 50.1573162, 14.1847863 50.1572672, 14.1847826 50.1572468, 14.1847428 50.157173)",,,
1179865501,00717,Vrapická,tertiary,False,True,24.804000000000002,"LINESTRING (14.1847757 50.157389, 14.1849755 50.1573778, 14.1851231 50.1573791)",,,
14864188,00719,Tyršova,tertiary,False,False,7.588,"LINESTRING (14.1853702 50.1573711, 14.1854737 50.1573872)",,,
1179865502,00717,Vrapická,tertiary,False,False,17.626,"LINESTRING (14.1853702 50.1573711, 14.1851231 50.1573791)",,,
314809692,00719,Tyršova,tertiary,False,True,49.895,"LINESTRING (14.1853702 50.1573711, 14.1851923 50.1573033, 14.1847428 50.157173)",,,
314809692,00719,Tyršova,tertiary,False,False,49.895,"LINESTRING (14.1847428 50.157173, 14.1851923 50.1573033, 14.1853702 50.1573711)",,,
"[1179865499, 314809692]",00719,Tyršova,tertiary,False,True,53.432,"LINESTRING (14.1847428 50.157173, 14.1844873 50.1570957, 14.1840646 50.1569678)",,,
"[33834145, 1179865500]",,,tertiary,False,True,24.667,"LINESTRING (14.1847428 50.157173, 14.1847826 50.1572468, 14.1847863 50.1572672, 14.1847953 50.1573162, 14.1847757 50.157389)",,,
10050416,00719,Tyršova,tertiary,False,False,82.676,"LINESTRING (14.1830063 50.1566627, 14.1840646 50.1569678)",50,,
33834200,,U Cihelny,residential,False,True,79.447,"LINESTRING (14.1830063 50.1566627, 14.1834824 50.1560166)",,,
14864188,00719,Tyršova,tertiary,False,False,56.533,"LINESTRING (14.1867287 50.1576409, 14.187092 50.1577101, 14.1874894 50.1577857)",,,
14864188,00719,Tyršova,tertiary,False,True,93.757,"LINESTRING (14.1867287 50.1576409, 14.1865176 50.1576018, 14.1854737 50.1573872)",,,
"[33834142, 314067910, 314067911]",,Revoluční,residential,False,True,216.26099999999997,"LINESTRING (14.1867287 50.1576409, 14.1867848 50.1575894, 14.1877038 50.1571813, 14.1877704 50.1570546, 14.1877416 50.1569315, 14.1876313 50.156793, 14.1876158 50.1567623, 14.1876226 50.1567203, 14.1877029 50.1565839, 14.1877114 50.156571, 14.1878607 50.1563446, 14.1878967 50.1562842, 14.1879438 50.1562294, 14.188063 50.1561064)",,yes,
14864188,00719,Tyršova,tertiary,False,False,81.128,"LINESTRING (14.1874894 50.1577857, 14.1881306 50.1578864, 14.1884482 50.1579376, 14.1885942 50.1579626)",,,
14864188,00719,Tyršova,tertiary,False,True,56.533,"LINESTRING (14.1874894 50.1577857, 14.187092 50.1577101, 14.1867287 50.1576409)",,,
33834143,,Sokolská,residential,False,False,143.894,"LINESTRING (14.1874894 50.1577857, 14.187454 50.1578343, 14.1866347 50.1589582)",,,
"[776999384, 583701353, 14864188, 165778383]",00719,"['Žeberova', 'Tyršova']","['residential', 'tertiary']",False,"[False, True]",316.597,"LINESTRING (14.1904122 50.1582736, 14.1907025 50.1584624, 14.190844 50.1585546, 14.1905098 50.1588129, 14.1904441 50.1588512, 14.1903357 50.1588872, 14.1902429 50.1589083, 14.190118 50.1589641, 14.189974 50.1590698, 14.1898878 50.1591671, 14.1898623 50.159191, 14.1882905 50.1587694, 14.1882091 50.1587403, 14.1881769 50.158704, 14.1881809 50.1586467, 14.1883826 50.1583871)",,,
