osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,tunnel,access
24235798,Krokova,residential,False,False,96.328,"LINESTRING (17.1114288 49.4683504, 17.111329 49.4683379, 17.1110153 49.4682748, 17.1106352 49.4681955, 17.1104723 49.4681632, 17.1101543 49.4680979)",,,,,,
147444083,Libušinka,residential,False,True,78.01499999999999,"LINESTRING (17.1114288 49.4683504, 17.1115353 49.4683745, 17.11164 49.4683942, 17.1119557 49.4684027, 17.1120241 49.4684044, 17.1120665 49.4684052, 17.1124973 49.4684138)",,,,,,
"[311170595, 311170596]",Brněnská,secondary,False,False,119.371,"LINESTRING (17.1114288 49.4683504, 17.1113304 49.4690832, 17.111312 49.4692198, 17.1113053 49.4692707, 17.1112857 49.4694199)",3,433,50,,,
"[311170601, 311170602, 4796037]",Wolkerova,secondary,False,False,207.50100000000003,"LINESTRING (17.1112857 49.4694199, 17.1115099 49.4694414, 17.1116092 49.4694509, 17.1127497 49.4695282, 17.1138917 49.4695872, 17.1139232 49.4695895, 17.1139895 49.4695941, 17.1141425 49.4696049)",3,150,50,,,
"[311170595, 311170596]",Brněnská,secondary,False,True,119.37100000000001,"LINESTRING (17.1112857 49.4694199, 17.1113053 49.4692707, 17.111312 49.4692198, 17.1113304 49.4690832, 17.1114288 49.4683504)",3,433,50,,,
"[8104143, 311170599]",Poděbradovo nám.,secondary,False,True,51.659000000000006,"LINESTRING (17.1112857 49.4694199, 17.1110549 49.4693978, 17.1110003 49.4693926, 17.1108364 49.4693838, 17.1107048 49.4693868, 17.1106389 49.4693919, 17.1105768 49.4694017)",4,150,50,,,
10310331,Tylova,residential,False,True,128.569,"LINESTRING (17.1141425 49.4696049, 17.1141432 49.4695529, 17.1141559 49.4686049, 17.114158 49.4685242, 17.114158 49.4684487)",,,,,,
311170601,Wolkerova,secondary,False,False,124.367,"LINESTRING (17.1141425 49.4696049, 17.1147849 49.4695771, 17.114989 49.4695682, 17.1158299 49.4695318, 17.1158598 49.4695305)",,150,50,,,
"[311170601, 311170602, 4796037]",Wolkerova,secondary,False,True,207.501,"LINESTRING (17.1141425 49.4696049, 17.1139895 49.4695941, 17.1139232 49.4695895, 17.1138917 49.4695872, 17.1127497 49.4695282, 17.1116092 49.4694509, 17.1115099 49.4694414, 17.1112857 49.4694199)",3,150,50,,,
143889680,Wolkerova,secondary,True,False,42.42500000000001,"LINESTRING (17.1170554 49.4695576, 17.1173514 49.4696173, 17.1174261 49.469633, 17.1174588 49.4696399, 17.1175676 49.4696635, 17.1176172 49.4696638)",,150,50,,,
264870848,Lidická,residential,True,False,131.387,"LINESTRING (17.1170554 49.4695576, 17.1171341 49.4694074, 17.1170946 49.4683848)",,,,,,
456603844,Wolkerova,secondary,False,True,87.112,"LINESTRING (17.1170554 49.4695576, 17.1169948 49.4695446, 17.1169309 49.4695345, 17.1168427 49.4695241, 17.1167481 49.4695145, 17.1166604 49.4695064, 17.1166178 49.469504, 17.1165716 49.4695034, 17.1158598 49.4695305)",,150,50,,,
"[8080502, 8080503]",Svatoplukova,secondary,False,False,102.62999999999998,"LINESTRING (17.1169466 49.4729382, 17.1168342 49.4729521, 17.11667 49.4729909, 17.1165181 49.4730491, 17.1163987 49.473108, 17.1163387 49.4731458, 17.116267 49.4732092, 17.1161998 49.473287, 17.1161686 49.4733282, 17.1161338 49.4734073, 17.1161064 49.4734899, 17.1160917 49.4735776)",4,150A,50,,,
