osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,junction,maxspeed,access
"[70855219, 72681055]","['Na Studánce', 'Na Bělisku']",residential,False,"[False, True]",179.748,"LINESTRING (16.3878137 49.9716878, 16.3876965 49.9726883, 16.3876236 49.9727793, 16.3872848 49.9732413)",,,,,
71502728,J. Haška,secondary,False,True,15.949,"LINESTRING (16.3878137 49.9716878, 16.3877554 49.9716581, 16.3877024 49.97163, 16.3876434 49.9715953)",2,315,,,
72848403,M. R. Štefanika,secondary,False,False,84.921,"LINESTRING (16.3878137 49.9716878, 16.3878633 49.9717097, 16.38792 49.9717322, 16.3880246 49.9717689, 16.3881184 49.9717976, 16.3882852 49.9718477, 16.3885333 49.9719282, 16.3887344 49.972002, 16.3888574 49.9720503)",2,315,,,
9586672,Lázeňská,secondary,False,False,76.709,"LINESTRING (16.3941562 49.9699529, 16.3941198 49.9699263, 16.394082 49.9698961, 16.3940412 49.9698535, 16.3939972 49.9697977, 16.3939314 49.9697047, 16.3938334 49.9695635, 16.3936768 49.9693388)",,360,,,
"[511919068, 38544342]",Moravská,primary,False,False,68.245,"LINESTRING (16.3941562 49.9699529, 16.3946487 49.9696968, 16.3949008 49.9695691)",4,14,,,
"[511919069, 511919070]",Moravská,primary,False,True,131.752,"LINESTRING (16.3941562 49.9699529, 16.3939753 49.9700432, 16.3934661 49.9703068, 16.392716 49.9706917)",4,14,,,
35594502,Lochmanova,residential,False,False,37.602,"LINESTRING (16.3932976 49.978189, 16.3936682 49.9779491)",2,,,,
"[511646928, 511646926, 511646927]",Královéhradecká,primary,False,False,209.742,"LINESTRING (16.3932976 49.978189, 16.3932093 49.9781458, 16.3931331 49.9781114, 16.3930452 49.9780755, 16.3929519 49.9780373, 16.3928278 49.9779873, 16.3927005 49.9779409, 16.3925865 49.9779036, 16.3924796 49.9778699, 16.3923205 49.9778212, 16.3918795 49.9777014, 16.3916847 49.9776488, 16.3915176 49.9776004, 16.3913864 49.9775608, 16.3912207 49.9775089, 16.3910579 49.9774538, 16.3909347 49.9774068, 16.3907996 49.9773506, 16.3907106 49.9773115)",4,14,,,
122135741,Ježkova,residential,True,False,134.479,"LINESTRING (16.3895372 49.9763806, 16.389777 49.9763158, 16.3912704 49.9759113)",,,,,
"[511646925, 511646923, 171560540, 654650229]",Královéhradecká,primary,False,True,134.77,"LINESTRING (16.3895372 49.9763806, 16.3895926 49.9764538, 16.3896597 49.9765404, 16.3897172 49.9766075, 16.3898247 49.9767163, 16.3899139 49.9767969, 16.3900154 49.9768834, 16.3901458 49.9769854, 16.3902423 49.9770509, 16.3903919 49.9771432, 16.3905022 49.9772081, 16.3906114 49.9772636, 16.3907106 49.9773115)",4,14,,,
"[511646920, 511646922, 511646924]",Královéhradecká,primary,False,False,251.17500000000004,"LINESTRING (16.3895372 49.9763806, 16.3894888 49.976304, 16.3894332 49.976207, 16.3893676 49.9760777, 16.3891193 49.9754672, 16.3890075 49.9751471, 16.3889553 49.9749854, 16.3889164 49.974847, 16.3888665 49.9745947, 16.3888252 49.9743089, 16.3888109 49.9741787)","['4', '5', '3']",14,,,
71502728,J. Haška,secondary,False,False,15.948999999999998,"LINESTRING (16.3876434 49.9715953, 16.3877024 49.97163, 16.3877554 49.9716581, 16.3878137 49.9716878)",2,315,,,
35594544,Zborovská,residential,False,True,114.82,"LINESTRING (16.3907106 49.9773115, 16.3908633 49.9772215, 16.3919233 49.9766348)",,,,,
39812793,Zborovská,residential,False,False,117.66,"LINESTRING (16.3907106 49.9773115, 16.3903748 49.9775065, 16.389921 49.9777701, 16.389494 49.9780239)",,,,,
"[511646923, 654650229, 511646925, 171560540]",Královéhradecká,primary,False,False,134.77,"LINESTRING (16.3907106 49.9773115, 16.3906114 49.9772636, 16.3905022 49.9772081, 16.3903919 49.9771432, 16.3902423 49.9770509, 16.3901458 49.9769854, 16.3900154 49.9768834, 16.3899139 49.9767969, 16.3898247 49.9767163, 16.3897172 49.9766075, 16.3896597 49.9765404, 16.3895926 49.9764538, 16.3895372 49.9763806)",4,14,,,
