osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction,access,bridge
1245328439,False,3,třída Václava Klementa,tertiary,50,False,52.589,"LINESTRING (14.9090374 50.4140339, 14.9086472 50.4136316)",,,
24655782,False,2,Jaselská,tertiary,50,False,243.859,"LINESTRING (14.9090374 50.4140339, 14.9088483 50.4140501, 14.9059538 50.4144871, 14.9058126 50.4145168, 14.9056934 50.4145455)",,,
312053069,False,2,třída Václava Klementa,residential,,False,61.382000000000005,"LINESTRING (14.9090374 50.4140339, 14.9091314 50.4141145, 14.9095402 50.4144834)",,,
447148710,False,2,Jaselská,tertiary,50,True,124.828,"LINESTRING (14.9045513 50.4153551, 14.9046082 50.4152172, 14.9046841 50.4150996, 14.9048102 50.4149947, 14.904839 50.414975, 14.9048731 50.4149574, 14.9055477 50.4146085, 14.9056934 50.4145455)",,,
24655782,False,2,Jaselská,tertiary,50,True,243.859,"LINESTRING (14.9056934 50.4145455, 14.9058126 50.4145168, 14.9059538 50.4144871, 14.9088483 50.4140501, 14.9090374 50.4140339)",,,
51516837,False,2,Českobratrská,residential,,True,63.429,"LINESTRING (14.9056934 50.4145455, 14.9056426 50.4144628, 14.905567 50.414382, 14.9054545 50.4142621, 14.9053321 50.4141366, 14.9052479 50.4140521)",,,
447148710,False,2,Jaselská,tertiary,50,False,124.82799999999999,"LINESTRING (14.9056934 50.4145455, 14.9055477 50.4146085, 14.9048731 50.4149574, 14.904839 50.414975, 14.9048102 50.4149947, 14.9046841 50.4150996, 14.9046082 50.4152172, 14.9045513 50.4153551)",,,
31619245,False,,Nádražní,tertiary,50,False,9.417,"LINESTRING (14.8999072 50.4074082, 14.8999656 50.407428, 14.9000161 50.4074558)",,,
"[367549784, 127122602, 447148717]",False,2,Nádražní,residential,50,True,182.163,"LINESTRING (14.9029232 50.4092169, 14.9027282 50.4090969, 14.9021042 50.408704, 14.9018736 50.4085615, 14.9015044 50.4083312, 14.9013542 50.4082611, 14.9010277 50.4081157)",,,
969582525,True,1,Nádražní,residential,50,False,20.48,"LINESTRING (14.9029232 50.4092169, 14.9030238 50.4092556, 14.9030929 50.409268, 14.9031922 50.4092622)",,,
587285327,True,1,,residential,50,False,6.79,"LINESTRING (14.9031922 50.4092622, 14.9032291 50.4092428, 14.9032748 50.4092335)",roundabout,,
173719365,False,,Kominické schody,residential,,False,12.89,"LINESTRING (14.9065716 50.4106575, 14.9064244 50.4107256)",,,
