osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,width,tunnel,access
"[114012704, 325117961, 9571139, 114012508]",3,229,Nádražní,secondary,50,False,False,130.604,yes,"LINESTRING (13.7314776 50.1025171, 13.7314127 50.1023422, 13.7313977 50.1022982, 13.7312456 50.10183, 13.731127 50.1015029, 13.7311126 50.1014588, 13.7310825 50.1013703)",,,
186794163,2,227,Tyršova,secondary,50,False,False,80.016,,"LINESTRING (13.7314776 50.1025171, 13.731615 50.1024979, 13.7316925 50.1024863, 13.7320626 50.102454, 13.7325902 50.1024384)",,,
1099784846,3,227;229,Na Sekyře,secondary,50,False,True,117.93100000000001,,"LINESTRING (13.7314776 50.1025171, 13.7313055 50.1025425, 13.7311771 50.1025615, 13.7306288 50.1026425, 13.7305905 50.1026482, 13.7300896 50.1027222, 13.7298663 50.1027552)",,,
154237007,,,Spalova,residential,50,False,False,11.859,,"LINESTRING (13.7357524 50.1030684, 13.7357255 50.1030341, 13.7357162 50.1030005, 13.7357069 50.1029669)",,,
186794160,2,227,Pražská,secondary,50,False,False,117.565,,"LINESTRING (13.7357524 50.1030684, 13.7360246 50.1029731, 13.7362499 50.1029107, 13.7365954 50.1028173, 13.7372749 50.1026687)",,,
186794160,2,227,Pražská,secondary,50,False,True,99.59700000000001,,"LINESTRING (13.7357524 50.1030684, 13.7354998 50.103188, 13.7351878 50.1033603, 13.7350324 50.103458, 13.7348735 50.1035348, 13.7348164 50.1035552, 13.7347515 50.1035726, 13.7346926 50.1035779, 13.7346336 50.1035772)",,,
1099784845,2,227;229,Na Sekyře,secondary,50,False,True,27.762,,"LINESTRING (13.7298663 50.1027552, 13.729487 50.1028113)",,,
289757313,,,Na Sekyře,residential,50,False,False,84.463,,"LINESTRING (13.7298663 50.1027552, 13.7298466 50.1026856, 13.7297855 50.1025242, 13.7300615 50.1024894, 13.7304183 50.1024403, 13.7305828 50.102416)",,,
1099784846,3,227;229,Na Sekyře,secondary,50,False,False,117.93100000000001,,"LINESTRING (13.7298663 50.1027552, 13.7300896 50.1027222, 13.7305905 50.1026482, 13.7306288 50.1026425, 13.7311771 50.1025615, 13.7313055 50.1025425, 13.7314776 50.1025171)",,,
"[1099784848, 1222522321]",3,229,Nádražní,secondary,50,False,True,59.478,,"LINESTRING (13.730106 50.100615, 13.7301925 50.1006946, 13.7303001 50.1007617, 13.7304471 50.100839, 13.7307198 50.1009719)",,,
