osmid,ref,highway,oneway,reversed,length,lanes,width,geometry,maxspeed,bridge
37885425,1593,tertiary,False,False,196.696,,,"LINESTRING (14.3923409 48.8717404, 14.3939869 48.8703415)",,
"[43720016, 146777411]",,residential,False,"[False, True]",328.535,1,3,"LINESTRING (14.3923409 48.8717404, 14.3923986 48.8717826, 14.3925353 48.871839, 14.3932779 48.8720076, 14.3937466 48.8720917, 14.3941294 48.8721426, 14.3947498 48.8722062, 14.3949621 48.8722264, 14.395139 48.8722465, 14.395321 48.8722713, 14.3954716 48.8722869, 14.3956745 48.8722946, 14.395908 48.8722869, 14.3961332 48.8722733, 14.3963433 48.8722461, 14.3965118 48.8722155, 14.3965949 48.8721872, 14.3966426 48.8721479)",,
37885425,1593,tertiary,False,False,107.475,,,"LINESTRING (14.3952992 48.8692266, 14.3962014 48.8684637)",,
37885425,1593,tertiary,False,True,156.81199999999998,,,"LINESTRING (14.3952992 48.8692266, 14.3951875 48.8693101, 14.3939869 48.8703415)",,
147166675,,residential,False,False,95.904,1,2.5,"LINESTRING (14.3952992 48.8692266, 14.3954479 48.8693457, 14.3956403 48.869526, 14.3958101 48.8697356, 14.3959868 48.8699576)",30,
37885425,1593,tertiary,False,True,196.696,,,"LINESTRING (14.3939869 48.8703415, 14.3923409 48.8717404)",,
37885425,1593,tertiary,False,False,156.81199999999998,,,"LINESTRING (14.3939869 48.8703415, 14.3951875 48.8693101, 14.3952992 48.8692266)",,
43720012,,residential,False,False,143.526,,,"LINESTRING (14.3939869 48.8703415, 14.3941683 48.8704363, 14.3943158 48.8704949, 14.3944465 48.8705301, 14.3947616 48.8705787, 14.3951179 48.8706091, 14.3953206 48.8706175, 14.3954654 48.8706044, 14.3955754 48.8705771, 14.3956839 48.8705275, 14.3957792 48.8704644)",,
43720012,,residential,False,True,143.52599999999998,,,"LINESTRING (14.3957792 48.8704644, 14.3956839 48.8705275, 14.3955754 48.8705771, 14.3954654 48.8706044, 14.3953206 48.8706175, 14.3951179 48.8706091, 14.3947616 48.8705787, 14.3944465 48.8705301, 14.3943158 48.8704949, 14.3941683 48.8704363, 14.3939869 48.8703415)",,
"[962598394, 962598395, 43720014]",,residential,False,False,187.02900000000002,,,"LINESTRING (14.3957792 48.8704644, 14.3959913 48.8706323, 14.39615 48.8707829, 14.3962699 48.8709505, 14.396361 48.8710942, 14.3964328 48.8712224, 14.3964761 48.8712998, 14.3964875 48.8713201, 14.3965516 48.8714559, 14.3965826 48.8715825, 14.3966711 48.8720069)",,yes
43720014,,residential,False,True,58.595,,,"LINESTRING (14.3957792 48.8704644, 14.3958035 48.8704123, 14.3958055 48.8703859, 14.3958094 48.8703343, 14.3959868 48.8699576)",,
43720014,,residential,False,False,58.595,,,"LINESTRING (14.3959868 48.8699576, 14.3958094 48.8703343, 14.3958055 48.8703859, 14.3958035 48.8704123, 14.3957792 48.8704644)",,
147166675,,residential,False,True,95.904,1,2.5,"LINESTRING (14.3959868 48.8699576, 14.3958101 48.8697356, 14.3956403 48.869526, 14.3954479 48.8693457, 14.3952992 48.8692266)",30,
282384789,,residential,False,False,243.22400000000002,1,2.5,"LINESTRING (14.3959868 48.8699576, 14.3960483 48.8698796, 14.3961297 48.8698433, 14.3962894 48.8698421, 14.3964846 48.8697966, 14.3965822 48.8697114, 14.3967401 48.8694884, 14.3968642 48.8692254, 14.396904 48.8691053, 14.3969435 48.8688776, 14.3970299 48.8687093, 14.3970141 48.8686588, 14.3969603 48.86861, 14.3968811 48.8685738, 14.3967331 48.8685496, 14.3965246 48.8685138, 14.3962014 48.8684637)",30,
43720016,,residential,False,False,15.952000000000002,,,"LINESTRING (14.3966711 48.8720069, 14.3966671 48.8720954, 14.3966426 48.8721479)",,
962598394,,residential,False,False,15.926,,,"LINESTRING (14.3966711 48.8720069, 14.3967426 48.8720619, 14.3968391 48.8720934)",,
"[962598394, 962598395, 43720014]",,residential,False,True,187.029,,,"LINESTRING (14.3966711 48.8720069, 14.3965826 48.8715825, 14.3965516 48.8714559, 14.3964875 48.8713201, 14.3964761 48.8712998, 14.3964328 48.8712224, 14.396361 48.8710942, 14.3962699 48.8709505, 14.39615 48.8707829, 14.3959913 48.8706323, 14.3957792 48.8704644)",,yes
58297680,,unclassified,False,True,15.677,,2.5,"LINESTRING (14.3968391 48.8720934, 14.3967284 48.8721317, 14.3966426 48.8721479)",,
962598394,,residential,False,True,15.926,,,"LINESTRING (14.3968391 48.8720934, 14.3967426 48.8720619, 14.3966711 48.8720069)",,
"[43720016, 146777411]",,residential,False,"[False, True]",328.53499999999997,1,3,"LINESTRING (14.3966426 48.8721479, 14.3965949 48.8721872, 14.3965118 48.8722155, 14.3963433 48.8722461, 14.3961332 48.8722733, 14.395908 48.8722869, 14.3956745 48.8722946, 14.3954716 48.8722869, 14.395321 48.8722713, 14.395139 48.8722465, 14.3949621 48.8722264, 14.3947498 48.8722062, 14.3941294 48.8721426, 14.3937466 48.8720917, 14.3932779 48.8720076, 14.3925353 48.871839, 14.3923986 48.8717826, 14.3923409 48.8717404)",,
43720016,,residential,False,True,15.952000000000002,,,"LINESTRING (14.3966426 48.8721479, 14.3966671 48.8720954, 14.3966711 48.8720069)",,
58297680,,unclassified,False,False,15.677,,2.5,"LINESTRING (14.3966426 48.8721479, 14.3967284 48.8721317, 14.3968391 48.8720934)",,
37885425,1593,tertiary,False,True,107.475,,,"LINESTRING (14.3962014 48.8684637, 14.3952992 48.8692266)",,
282384789,,residential,False,True,243.22400000000005,1,2.5,"LINESTRING (14.3962014 48.8684637, 14.3965246 48.8685138, 14.3967331 48.8685496, 14.3968811 48.8685738, 14.3969603 48.86861, 14.3970141 48.8686588, 14.3970299 48.8687093, 14.3969435 48.8688776, 14.396904 48.8691053, 14.3968642 48.8692254, 14.3967401 48.8694884, 14.3965822 48.8697114, 14.3964846 48.8697966, 14.3962894 48.8698421, 14.3961297 48.8698433, 14.3960483 48.8698796, 14.3959868 48.8699576)",30,
