osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,maxspeed,width,bridge
111676155,residential,False,True,44.46,,,,"LINESTRING (13.6058354 49.6155321, 13.6052258 49.6154699)",,,
9571330,secondary,False,False,37.605000000000004,2,117,Lipnická,"LINESTRING (13.6058354 49.6155321, 13.6057804 49.615681, 13.6056878 49.6158561)",,,
9571330,secondary,False,True,62.11200000000001,2,117,Lipnická,"LINESTRING (13.6058354 49.6155321, 13.6058899 49.6153463, 13.6059234 49.6152321, 13.6059668 49.6150915, 13.606 49.6149838)",,,
"[111650452, 111264309]",primary,False,True,333.785,2,19,Plzeňská,"LINESTRING (13.5984547 49.6143358, 13.598964 49.6142167, 13.5992242 49.6141606, 13.5994887 49.6141145, 13.5996993 49.61409, 13.5999061 49.6140748, 13.6001236 49.614065, 13.6006557 49.6140614, 13.6008976 49.6140679, 13.6012268 49.6140837, 13.6015558 49.6141102, 13.602235 49.6141833, 13.6027286 49.6142418, 13.6028239 49.6142532, 13.603003 49.6142655)",50,,
"[722314528, 544405059]",living_street,False,False,276.803,,,Sluneční,"LINESTRING (13.5984547 49.6143358, 13.598651 49.6145553, 13.5986864 49.6146038, 13.5987105 49.6146588, 13.5987206 49.6149357, 13.5987609 49.6150029, 13.5995703 49.615039, 13.6007031 49.6150657, 13.601439 49.615262)",,,
722314529,primary,False,False,44.182,2,19,Plzeňská,"LINESTRING (13.5984547 49.6143358, 13.5982808 49.61438, 13.5978812 49.6144765)",50,,
87179889,primary,False,True,47.111000000000004,2,19,Plzeňská,"LINESTRING (13.603003 49.6142655, 13.6031918 49.6142659, 13.6036566 49.614255)",50,,
"[111650452, 111264309]",primary,False,False,333.785,2,19,Plzeňská,"LINESTRING (13.603003 49.6142655, 13.6028239 49.6142532, 13.6027286 49.6142418, 13.602235 49.6141833, 13.6015558 49.6141102, 13.6012268 49.6140837, 13.6008976 49.6140679, 13.6006557 49.6140614, 13.6001236 49.614065, 13.5999061 49.6140748, 13.5996993 49.61409, 13.5994887 49.6141145, 13.5992242 49.6141606, 13.598964 49.6142167, 13.5984547 49.6143358)",50,,
"[111264276, 284443023]",residential,False,True,22.682000000000002,,,Náměstí Svobody,"LINESTRING (13.603003 49.6142655, 13.6029914 49.6143609, 13.6029544 49.6144665)",,,
9570757,secondary,False,False,15.797999999999998,2,117,Náměstí Svobody,"LINESTRING (13.6054086 49.6142015, 13.6054247 49.6142421, 13.6054375 49.6142745, 13.6054435 49.6143411)",,,
"[428010210, 9571629]",primary,False,False,126.37299999999999,2,19,Plzeňská,"LINESTRING (13.6054086 49.6142015, 13.6053216 49.6142065, 13.605198 49.6142098, 13.6047274 49.6142215, 13.6040717 49.6142424, 13.6036566 49.614255)",50,,
"[436243992, 1082160817]",primary,False,True,106.32600000000001,2,19,Tyršova,"LINESTRING (13.6054086 49.6142015, 13.6054419 49.6141874, 13.605467 49.6141677, 13.6054849 49.6141328, 13.605502 49.6140174, 13.6055297 49.6138667, 13.6056034 49.6136017, 13.6058057 49.6132976)",50,,
9571330,secondary,False,False,62.112,2,117,Lipnická,"LINESTRING (13.606 49.6149838, 13.6059668 49.6150915, 13.6059234 49.6152321, 13.6058899 49.6153463, 13.6058354 49.6155321)",,,
"[28596667, 722317007]",tertiary,False,False,262.3,2,11739,Zámecká,"LINESTRING (13.606 49.6149838, 13.6062234 49.6150678, 13.6064528 49.6151454, 13.6066287 49.6151916, 13.6067264 49.6152173, 13.6081125 49.6155393, 13.6087201 49.6156859, 13.6089147 49.6157329, 13.6093785 49.6158538)",,,
111264281,secondary,False,True,50.408,2,117,Zámecká,"LINESTRING (13.606 49.6149838, 13.6056089 49.614827, 13.6055714 49.6148043, 13.6055266 49.6147807, 13.6054526 49.6147109)",,10.1,
407687021,tertiary,False,False,118.258,,17715,Republikánská,"LINESTRING (13.6067794 49.6101102, 13.6066436 49.610257, 13.6065668 49.6103636, 13.606522 49.6104446, 13.606485 49.6105235, 13.6062687 49.6111133)",,5,
407687021,tertiary,False,False,98.188,,17715,Republikánská,"LINESTRING (13.6062687 49.6111133, 13.6058716 49.611958)",,5,
42774831,residential,False,True,118.18400000000001,,,Čechova,"LINESTRING (13.6062687 49.6111133, 13.6067549 49.6111623, 13.6068418 49.6111601, 13.6073744 49.6111731, 13.607893 49.6111079)",,,
407687021,tertiary,False,True,118.25800000000001,,17715,Republikánská,"LINESTRING (13.6062687 49.6111133, 13.606485 49.6105235, 13.606522 49.6104446, 13.6065668 49.6103636, 13.6066436 49.610257, 13.6067794 49.6101102)",,5,
