osmid,highway,oneway,reversed,length,ref,geometry,lanes,maxspeed,bridge
210657519,unclassified,False,True,48.116,,"LINESTRING (15.1137989 49.6562588, 15.114403 49.6560736)",,,
9582588,secondary,False,False,230.517,150,"LINESTRING (15.1137989 49.6562588, 15.1136118 49.6557892, 15.1134518 49.6551625, 15.1134124 49.6550083, 15.1132425 49.6542193)",,,
"[549782810, 22868187]",secondary,False,True,373.297,150,"LINESTRING (15.1137989 49.6562588, 15.1140968 49.6566611, 15.1143817 49.6569478, 15.1146951 49.6572029, 15.1149991 49.6573818, 15.1152945 49.6575516, 15.1156292 49.6577049, 15.1160947 49.6578624, 15.1168037 49.6580186, 15.1177632 49.6581364)",,,
210657516,unclassified,False,False,123.351,,"LINESTRING (15.1177632 49.6581364, 15.1177107 49.6578978, 15.1174237 49.6570496)",,,
"[549782808, 549782809, 549782823]",secondary,False,True,83.987,150,"LINESTRING (15.1177632 49.6581364, 15.1182278 49.6581913, 15.1186183 49.6582366, 15.1189109 49.6582724)",3,90,
"[549782810, 22868187]",secondary,False,False,373.297,150,"LINESTRING (15.1177632 49.6581364, 15.1168037 49.6580186, 15.1160947 49.6578624, 15.1156292 49.6577049, 15.1152945 49.6575516, 15.1149991 49.6573818, 15.1146951 49.6572029, 15.1143817 49.6569478, 15.1140968 49.6566611, 15.1137989 49.6562588)",,,
549782830,secondary,False,True,44.22,150,"LINESTRING (15.1222745 49.658656, 15.1228705 49.6587524)",,90,
549782827,motorway_link,True,False,50.278999999999996,,"LINESTRING (15.1222745 49.658656, 15.122606 49.6586267, 15.122782 49.6585982, 15.1229308 49.6585298)",,90,
"[549782834, 549782814, 549782815]",secondary,False,False,150.432,150,"LINESTRING (15.1222745 49.658656, 15.1216233 49.658585, 15.1209721 49.6585102, 15.1207765 49.6584888, 15.1202147 49.6584273)","['2', '3']",90,
549782830,secondary,False,False,44.22,150,"LINESTRING (15.1228705 49.6587524, 15.1222745 49.658656)",,90,
549782832,secondary,False,True,34.292,150,"LINESTRING (15.1228705 49.6587524, 15.1233161 49.6588615)",,90,
22868189,motorway_link,False,False,25.130000000000003,,"LINESTRING (15.1228705 49.6587524, 15.1228821 49.6587097, 15.1229308 49.6585298)",2,,
22868189,motorway_link,False,True,25.130000000000003,,"LINESTRING (15.1229308 49.6585298, 15.1228821 49.6587097, 15.1228705 49.6587524)",2,,
549782828,motorway_link,True,False,46.777,,"LINESTRING (15.1229308 49.6585298, 15.1230114 49.6586452, 15.123164 49.6587738, 15.1233161 49.6588615)",,90,
"[549782835, 549782829]",motorway_link,False,False,91.057,,"LINESTRING (15.1229308 49.6585298, 15.1230029 49.6583045, 15.1230253 49.6582348, 15.1230804 49.6581222, 15.1231004 49.658, 15.1230803 49.6578932, 15.1230513 49.6578127, 15.1230006 49.6577328)",2,90,
