osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,width
"[37339573, 37339582]",117,Masarykovo náměstí,secondary,False,False,113.728,"LINESTRING (13.5405757 49.5810641, 13.5403219 49.5815716, 13.5402614 49.581698, 13.5400983 49.5820389)",,,,
37339573,117,Masarykovo náměstí,secondary,False,True,22.64,"LINESTRING (13.5405757 49.5810641, 13.5406357 49.580914, 13.5406256 49.5808659)",,,,
38119456,,Masarykovo náměstí,residential,False,False,58.739000000000004,"LINESTRING (13.5405757 49.5810641, 13.5409953 49.5812, 13.5412078 49.5812689, 13.541272 49.5813253)",,,,
28734632,1777,Kamenického,tertiary,False,False,94.019,"LINESTRING (13.5369658 49.5856025, 13.5369053 49.5858197, 13.5368606 49.5858852, 13.5367114 49.5861063, 13.5364312 49.5863598)",,,,
66105856,178,Americká,secondary,False,False,266.552,"LINESTRING (13.5369658 49.5856025, 13.537126 49.5854867, 13.5372059 49.5853743, 13.5372778 49.5852485, 13.5373272 49.5851621, 13.5374204 49.5850807, 13.5376015 49.5849537, 13.5377178 49.5848225, 13.53805 49.5841133, 13.5382525 49.58388, 13.5384873 49.5836667, 13.5387153 49.5835396)",,,,
172974689,178,Setecká,secondary,False,True,121.50099999999999,"LINESTRING (13.5369658 49.5856025, 13.5368413 49.5855747, 13.5364787 49.5854939, 13.5359124 49.5853694, 13.5358303 49.5853514, 13.5354734 49.5852926, 13.5353596 49.5852738)",2,50,,
66105856,178,Americká,secondary,False,True,24.284,"LINESTRING (13.5390394 49.5834801, 13.5387153 49.5835396)",,,,
"[846750827, 9570619, 34419526, 34419527]",117,Luční,secondary,False,False,359.64200000000005,"LINESTRING (13.5390394 49.5834801, 13.5390909 49.5836621, 13.5391295 49.5837605, 13.5391143 49.5840454, 13.5391288 49.5844698, 13.539131 49.5845329, 13.539161 49.5846314, 13.5391718 49.5846667, 13.539217 49.5847941, 13.5393009 49.5849058, 13.5395528 49.5851429, 13.5397844 49.5853425, 13.5399162 49.5854504, 13.5400879 49.585546, 13.5402678 49.5856086, 13.5404671 49.5856464, 13.540688 49.5856561, 13.5412124 49.585656, 13.5415361 49.5856324)",,,yes,
37339576,117,Americká,secondary,False,True,84.244,"LINESTRING (13.5390394 49.5834801, 13.5391471 49.5832674, 13.5395103 49.5827884)",,,,
172974689,178,Setecká,secondary,False,False,121.50099999999999,"LINESTRING (13.5353596 49.5852738, 13.5354734 49.5852926, 13.5358303 49.5853514, 13.5359124 49.5853694, 13.5364787 49.5854939, 13.5368413 49.5855747, 13.5369658 49.5856025)",2,50,,
172974689,178,Setecká,secondary,False,True,31.823999999999998,"LINESTRING (13.5353596 49.5852738, 13.5351408 49.585243, 13.5349282 49.5852131)",2,50,,
37339576,117,Americká,secondary,False,False,93.502,"LINESTRING (13.5400983 49.5820389, 13.5395103 49.5827884)",,,,
"[37339573, 37339582]",117,Masarykovo náměstí,secondary,False,True,113.72800000000001,"LINESTRING (13.5400983 49.5820389, 13.5402614 49.581698, 13.5403219 49.5815716, 13.5405757 49.5810641)",,,,
"[66112586, 38119455]",,Masarykovo náměstí,residential,False,False,40.113,"LINESTRING (13.5400983 49.5820389, 13.5404224 49.582125, 13.5406137 49.5821748)",,,,
38119446,,Drnkova,residential,False,False,24.707,"LINESTRING (13.5364312 49.5863598, 13.5366842 49.5865097)",,,,
28734632,1777,Kamenického,tertiary,False,True,94.019,"LINESTRING (13.5364312 49.5863598, 13.5367114 49.5861063, 13.5368606 49.5858852, 13.5369053 49.5858197, 13.5369658 49.5856025)",,,,
38120083,,Poplužní,residential,False,False,46.047,"LINESTRING (13.543698 49.577767, 13.5430719 49.5776853)",,,,
"[37339586, 37339578, 37339585]",17711,Hradišťská,tertiary,False,False,191.656,"LINESTRING (13.543698 49.577767, 13.5433604 49.5781908, 13.5431773 49.5783259, 13.5429359 49.578443, 13.5425021 49.5785402, 13.5423153 49.578603, 13.5420998 49.578815, 13.5419936 49.5789849)",,,yes,
37339573,117,Masarykovo náměstí,secondary,False,False,22.64,"LINESTRING (13.5406256 49.5808659, 13.5406357 49.580914, 13.5405757 49.5810641)",,,,
