osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction,access,bridge
29190788,True,613,Střelecká,secondary,50,False,101.042,"LINESTRING (14.0408292 50.656936, 14.0410822 50.6568832, 14.0413198 50.6567901, 14.0415618 50.6567318, 14.042053 50.6566752, 14.0421803 50.65666)",,,,
32598176,True,613,Střelecká,secondary,50,False,31.096999999999998,"LINESTRING (14.0408292 50.656936, 14.0409387 50.6569443, 14.04104 50.656972, 14.0411245 50.6570168, 14.0411853 50.6570752)",2,roundabout,,
227046916,True,613,Střelecká,secondary,50,False,10.33,"LINESTRING (14.0427583 50.6566415, 14.0426318 50.6566884)",,,,
204730227,True,613,Střelecká,secondary,50,False,31.230999999999998,"LINESTRING (14.0404847 50.6570883, 14.0405403 50.6570276, 14.040621 50.6569795, 14.0407201 50.6569481, 14.0408292 50.656936)",2,roundabout,,
204256667,True,,Velká Hradební,residential,,False,74.86,"LINESTRING (14.0448929 50.6607739, 14.0448381 50.6608905, 14.0445778 50.6614168)",,,,
"[317573642, 32056271, 52107716, 25734298]",False,,"['Hrnčířská', 'Mírové náměstí']",residential,,"[False, True]",236.09900000000002,"LINESTRING (14.0448929 50.6607739, 14.0447463 50.6607499, 14.0445056 50.6607104, 14.0434731 50.6605411, 14.0433299 50.6605159, 14.0432509 50.6605047, 14.0425478 50.6604336, 14.0417875 50.6603489, 14.0416271 50.6603143)",2,,,
32068432,False,,Velká Hradební,residential,,True,196.632,"LINESTRING (14.0443476 50.662015, 14.0441428 50.6620414, 14.0440041 50.6620598, 14.0439224 50.6620707, 14.0436825 50.6620911, 14.0432688 50.6620851, 14.0428216 50.6620657, 14.0415741 50.6620034)",,,,
600094921,False,,Velká Hradební,residential,,True,68.469,"LINESTRING (14.0443476 50.662015, 14.0444153 50.6618326, 14.0445778 50.6614168)",,,,
32068432,False,,Velká Hradební,residential,,True,10.045,"LINESTRING (14.0412484 50.6619899, 14.0411062 50.661984)",,,,
32068432,False,,Velká Hradební,residential,,False,23.006,"LINESTRING (14.0412484 50.6619899, 14.0413599 50.6619945, 14.0415741 50.6620034)",,,,
25734386,False,,Bělehradská,residential,,False,70.787,"LINESTRING (14.0388734 50.6618932, 14.0388281 50.6620053, 14.0386242 50.6625099)",,,,
308213365,False,,Velká Hradební,residential,,False,125.983,"LINESTRING (14.0388734 50.6618932, 14.0395428 50.6619041, 14.039921 50.6619244, 14.0406566 50.6619635)",,,,
308213365,False,,Velká Hradební,residential,,True,47.852,"LINESTRING (14.0388734 50.6618932, 14.0383317 50.661853, 14.0382036 50.6618292)",,,,
