osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,tunnel,bridge,width,junction
"[377099753, 9561150]",263,Lipová,secondary,50,False,False,163.981,"LINESTRING (14.4184885 50.7963578, 14.418519 50.7963255, 14.4185927 50.7962473, 14.4187109 50.7961216, 14.419315 50.795455, 14.419664 50.795084)",,,,,
"[67818152, 67818153]",13,"['Nádražní', 'Štítného']",primary,50,False,True,507.938,"LINESTRING (14.4184885 50.7963578, 14.4182411 50.7963164, 14.4180706 50.7962948, 14.4178476 50.7962841, 14.4175598 50.796273, 14.4172649 50.7962637, 14.416928 50.7962441, 14.416397 50.7962008, 14.415782 50.7961483, 14.4155872 50.7961474, 14.4154478 50.7961654, 14.4153209 50.7962123, 14.4152287 50.7962774, 14.4151621 50.7963441, 14.4149203 50.7967125, 14.4147646 50.7969847, 14.4146374 50.7972802, 14.4145373 50.7976697, 14.4144734 50.7980693, 14.4144059 50.7984716, 14.4143387 50.7985741, 14.4142828 50.7986263)",2,,,,
"[1212686400, 68568588]",13,Pražská,primary,50,False,True,146.528,"LINESTRING (14.4184885 50.7963578, 14.4187278 50.7964106, 14.4194996 50.7965731, 14.4202798 50.7967315, 14.4203694 50.7967538, 14.4204586 50.7967852)",2,,,,
37016980,,Děčínská,residential,,False,True,51.914,"LINESTRING (14.4112522 50.7988924, 14.4112894 50.7987913, 14.4116327 50.7985002)",,,,,
"[1202029202, 103712307]",13,Děčínská,primary,50,False,False,66.55000000000001,"LINESTRING (14.4112522 50.7988924, 14.4118257 50.7989018, 14.4120153 50.7989011, 14.412198 50.7988894)",,,,,
103712307,13,Děčínská,primary,50,False,True,54.492000000000004,"LINESTRING (14.4112522 50.7988924, 14.4105927 50.7988733, 14.4104776 50.7988709)",,,,,
67736697,,Lipová,residential,,False,True,34.273,"LINESTRING (14.419664 50.795084, 14.4195598 50.79504, 14.4194267 50.7950158, 14.4192034 50.7950062)",,,,,
"[377099753, 9561150]",263,Lipová,secondary,50,False,True,163.981,"LINESTRING (14.419664 50.795084, 14.419315 50.795455, 14.4187109 50.7961216, 14.4185927 50.7962473, 14.418519 50.7963255, 14.4184885 50.7963578)",,,,,
67803556,13,Pivovarská,primary,50,False,False,97.893,"LINESTRING (14.412198 50.7988894, 14.4125416 50.7988609, 14.4128542 50.7988284, 14.4132141 50.7987754, 14.4135681 50.798734)",2,,,,
67803562,25860,Děčínská,tertiary,50,False,True,126.51,"LINESTRING (14.412198 50.7988894, 14.4122833 50.798966, 14.4130939 50.7996347, 14.4133023 50.7997874)",,,,,
