osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes,junction,access
"[23601697, 982081387]",Sokolská,residential,False,False,118.55199999999999,"LINESTRING (14.5347429 50.6835262, 14.5347869 50.683606, 14.5350456 50.6840559, 14.5350793 50.6841185, 14.5353389 50.684523)",,,,,,
"[30788228, 30788229, 38748678]",Děčínská,secondary,False,True,290.38100000000003,"LINESTRING (14.5347429 50.6835262, 14.5346157 50.683551, 14.5345309 50.6835715, 14.5342999 50.6836234, 14.533793 50.683808, 14.5336275 50.6838821, 14.5334802 50.6839541, 14.5333637 50.6840151, 14.5330077 50.6842395, 14.5328928 50.6843175, 14.5327026 50.6844733, 14.5325562 50.6846002, 14.5325333 50.6846201, 14.5318363 50.6852073, 14.531776 50.685258)",262,50,yes,2,,
"[977395713, 648806132, 864698879]",Děčínská,secondary,False,False,123.42699999999999,"LINESTRING (14.5347429 50.6835262, 14.5349167 50.6834754, 14.5353952 50.6833812, 14.5354751 50.6833757, 14.536325 50.6833169, 14.5364485 50.6833092)",262,50,,"['2', '4']",,
38748677,Děčínská,secondary,True,False,44.883,"LINESTRING (14.531776 50.685258, 14.5315664 50.6854921, 14.5315077 50.6855568, 14.5314707 50.6856119)",262,50,,,,
"[30788228, 30788229, 38748678]",Děčínská,secondary,False,False,290.381,"LINESTRING (14.531776 50.685258, 14.5318363 50.6852073, 14.5325333 50.6846201, 14.5325562 50.6846002, 14.5327026 50.6844733, 14.5328928 50.6843175, 14.5330077 50.6842395, 14.5333637 50.6840151, 14.5334802 50.6839541, 14.5336275 50.6838821, 14.533793 50.683808, 14.5342999 50.6836234, 14.5345309 50.6835715, 14.5346157 50.683551, 14.5347429 50.6835262)",262,50,yes,2,,
117095309,,primary,False,False,141.672,"LINESTRING (14.5415117 50.6837727, 14.5415344 50.6850467)",9,70,,2,,
24380351,,primary_link,True,False,82.42,"LINESTRING (14.5415117 50.6837727, 14.5416136 50.6838996, 14.5416867 50.6839689, 14.5417906 50.6840194, 14.541897 50.6840424, 14.5419934 50.6840468, 14.5421192 50.6840279, 14.5422741 50.6839763, 14.5424129 50.6839149)",,50,,,,
552822368,Děčínská,secondary,False,True,61.957,"LINESTRING (14.5409013 50.6831689, 14.540022 50.6831605)",262,50,,2,,
30708611,,primary_link,True,False,73.46100000000001,"LINESTRING (14.5409013 50.6831689, 14.5406537 50.6831953, 14.5404825 50.6832312, 14.5404093 50.683258, 14.5403494 50.6832955, 14.5403087 50.6833354, 14.5402756 50.6833905, 14.5402725 50.6834603, 14.540306 50.6835622)",,50,,,,
"[264009075, 552822367]","['Děčínská', 'U Ploučnice']",secondary,False,False,101.785,"LINESTRING (14.5409013 50.6831689, 14.5412716 50.6831757, 14.5416707 50.6831829, 14.542344 50.6832131)",262,50,,"['4', '3']",,
38748626,Děčínská,secondary,True,False,53.40299999999999,"LINESTRING (14.5305106 50.6860088, 14.5309547 50.6857778, 14.5310303 50.6857327, 14.5310739 50.6856905)",262,50,,,,
117095309,,primary,False,True,141.672,"LINESTRING (14.5415344 50.6850467, 14.5415117 50.6837727)",9,70,,2,,
24380347,,primary_link,True,False,130.771,"LINESTRING (14.5415344 50.6850467, 14.54141 50.6846613, 14.54134 50.6845267, 14.5412193 50.6843701, 14.5410088 50.6841689, 14.5408143 50.6839803)",,50,,,,
23601763,Sokolská,residential,False,False,115.54899999999999,"LINESTRING (14.5353389 50.684523, 14.5355457 50.6844856, 14.5369272 50.6842641)",,,,,,
30708224,Boženy Němcové,residential,False,False,135.921,"LINESTRING (14.5353389 50.684523, 14.5352372 50.6845402, 14.534927 50.6845927, 14.5343258 50.6845707, 14.5341828 50.6845683, 14.5339658 50.6845648, 14.5334264 50.6845418)",,,,,,
"[23601697, 982081387]",Sokolská,residential,False,True,118.55199999999999,"LINESTRING (14.5353389 50.684523, 14.5350793 50.6841185, 14.5350456 50.6840559, 14.5347869 50.683606, 14.5347429 50.6835262)",,,,,,
23601769,U Synagogy,residential,False,False,110.543,"LINESTRING (14.5398788 50.6846724, 14.540035 50.6847374, 14.5401581 50.6848191, 14.5402256 50.6848929, 14.5402784 50.684982, 14.5403094 50.6851605, 14.5403488 50.6854449, 14.5403533 50.6855621)",,,,,,
30708332,Mlýnská,residential,True,False,124.35600000000001,"LINESTRING (14.5398788 50.6846724, 14.5398599 50.6847611, 14.5398353 50.684877, 14.539821 50.684944, 14.5397784 50.6851528, 14.5397195 50.685375, 14.539708 50.685571, 14.5397312 50.6857828)",,,,,,
264009044,Erbenova,residential,False,True,60.41,"LINESTRING (14.5398788 50.6846724, 14.5398047 50.6846462, 14.5396896 50.6846248, 14.5396297 50.6846207, 14.5390408 50.6845799)",,,,,,
