osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,tunnel,access
1177259206,2,2409,Letecká,tertiary,50,8,False,False,26.338,"LINESTRING (14.3690458 50.1958573, 14.3688232 50.1960465)",,
34259201,,"2407, 2409",náměstí Svobody,tertiary,50,,False,False,12.612,"LINESTRING (14.3648103 50.1978421, 14.3647903 50.1979548)",,
"[250946920, 27673884]",2,2407,náměstí Svobody,tertiary,50,,False,True,31.339,"LINESTRING (14.3648103 50.1978421, 14.3644865 50.1977912, 14.3643821 50.1977766)",,
"[1177923057, 1099839370, 1177259207]",2,2409,Letecká,tertiary,50,10,False,True,85.399,"LINESTRING (14.3648103 50.1978421, 14.3648297 50.197801, 14.3648697 50.1977717, 14.3649118 50.1977535, 14.3653218 50.1976218, 14.3658217 50.1974569)",,
1151536434,,,K. H. Borovského,residential,,,False,False,55.544,"LINESTRING (14.3617058 50.1974873, 14.361723 50.1974092, 14.3618245 50.1969936)",,
"[1177259211, 32040397]",2,2407,Chýnovská,tertiary,50,,False,False,206.23199999999997,"LINESTRING (14.3617058 50.1974873, 14.3616079 50.1974763, 14.3613532 50.1974477, 14.3612065 50.197419, 14.358975 50.1968785)",,
"[1177259208, 1177259210, 1177259211]",2,2407,Chýnovská,tertiary,50,,False,True,193.236,"LINESTRING (14.3617058 50.1974873, 14.3618045 50.1974973, 14.3620392 50.1975211, 14.3630163 50.1976206, 14.3634586 50.1976628, 14.363962 50.1977194, 14.3642275 50.1977555, 14.3643821 50.1977766)",,
32040401,,2409,Kralupská,tertiary,50,,False,False,28.626,"LINESTRING (14.362146 50.1999433, 14.362084 50.1999566, 14.362025 50.1999609, 14.3619391 50.1999618, 14.3617527 50.1999337)",,
"[290091640, 1177921089, 163823789]",,"2407, 2409","['5. května', 'Vltavská']",tertiary,50,,False,True,108.84400000000001,"LINESTRING (14.362146 50.1999433, 14.3622127 50.1999232, 14.3622851 50.1998854, 14.362316 50.1998613, 14.3623285 50.1998472, 14.362369 50.1998013, 14.3623924 50.1997652, 14.3624132 50.1997244, 14.3624595 50.1995922, 14.3625058 50.1994815, 14.3625601 50.1993883, 14.3626341 50.19929, 14.3627116 50.1992074, 14.3627478 50.1991827, 14.3627867 50.199163, 14.3628745 50.1991228)",,
"[1177921091, 55072054]",,2407,Vltavská,residential,,4,False,True,155.65099999999998,"LINESTRING (14.362146 50.1999433, 14.3622025 50.200151, 14.3622086 50.2001734, 14.3622278 50.2002441, 14.3623633 50.2006619, 14.3624017 50.2008274, 14.3624753 50.2009979, 14.3626741 50.2012254, 14.3627125 50.2012833)",,
"[32040409, 1175337370, 402025387, 34259198]",,,Pod Nádražím,residential,,,False,False,288.849,"LINESTRING (14.3627125 50.2012833, 14.362839 50.2012344, 14.3629148 50.2011881, 14.3631971 50.2009623, 14.3632102 50.2009491, 14.3632206 50.2009363, 14.3634351 50.2005921, 14.3634408 50.2005794, 14.3634459 50.2005593, 14.3634526 50.2005464, 14.363461 50.2005369, 14.363476 50.2005294, 14.3634916 50.2005279, 14.363517 50.2005293, 14.3638154 50.2006226, 14.3642271 50.2008938, 14.3634 50.2018107)",,
"[1177921091, 55072054]",,2407,Vltavská,residential,,4,False,False,155.651,"LINESTRING (14.3627125 50.2012833, 14.3626741 50.2012254, 14.3624753 50.2009979, 14.3624017 50.2008274, 14.3623633 50.2006619, 14.3622278 50.2002441, 14.3622086 50.2001734, 14.3622025 50.200151, 14.362146 50.1999433)",,
55072054,,2407,Vltavská,residential,,4,False,True,40.605,"LINESTRING (14.3627125 50.2012833, 14.3627326 50.2013802, 14.3627071 50.2015756, 14.3627093 50.2016145, 14.3627251 50.2016453)",,
