osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,bridge,access,width,tunnel
106946496,05735,Mostecká,tertiary,50,False,True,54.108000000000004,"LINESTRING (17.9925201 49.340168, 17.9925453 49.3402164, 17.9925739 49.340278, 17.9926188 49.3403875, 17.992711 49.3406382)",,,,,,
329038958,05735,Mostecká,tertiary,50,False,False,145.869,"LINESTRING (17.9925201 49.340168, 17.9925005 49.3401342, 17.9924634 49.3400811, 17.9923922 49.3399974, 17.9922866 49.3398784, 17.992208 49.339798, 17.9921773 49.3397663, 17.9916939 49.3393519, 17.991611 49.3392809, 17.9914267 49.3391503, 17.99136 49.339103)",,,,,,
"[1188172537, 24830418, 1235129533]",,Dolní náměstí,residential,,False,"[False, True]",163.62800000000001,"LINESTRING (17.9925201 49.340168, 17.9926171 49.3401393, 17.9927036 49.3401147, 17.9928229 49.3400921, 17.9938875 49.339856, 17.9939546 49.339856, 17.9940049 49.3398673, 17.9940331 49.3398892, 17.9940894 49.3399565, 17.9942783 49.340277)",,,,,,
"[1188172537, 24830418, 1235129533]",,Dolní náměstí,residential,,False,"[False, True]",163.628,"LINESTRING (17.9942783 49.340277, 17.9940894 49.3399565, 17.9940331 49.3398892, 17.9940049 49.3398673, 17.9939546 49.339856, 17.9938875 49.339856, 17.9928229 49.3400921, 17.9927036 49.3401147, 17.9926171 49.3401393, 17.9925201 49.340168)",,,,,,
29288336,,Horní náměstí,residential,,False,False,17.345,"LINESTRING (17.9991442 49.341114, 17.9991056 49.3412184, 17.999098 49.3412456, 17.999093 49.3412663)",,,,,,
"[109177313, 329041627]",05736,Palackého,tertiary,50,False,True,287.809,"LINESTRING (17.9991442 49.341114, 17.9990911 49.3411059, 17.9990622 49.3410976, 17.9990299 49.3410878, 17.9989968 49.3410739, 17.9989603 49.3410553, 17.9989186 49.3410283, 17.998821 49.3409585, 17.9987105 49.3408787, 17.9986705 49.3408532, 17.9986413 49.3408352, 17.9986074 49.3408171, 17.9985512 49.3407934, 17.9984923 49.3407741, 17.9984351 49.3407596, 17.9983666 49.3407445, 17.9982925 49.3407334, 17.9982254 49.3407265, 17.998142 49.3407207, 17.9980438 49.3407171, 17.9979499 49.3407159, 17.9976178 49.3407106, 17.9974605 49.3407083, 17.9971879 49.340706, 17.9968878 49.3407083, 17.9965553 49.3407161, 17.9963793 49.3407246, 17.996169 49.3407388, 17.9959295 49.3407617, 17.9957144 49.3407868, 17.9955124 49.3408139, 17.9953948 49.3408294)",2,,,,,
"[24830421, 435646759]",05736,"['Palackého', 'Sychrov']",tertiary,50,False,False,102.08599999999998,"LINESTRING (17.9991442 49.341114, 17.9991775 49.3411154, 17.9992086 49.3411145, 17.9992483 49.3411107, 17.9992843 49.3411034, 17.99933 49.3410925, 17.9993833 49.3410766, 17.9994519 49.3410507, 17.9995355 49.3410138, 17.9996184 49.3409738, 17.9996928 49.3409331, 17.9997625 49.340889, 17.9998203 49.3408469, 17.9998709 49.3408037, 17.9999062 49.3407682, 17.9999369 49.3407324, 17.9999577 49.3406977, 17.9999742 49.3406665, 17.9999861 49.3406326, 17.9999924 49.340608, 17.9999978 49.340569, 18.0000003 49.3405232, 17.9999966 49.3404882)",,,,,,
24830420,,,tertiary,50,True,False,20.485,"LINESTRING (17.9896613 49.3379506, 17.989708 49.337916, 17.9897688 49.3378925, 17.9898377 49.3378823, 17.9899081 49.3378863)",,roundabout,,,,
24830420,,,tertiary,50,True,False,13.611999999999998,"LINESTRING (17.9899081 49.3378863, 17.9899661 49.3379016, 17.9900156 49.3379266, 17.9900527 49.3379595)",,roundabout,,,,
"[314168482, 43948700, 43948701, 1149886389]",05737,Nádražní,tertiary,50,False,True,150.07399999999998,"LINESTRING (17.9899081 49.3378863, 17.9899178 49.3378322, 17.9899409 49.3377616, 17.9900617 49.3375716, 17.9901351 49.3374586, 17.9902258 49.3373397, 17.9903103 49.3372458, 17.9904193 49.3371497, 17.9904971 49.3370866, 17.9905955 49.3370166, 17.9907636 49.3369127, 17.9910247 49.3367954)",2,,yes,,,
