osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,junction
130544808,2,Brněnská,tertiary,50,False,False,74.499,"LINESTRING (16.4744824 49.751717, 16.4744789 49.7518433, 16.474534 49.7523858)",,,
130544805,2,Bezručova,tertiary,50,False,False,48.099,"LINESTRING (16.4753135 49.7583277, 16.475088 49.758735)",,,
130544805,2,Bezručova,tertiary,50,False,True,34.233999999999995,"LINESTRING (16.4753135 49.7583277, 16.475349 49.758077, 16.4753397 49.7580212)",,,
36865931,,Vrchlického,residential,,False,True,167.99,"LINESTRING (16.4744174 49.7568227, 16.4739243 49.7582995)",,,
244136909,2,Školní,tertiary,50,False,False,68.665,"LINESTRING (16.4744174 49.7568227, 16.4748985 49.7573563)",,,
244136909,2,Školní,tertiary,50,False,True,49.172,"LINESTRING (16.4744174 49.7568227, 16.4740933 49.7564332)",,,
37201135,2,Máchova alej,primary,50,False,False,96.476,"LINESTRING (16.4698775 49.7549507, 16.4700397 49.7549063, 16.4706927 49.7547177, 16.4709995 49.7546348, 16.4711123 49.7546104)",34,,
1054784074,,Máchova alej,primary,50,True,False,42.717999999999996,"LINESTRING (16.4698775 49.7549507, 16.4696935 49.755024, 16.4694798 49.7550833, 16.4693485 49.7551244)",34,,
36865901,,Edvarda Beneše,residential,,False,False,97.463,"LINESTRING (16.4661756 49.7552255, 16.4661407 49.7552017, 16.4659954 49.7551128, 16.4658546 49.7549996, 16.4657413 49.7548734, 16.4656935 49.7547772, 16.4656764 49.754679, 16.4656738 49.7545903, 16.4656845 49.7545062, 16.4656909 49.754456)",,,
412083419,3,Hradební,primary,50,False,True,134.596,"LINESTRING (16.4661756 49.7552255, 16.4662684 49.7551693, 16.4663836 49.7551088, 16.4664955 49.755061, 16.466637 49.7550081, 16.4667583 49.7549712, 16.4668749 49.7549426, 16.4670072 49.7549174, 16.4670849 49.7549047, 16.4671847 49.7548923, 16.4672937 49.7548842, 16.4674328 49.7548841, 16.4675822 49.7548892, 16.4677557 49.7549017, 16.4679024 49.7549177)",34,,
508635079,,T. G. Masaryka,primary,50,False,False,121.398,"LINESTRING (16.4661756 49.7552255, 16.4660954 49.7552845, 16.4660304 49.7553378, 16.4659801 49.75538, 16.4659319 49.7554283, 16.465878 49.7554878, 16.4658385 49.7555396, 16.4657969 49.7555998, 16.4657305 49.7557022, 16.465427 49.7561957)",34,,
