osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,width
76639589,2,Okružní,residential,False,True,14.361,"LINESTRING (12.1838084 50.2191387, 12.1839919 50.2190849)",,,,
1119338229,2,Okružní,residential,False,False,78.271,"LINESTRING (12.1838084 50.2191387, 12.1837095 50.2191658, 12.1836019 50.2191924, 12.1834832 50.2192139, 12.1833196 50.2192268, 12.1831147 50.21926, 12.1829179 50.219304, 12.1827654 50.2193508)",,,,
31977824,2,Hlavní,secondary,False,False,47.098,"LINESTRING (12.1947768 50.2178837, 12.19467 50.2179859, 12.1945616 50.2180754, 12.1943746 50.2182196)",217,50,,
32779473,,U Sadu,residential,True,False,170.65300000000002,"LINESTRING (12.1947768 50.2178837, 12.1946649 50.2178402, 12.1941349 50.2176307, 12.1932171 50.2173184, 12.1926829 50.2171366)",,,,
5054759,,Hlavní,secondary,True,False,17.706,"LINESTRING (12.1898782 50.2206818, 12.1898368 50.2206994, 12.1897893 50.2207089, 12.1897395 50.2207097, 12.1896914 50.2207015, 12.1896487 50.2206851)",217,,roundabout,
"[1051043235, 1051043236]",,Rybniční,residential,False,False,28.630999999999997,"LINESTRING (12.1898782 50.2206818, 12.190006 50.2207786, 12.190111 50.2208485, 12.1901476 50.2208729)",,,,
"[5054760, 1060492373]",2,Hlavní,secondary,False,False,71.418,"LINESTRING (12.1896487 50.2206851, 12.1895495 50.2207888, 12.1894816 50.2208545, 12.1893394 50.2209675, 12.1892479 50.2210373, 12.1891159 50.2211168, 12.1890065 50.221173)",217,50,,
"[1232787332, 1232787333]",,Hlavní,secondary,True,False,19.936999999999998,"LINESTRING (12.1896487 50.2206851, 12.1896113 50.2206584, 12.1895887 50.2206256, 12.1895833 50.2205899, 12.1895956 50.2205549, 12.1896243 50.2205241)",217,,roundabout,
"[24483720, 1183488018]",,Masarykovo nám.,residential,False,False,33.263999999999996,"LINESTRING (12.1896243 50.2205241, 12.1894961 50.2204668, 12.1894724 50.2204562, 12.1892411 50.2203527)",,,,
1232787332,,Hlavní,secondary,True,False,23.504,"LINESTRING (12.1896243 50.2205241, 12.1896637 50.2205018, 12.1897117 50.2204878, 12.189764 50.2204835, 12.1898159 50.2204892, 12.189863 50.2205044, 12.1899117 50.2205337)",217,,roundabout,
