osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,access,bridge,tunnel
387802033,284,Lomnická,secondary,50,False,False,35.681,"LINESTRING (15.510856 50.497592, 15.5111587 50.4973353)",,,,,
223687750,,,residential,,False,True,30.148000000000003,"LINESTRING (15.510856 50.497592, 15.5110048 50.4977166, 15.5109972 50.4977513, 15.511078 50.4978121)",,,,,
387802033,284,Lomnická,secondary,50,False,True,54.42100000000001,"LINESTRING (15.510856 50.497592, 15.510584 50.497871, 15.5104707 50.4980151)",,,,,
171490651,16;284,Krkonošská,primary,50,False,True,22.253999999999998,"LINESTRING (15.5207274 50.4932094, 15.5207333 50.4931044, 15.5207046 50.4930111)",2,,,,
282598568,16;284,Krkonošská,primary,50,True,False,23.981,"LINESTRING (15.5207274 50.4932094, 15.520769 50.4932122, 15.5207997 50.49322, 15.5208257 50.4932329, 15.5208451 50.4932499, 15.5208561 50.4932697, 15.5208579 50.4932907, 15.5208504 50.4933111, 15.5208342 50.4933294, 15.5208106 50.4933441, 15.5207814 50.493354)",,roundabout,,,
165039624,284,Opolského,secondary,50,False,False,41.347,"LINESTRING (15.5132255 50.49654, 15.5137382 50.4967186)",,,,,
28511859,,Staropacká,residential,50,False,True,104.348,"LINESTRING (15.5132255 50.49654, 15.5131489 50.4966623, 15.5129693 50.496825, 15.5126382 50.4969825, 15.5122653 50.4971047, 15.5121572 50.4971418)",,,,,
29120780,,Stanislava Suchardy,residential,50,True,False,101.79599999999999,"LINESTRING (15.5132255 50.49654, 15.5133585 50.4964271, 15.513577 50.4962125, 15.5136341 50.4960461, 15.5139827 50.4957774)",,,,,
387802033,284,Lomnická,secondary,50,False,True,54.899,"LINESTRING (15.5132255 50.49654, 15.5131627 50.4965341, 15.513044 50.4965555, 15.5130021 50.4965671, 15.512862 50.496606, 15.5125016 50.496702)",,,,,
164920456,,K. Štiky,residential,,False,False,74.39,"LINESTRING (15.5207738 50.4916713, 15.520894 50.4917041, 15.5211375 50.4917721, 15.5211749 50.4917825, 15.5214295 50.4918536, 15.5217372 50.4919395)",,,yes,,
171490654,16;284,Legií,primary,30,False,True,59.569,"LINESTRING (15.5207738 50.4916713, 15.520777 50.491598, 15.520783 50.491287, 15.520772 50.4911358)",2,,,,
208073405,16;284,Legií,primary,30,False,False,100.159,"LINESTRING (15.5207738 50.4916713, 15.5207317 50.491794, 15.5205336 50.4921079, 15.5204098 50.4922954, 15.5203524 50.4924086, 15.520337 50.4924665, 15.5203412 50.4925223)",2,,,,
387802033,284,Lomnická,secondary,50,False,True,35.681,"LINESTRING (15.5111587 50.4973353, 15.510856 50.497592)",,,,,
"[387802032, 387802031]",,Lomená,residential,50,False,True,144.88299999999998,"LINESTRING (15.5111587 50.4973353, 15.510741 50.4971299, 15.5098836 50.497723, 15.5100676 50.4978341)",,,,,
