osmid,name,highway,maxspeed,oneway,reversed,length,ref,bridge,geometry
154854038,Masarykova,tertiary,50,False,True,56.346,,,"LINESTRING (13.9940514 50.4765373, 13.9932829 50.4764047)"
"[154854137, 185904339, 185904341]",Tyršova,secondary,50,False,False,293.0,237,yes,"LINESTRING (13.9940514 50.4765373, 13.9944159 50.4766921, 13.9945271 50.4767448, 13.9945599 50.4767607, 13.9946171 50.4768062, 13.9947686 50.4769267, 13.9948619 50.4770295, 13.9949419 50.4771177, 13.9954693 50.4779344, 13.995502 50.477985, 13.9961025 50.4787675)"
61892613,Dlažkovická,tertiary,50,False,False,61.333,23756,,"LINESTRING (13.987361 50.4774606, 13.9870598 50.4769434)"
424888806,Havlíčkovo nám.,tertiary,50,False,True,18.541,23756,,"LINESTRING (13.987361 50.4774606, 13.9871142 50.4775166)"
"[267011561, 28153878]","['Masarykova', 'Havlíčkovo nám.']",tertiary,50,False,False,222.738,,,"LINESTRING (13.987361 50.4774606, 13.9877819 50.4773841, 13.9881832 50.477289, 13.9889372 50.4770196, 13.989677 50.4766577, 13.9900732 50.4764809)"
154854038,Masarykova,tertiary,50,False,False,56.346,,,"LINESTRING (13.9932829 50.4764047, 13.9940514 50.4765373)"
154854038,Masarykova,tertiary,50,False,True,77.999,,,"LINESTRING (13.9932829 50.4764047, 13.9924917 50.4763545, 13.9921964 50.4763008)"
267011592,Žlábkova,residential,50,False,True,208.781,,,"LINESTRING (13.9932829 50.4764047, 13.9932656 50.4761943, 13.9930557 50.4757228, 13.9926976 50.4752566, 13.9925106 50.4751188, 13.992338 50.4750091, 13.9920636 50.4748685, 13.9919189 50.4748399)"
61892613,Dlažkovická,tertiary,50,False,True,61.333,23756,,"LINESTRING (13.9870598 50.4769434, 13.987361 50.4774606)"
61892613,Dlažkovická,tertiary,50,False,False,147.305,23756,,"LINESTRING (13.9870598 50.4769434, 13.9867236 50.4764184, 13.9865824 50.4762735, 13.9862896 50.4760915, 13.9858328 50.4759421)"
"[267011588, 43305030]",Žlábkova,residential,50,False,"[False, True]",118.92200000000001,,,"LINESTRING (13.9870598 50.4769434, 13.9875685 50.4767821, 13.9879167 50.4766834, 13.9880965 50.4766225, 13.9882065 50.4765365, 13.9882699 50.4763779, 13.9882279 50.476323)"
185904341,Tyršova,secondary,50,False,True,143.061,237,,"LINESTRING (13.9971038 50.4798827, 13.9968536 50.4796649, 13.9965199 50.4792739, 13.9964209 50.4791579, 13.9963332 50.4790504, 13.9961025 50.4787675)"
39353592,Sv. Čecha,residential,50,False,False,97.509,,,"LINESTRING (13.9961025 50.4787675, 13.9954659 50.4789294, 13.9948233 50.4790936)"
185904341,Tyršova,secondary,50,False,False,143.061,237,,"LINESTRING (13.9961025 50.4787675, 13.9963332 50.4790504, 13.9964209 50.4791579, 13.9965199 50.4792739, 13.9968536 50.4796649, 13.9971038 50.4798827)"
"[154854137, 185904339, 185904341]",Tyršova,secondary,50,False,True,293.00000000000006,237,yes,"LINESTRING (13.9961025 50.4787675, 13.995502 50.477985, 13.9954693 50.4779344, 13.9949419 50.4771177, 13.9948619 50.4770295, 13.9947686 50.4769267, 13.9946171 50.4768062, 13.9945599 50.4767607, 13.9945271 50.4767448, 13.9944159 50.4766921, 13.9940514 50.4765373)"
39353592,Sv. Čecha,residential,50,False,True,216.091,,,"LINESTRING (13.9919364 50.4797274, 13.9948233 50.4790936)"
39353596,Bezručova,residential,50,False,False,77.406,,,"LINESTRING (13.9919364 50.4797274, 13.9915757 50.4790702)"
39353592,Sv. Čecha,residential,50,False,False,442.925,,,"LINESTRING (13.9919364 50.4797274, 13.9898995 50.4800107, 13.9886471 50.4801574, 13.9878443 50.4802515, 13.985781 50.4804422)"
39353592,Sv. Čecha,residential,50,False,True,442.925,,,"LINESTRING (13.985781 50.4804422, 13.9878443 50.4802515, 13.9886471 50.4801574, 13.9898995 50.4800107, 13.9919364 50.4797274)"
"[82083192, 949029757, 82083191]",Zimmerova,residential,50,False,False,211.44400000000002,,yes,"LINESTRING (13.985781 50.4804422, 13.9857808 50.4801205, 13.9858031 50.4800051, 13.9858665 50.4798744, 13.9860361 50.4796655, 13.9865768 50.4789597, 13.9867215 50.4786674)"
82083192,Zimmerova,residential,50,False,False,98.13799999999999,,,"LINESTRING (13.9867215 50.4786674, 13.9869066 50.4780072, 13.9870104 50.4778058)"
"[82083192, 949029757, 82083191]",Zimmerova,residential,50,False,True,211.44400000000002,,yes,"LINESTRING (13.9867215 50.4786674, 13.9865768 50.4789597, 13.9860361 50.4796655, 13.9858665 50.4798744, 13.9858031 50.4800051, 13.9857808 50.4801205, 13.985781 50.4804422)"
267011583,Zimmerova,residential,50,False,True,72.094,,,"LINESTRING (13.9867215 50.4786674, 13.9858754 50.4787435, 13.9857322 50.4787948)"
424888806,Havlíčkovo nám.,tertiary,50,False,False,18.541,23756,,"LINESTRING (13.9871142 50.4775166, 13.987361 50.4774606)"
267011554,Havlíčkovo nám.,residential,50,False,True,33.446,,,"LINESTRING (13.9871142 50.4775166, 13.9871159 50.4776169, 13.9870104 50.4778058)"
566598311,Sokolská,residential,50,False,False,87.586,,,"LINESTRING (13.9906063 50.4776464, 13.991589 50.4771675)"
566598311,Sokolská,residential,50,False,True,7.621,,,"LINESTRING (13.9906063 50.4776464, 13.9905236 50.4776903)"
"[971429480, 39353596, 971429479]",Bezručova,residential,50,False,True,111.004,,yes,"LINESTRING (13.9906063 50.4776464, 13.9910579 50.4781956, 13.9911735 50.4783411, 13.9912104 50.4784011, 13.991257 50.4784819, 13.9912918 50.4785429)"
