osmid,name,highway,oneway,reversed,length,geometry,bridge,access,lanes,maxspeed,ref
26826772,Horská,residential,False,False,185.588,"LINESTRING (14.3168467 48.8084638, 14.3168477 48.8084365, 14.3168469 48.808372, 14.3168066 48.8082831, 14.3167322 48.8081883, 14.3166696 48.8081435, 14.3165935 48.8081146, 14.316461 48.8081047, 14.3157803 48.8080537, 14.3155166 48.8080692, 14.3151217 48.8080414, 14.3150371 48.8080289, 14.3146962 48.8079956)",,,,,
32245529,Linecká,residential,False,False,58.476,"LINESTRING (14.3168467 48.8084638, 14.3168932 48.808436, 14.317055 48.80836, 14.3172824 48.8082952, 14.317558 48.8082375)",,,,,
"[32245529, 60845730]",Linecká,residential,False,"[False, True]",83.723,"LINESTRING (14.3168467 48.8084638, 14.3167879 48.8085023, 14.3167463 48.8085284, 14.3166984 48.8085585, 14.3165386 48.808621, 14.3165484 48.8086431, 14.316617 48.8087872, 14.3166318 48.8089122, 14.3166613 48.8091063)",,,,,
"[32245529, 584484746, 584484747, 22779143]",Linecká,residential,False,False,221.814,"LINESTRING (14.317558 48.8082375, 14.3177867 48.8082027, 14.3178879 48.8081747, 14.3179687 48.8081405, 14.3180133 48.8081069, 14.318039 48.8080706, 14.3180587 48.8080209, 14.318061 48.807972, 14.3180517 48.8078796, 14.3180063 48.807736, 14.3179733 48.80761, 14.3178464 48.8072688, 14.3178 48.8071375, 14.3175746 48.8065831, 14.3175526 48.8065435, 14.3175115 48.806501)",yes,,,,
32245529,Linecká,residential,False,True,58.476,"LINESTRING (14.317558 48.8082375, 14.3172824 48.8082952, 14.317055 48.80836, 14.3168932 48.808436, 14.3168467 48.8084638)",,,,,
60849586,Za Soudem,residential,False,False,71.236,"LINESTRING (14.317558 48.8082375, 14.3175516 48.8082053, 14.3174743 48.8079568, 14.3174404 48.807844, 14.3174322 48.807822, 14.3173614 48.8076436, 14.3173415 48.8076139)",,,,,
"[32070736, 32070737, 39146182]","['Po Vodě', 'Dolní náměstíčko', 'Rooseveltova']",residential,False,False,442.871,"LINESTRING (14.3175115 48.806501, 14.3176821 48.8065129, 14.317873 48.8065353, 14.3181112 48.8065677, 14.3182133 48.8065864, 14.3184144 48.8066337, 14.3185993 48.8066959, 14.3189982 48.8068768, 14.3191159 48.8069481, 14.3195141 48.8071844, 14.3198744 48.8074339, 14.3199908 48.8075386, 14.3201447 48.8077411, 14.3201747 48.8078706, 14.3202505 48.8080041, 14.3203512 48.808052, 14.3204317 48.8080904, 14.3204819 48.8081591, 14.320488 48.8082137, 14.3204738 48.8082699, 14.3204275 48.8084203, 14.3203174 48.8086714, 14.3202366 48.8088486, 14.3200011 48.8091774, 14.319929 48.809356)",,"['no', 'destination']",,,
"[32245529, 584484746, 584484747, 22779143]",Linecká,residential,False,True,221.814,"LINESTRING (14.3175115 48.806501, 14.3175526 48.8065435, 14.3175746 48.8065831, 14.3178 48.8071375, 14.3178464 48.8072688, 14.3179733 48.80761, 14.3180063 48.807736, 14.3180517 48.8078796, 14.318061 48.807972, 14.3180587 48.8080209, 14.318039 48.8080706, 14.3180133 48.8081069, 14.3179687 48.8081405, 14.3178879 48.8081747, 14.3177867 48.8082027, 14.317558 48.8082375)",yes,,,,
747790434,Tavírna,residential,False,False,187.88199999999998,"LINESTRING (14.3175115 48.806501, 14.3172086 48.8064727, 14.3169761 48.8064556, 14.3165761 48.8064336, 14.3159708 48.8063968, 14.3155169 48.8063437, 14.314971 48.8062765)",,,2,30,
22779139,5. května,secondary,False,True,161.154,"LINESTRING (14.3130805 48.8033946, 14.3129749 48.8035424, 14.3123557 48.8043835, 14.312145 48.8047061)",,,2,50,160
26826775,Pod Kaštany,residential,False,False,21.0,"LINESTRING (14.3130805 48.8033946, 14.3129741 48.8033426, 14.312904 48.8033029, 14.3128571 48.8032764)",,,,,
"[598180672, 747414226]",5. května,secondary,False,False,177.88099999999997,"LINESTRING (14.3130805 48.8033946, 14.3133192 48.8031349, 14.3133421 48.8031153, 14.3134187 48.8030497, 14.3135838 48.8029217, 14.3138379 48.8027099, 14.3138991 48.8026558, 14.3142214 48.8023799, 14.3143477 48.8022504, 14.3144809 48.8020918)",,,2,40,160
26826199,Na Kovárně,residential,False,False,69.8,"LINESTRING (14.3146359 48.8051677, 14.3152803 48.8047052)",,,,,
26826551,Slepá,residential,False,True,43.355,"LINESTRING (14.3146359 48.8051677, 14.3141677 48.8049291)",,,,,
26826199,Na Kovárně,residential,False,True,80.76,"LINESTRING (14.3146359 48.8051677, 14.3144576 48.8053338, 14.3141458 48.8056244, 14.3140007 48.8057614)",,,,,
26826199,Na Kovárně,residential,False,False,59.442,"LINESTRING (14.3152803 48.8047052, 14.3158836 48.8043476)",,,,,
26826199,Na Kovárně,residential,False,True,69.8,"LINESTRING (14.3152803 48.8047052, 14.3146359 48.8051677)",,,,,
26826550,Papírenská,residential,False,True,59.947,"LINESTRING (14.3152803 48.8047052, 14.314618 48.8043884)",,,,,
26826550,Papírenská,residential,False,False,132.34300000000002,"LINESTRING (14.3152803 48.8047052, 14.315901 48.8049963, 14.3167398 48.8054069)",,,,,
26826199,Na Kovárně,residential,False,True,41.648,"LINESTRING (14.3173269 48.8037695, 14.3168133 48.8039303)",,,,,
26826199,Na Kovárně,residential,False,False,68.506,"LINESTRING (14.3173269 48.8037695, 14.3178004 48.8036299, 14.3178779 48.8036206, 14.3182103 48.8035808)",,,,,
26826557,Krátká,residential,False,False,147.196,"LINESTRING (14.3173269 48.8037695, 14.3169458 48.80343, 14.3165784 48.8030568, 14.3161303 48.8027082)",,,,,
26826199,Na Kovárně,residential,False,True,68.506,"LINESTRING (14.3182103 48.8035808, 14.3178779 48.8036206, 14.3178004 48.8036299, 14.3173269 48.8037695)",,,,,
33623958,Pod Horou,residential,False,True,34.7,"LINESTRING (14.3182103 48.8035808, 14.3183164 48.8036142, 14.3185666 48.8037812)",,,,,
766215585,Rožmberská,tertiary,False,False,130.63799999999998,"LINESTRING (14.3182103 48.8035808, 14.3182631 48.8039117, 14.3183081 48.8041942, 14.3183895 48.8047497)",,,,50,1571
