osmid,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed
4491543,tertiary,False,True,116.225,,"LINESTRING (17.0765635 49.8804062, 17.0781047 49.8800803)",,
4491544,tertiary,False,False,53.367,31545,"LINESTRING (17.0765635 49.8804062, 17.0758201 49.8804356)",,
4491543,tertiary,False,False,138.079,,"LINESTRING (17.0808452 49.8794994, 17.0802574 49.8796238, 17.0790179 49.8798937)",,
4491543,tertiary,False,True,70.895,,"LINESTRING (17.0808452 49.8794994, 17.080993 49.8794351, 17.0813693 49.8789721)",,
44148988,residential,False,True,77.821,,"LINESTRING (17.0808452 49.8794994, 17.0802654 49.8793092, 17.0798872 49.8791701)",,
44148980,residential,False,False,13.902,,"LINESTRING (17.0831005 49.8764867, 17.0831522 49.8763662)",,
375680144,secondary,False,False,49.703,446,"LINESTRING (17.0831005 49.8764867, 17.0829966 49.8765122, 17.0829181 49.8765722, 17.0828719 49.8766608, 17.0828189 49.8768613)",,
742412081,secondary,False,True,21.853,446,"LINESTRING (17.0831005 49.8764867, 17.0831488 49.8764823, 17.0832527 49.876497, 17.0833915 49.8765333)",,
4491544,tertiary,False,True,53.367,31545,"LINESTRING (17.0758201 49.8804356, 17.0765635 49.8804062)",,
44148996,residential,False,False,67.553,,"LINESTRING (17.0758201 49.8804356, 17.0758232 49.8803625, 17.0758458 49.8798283)",,
375680144,secondary,False,True,30.33,446,"LINESTRING (17.0813693 49.8789721, 17.0815368 49.8787216)",,
4491540,secondary,False,False,213.339,446,"LINESTRING (17.0813693 49.8789721, 17.0817097 49.8794318, 17.081742 49.8795322, 17.0817608 49.8796774, 17.0817165 49.8798822, 17.0816648 49.8802267, 17.0814876 49.880824)",,
4491543,tertiary,False,False,70.895,,"LINESTRING (17.0813693 49.8789721, 17.080993 49.8794351, 17.0808452 49.8794994)",,
287662977,residential,False,False,172.118,,"LINESTRING (17.0847139 49.8768272, 17.0848064 49.8769145, 17.0845248 49.8777761, 17.0845006 49.8778643, 17.0844459 49.8780406, 17.0843464 49.8783258)",,
703794378,secondary,False,True,157.146,446,"LINESTRING (17.0847139 49.8768272, 17.0847816 49.8767749, 17.0848558 49.8766848, 17.0854354 49.8754991)",,
742412081,secondary,False,False,102.49,446,"LINESTRING (17.0847139 49.8768272, 17.0845953 49.8768502, 17.084447 49.8768388, 17.0833915 49.8765333)",,
44148980,residential,False,False,10.284,,"LINESTRING (17.0835158 49.8750955, 17.083527 49.8750033)",,
44148980,residential,False,True,122.145,,"LINESTRING (17.0835158 49.8750955, 17.0836785 49.8754305, 17.0836316 49.8757736, 17.0835122 49.8760079, 17.0834385 49.8760787, 17.0833325 49.8760986)",,
