osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,bridge,access,tunnel
682368882,2,04816,K Nemocnici,tertiary,50,False,False,45.749,"LINESTRING (18.0098058 49.5906524, 18.0098781 49.5907003, 18.0101666 49.5908656, 18.0102864 49.59092)",,,,,
"[223028795, 432415295, 223647159]",2,04816,K Nemocnici,tertiary,50,False,False,139.019,"LINESTRING (18.0112976 49.59131, 18.0113465 49.5913358, 18.0113855 49.5913616, 18.011436 49.5914023, 18.0114676 49.5914373, 18.0114993 49.5914754, 18.0118601 49.5919344, 18.0118876 49.5919772, 18.0119024 49.5920073, 18.0119131 49.5920355, 18.0119223 49.5920687, 18.0119244 49.5921001, 18.0119106 49.5921802, 18.0118646 49.5924478)",,,,,
682368882,2,04816,K Nemocnici,tertiary,50,False,True,84.813,"LINESTRING (18.0112976 49.59131, 18.0109575 49.5911788, 18.0102864 49.59092)",,,,,
228264053,,,Karla Kryla,residential,50,False,True,46.907,"LINESTRING (18.0118646 49.5924478, 18.0120167 49.5924584, 18.0125099 49.5925022)",,,,,
"[223647159, 223028795, 432415295]",2,04816,K Nemocnici,tertiary,50,False,True,139.01899999999998,"LINESTRING (18.0118646 49.5924478, 18.0119106 49.5921802, 18.0119244 49.5921001, 18.0119223 49.5920687, 18.0119131 49.5920355, 18.0119024 49.5920073, 18.0118876 49.5919772, 18.0118601 49.5919344, 18.0114993 49.5914754, 18.0114676 49.5914373, 18.011436 49.5914023, 18.0113855 49.5913616, 18.0113465 49.5913358, 18.0112976 49.59131)",,,,,
"[228264049, 682368866]",2,04816,K Nemocnici,tertiary,50,False,False,97.66,"LINESTRING (18.0118646 49.5924478, 18.0118068 49.5927656, 18.0117247 49.5932168, 18.0117202 49.5933207)",,,,,
9623560,1,57,,primary,50,True,False,10.878,"LINESTRING (18.0137033 49.5929326, 18.0137122 49.5929174, 18.0137249 49.5929033, 18.0137409 49.5928907, 18.0137598 49.59288, 18.0137812 49.5928714, 18.0138045 49.5928652)",5,roundabout,,,
"[24030349, 692272558]",,,Karla Kryla,residential,50,False,False,99.18700000000001,"LINESTRING (18.0137033 49.5929326, 18.0135152 49.5928782, 18.0133262 49.592806, 18.0131828 49.5927396, 18.0128129 49.5925739, 18.0127136 49.5925384, 18.0126158 49.5925174, 18.0125099 49.5925022)",,,,,
9623560,1,57,,primary,50,True,False,7.709,"LINESTRING (18.0137101 49.5930005, 18.0137016 49.5929841, 18.0136976 49.5929669, 18.0136981 49.5929496, 18.0137033 49.5929326)",5,roundabout,,,
223028804,,,Máchova,residential,50,False,True,65.73599999999999,"LINESTRING (18.0139755 49.5930199, 18.0141187 49.5931015, 18.0141981 49.5931442, 18.0145491 49.593235, 18.0147725 49.5932923)",,,,,
682368886,1,57,,primary,50,True,False,7.772,"LINESTRING (18.0139755 49.5930199, 18.0139615 49.5930305, 18.0139453 49.5930398, 18.0139273 49.5930475, 18.0139079 49.5930535, 18.0138873 49.5930577)",5,roundabout,,,
158250535,1,57,,primary,50,True,False,9.817,"LINESTRING (18.0137582 49.5943362, 18.0137433 49.5943561, 18.0137238 49.5943741, 18.0137 49.59439, 18.0136727 49.5944031)",5.5,roundabout,,,
223647156,2,4832,Bezručova,tertiary,50,False,True,255.621,"LINESTRING (18.0137582 49.5943362, 18.0140587 49.5944337, 18.0145709 49.5945957, 18.0151273 49.5947716, 18.015188 49.5947908, 18.015562 49.5948903, 18.0157609 49.5949432, 18.0158947 49.5949788, 18.0162802 49.5950538, 18.0168758 49.5951696, 18.0170345 49.5952007)",,,,,
158250534,1,57,,primary,50,True,False,12.348,"LINESTRING (18.0118137 49.5968825, 18.0118018 49.5969033, 18.0117851 49.5969227, 18.0117641 49.5969403, 18.0117393 49.5969556, 18.0117112 49.5969683)",5.5,roundabout,,,
"[587759824, 36845242, 699042256]",,,Msgr. Šrámka,residential,"['50', '30']",False,False,240.686,"LINESTRING (18.0118137 49.5968825, 18.0119512 49.5969051, 18.0123888 49.597004, 18.0127859 49.597158, 18.0128686 49.5971901, 18.0131798 49.5973107, 18.0145241 49.597832, 18.0145525 49.597843, 18.0147344 49.5979147)",,,,,
32964990,1,,K. Schwarze,residential,50,True,False,40.999,"LINESTRING (18.0090228 49.5984162, 18.0088123 49.5984965, 18.0085942 49.5985452, 18.0085127 49.5985755)",,,,,
459054587,3,,Palackého,residential,50,False,False,32.245999999999995,"LINESTRING (18.0090228 49.5984162, 18.0088873 49.5984339, 18.0087272 49.598444, 18.0086188 49.5984444, 18.008579 49.5984423)",,,,,
"[528679665, 587759835, 459054588, 682600646]","['2', '3']",,Palackého,residential,50,False,True,151.27,"LINESTRING (18.0090228 49.5984162, 18.0091869 49.5983813, 18.0093857 49.598339, 18.0099339 49.5982259, 18.0101758 49.5981799, 18.0104162 49.5981456, 18.0106427 49.5981232, 18.010889 49.5981063, 18.0110547 49.598095)",,,,,
142273514,1,,U Grasmanky,residential,50,True,False,34.46,"LINESTRING (18.008579 49.5984423, 18.0084818 49.5984057, 18.0084165 49.598356, 18.0083413 49.5981913)",,,,,
223647161,3,,Palackého,residential,50,False,False,36.427,"LINESTRING (18.008579 49.5984423, 18.0084087 49.5984225, 18.0082449 49.5983958, 18.0080936 49.5983556)",9,,,,
459054587,3,,Palackého,residential,50,False,True,32.245999999999995,"LINESTRING (18.008579 49.5984423, 18.0086188 49.5984444, 18.0087272 49.598444, 18.0088873 49.5984339, 18.0090228 49.5984162)",,,,,
32964989,,,Dolní brána,residential,50,False,False,119.035,"LINESTRING (18.0075999 49.5980709, 18.0074221 49.5981383, 18.0073786 49.5981504, 18.0072963 49.5981733, 18.0071782 49.5982162, 18.0070908 49.598266, 18.0070309 49.5983222, 18.0068943 49.5984884, 18.0065327 49.5988471)",,,,,
"[428960241, 428960242]",3,,Palackého,residential,50,False,True,48.18600000000001,"LINESTRING (18.0075999 49.5980709, 18.0076783 49.5981418, 18.007726 49.598178, 18.0077816 49.5982151, 18.0078468 49.598253, 18.0080936 49.5983556)",9,,yes,,
459054584,3,,Palackého,residential,50,False,False,55.167,"LINESTRING (18.0075999 49.5980709, 18.007492 49.5979471, 18.0073019 49.5976153)",,,,,
459054584,3,,Palackého,residential,50,False,True,55.167,"LINESTRING (18.0073019 49.5976153, 18.007492 49.5979471, 18.0075999 49.5980709)",,,,,
699963526,2,,Palackého,residential,50,False,False,31.288000000000004,"LINESTRING (18.0073019 49.5976153, 18.0072242 49.5974798, 18.0071543 49.5973507)",,,,,
36845266,,,Vančurova,residential,50,False,True,45.074999999999996,"LINESTRING (18.0071543 49.5973507, 18.0070285 49.5973704, 18.0065464 49.597446)",,,,,
228264061,2,,Palackého,residential,50,False,False,114.63500000000002,"LINESTRING (18.0071543 49.5973507, 18.0067027 49.5966114, 18.0066008 49.5964714, 18.0065476 49.5963981)",,,,,
699963526,2,,Palackého,residential,50,False,True,31.288000000000004,"LINESTRING (18.0071543 49.5973507, 18.0072242 49.5974798, 18.0073019 49.5976153)",,,,,
"[36845267, 691261948]",,,Gregorova,residential,50,False,False,151.023,"LINESTRING (18.0065476 49.5963981, 18.0064833 49.5964221, 18.0062984 49.5964909, 18.0058393 49.5966188, 18.005723 49.5966329, 18.0056071 49.5966249, 18.0053695 49.5965751, 18.0045858 49.5964107)",,,,,
228264061,2,,Palackého,residential,50,False,True,114.635,"LINESTRING (18.0065476 49.5963981, 18.0066008 49.5964714, 18.0067027 49.5966114, 18.0071543 49.5973507)",,,,,
587759832,2,,Palackého,residential,50,False,False,104.34700000000001,"LINESTRING (18.0065476 49.5963981, 18.0064132 49.596272, 18.0057591 49.5957953, 18.0056065 49.5956863)",,,,,
"[682368883, 208047374, 208047367]",,,Tyršova,residential,50,False,False,130.11499999999998,"LINESTRING (18.0056065 49.5956863, 18.0057786 49.5956006, 18.0058793 49.5955509, 18.006001 49.595496, 18.0069285 49.5950669, 18.0070491 49.5949857)",,,yes,,
587759832,2,,Palackého,residential,50,False,True,104.34700000000001,"LINESTRING (18.0056065 49.5956863, 18.0057591 49.5957953, 18.0064132 49.596272, 18.0065476 49.5963981)",,,,,
"[432415299, 699963525]",,,Palackého,residential,50,False,False,218.18599999999995,"LINESTRING (18.0056065 49.5956863, 18.0054393 49.5955498, 18.0052739 49.5953752, 18.0050679 49.595138, 18.0047535 49.5947762, 18.0046595 49.5946843, 18.004475 49.5945332, 18.0042846 49.5943852, 18.0040885 49.5942503, 18.0039594 49.594171, 18.0038427 49.5941067)",,,,,
"[36845296, 142682166, 142682167]",,,Jiráskova,residential,50,False,False,75.298,"LINESTRING (18.0038427 49.5941067, 18.0039271 49.5940243, 18.0040854 49.5938698, 18.0041469 49.59381, 18.0044275 49.5935456)",,,yes,,
"[432415299, 699963525]",,,Palackého,residential,50,False,True,218.186,"LINESTRING (18.0038427 49.5941067, 18.0039594 49.594171, 18.0040885 49.5942503, 18.0042846 49.5943852, 18.004475 49.5945332, 18.0046595 49.5946843, 18.0047535 49.5947762, 18.0050679 49.595138, 18.0052739 49.5953752, 18.0054393 49.5955498, 18.0056065 49.5956863)",,,,,
32964989,,,Dolní brána,residential,50,False,True,119.03500000000001,"LINESTRING (18.0065327 49.5988471, 18.0068943 49.5984884, 18.0070309 49.5983222, 18.0070908 49.598266, 18.0071782 49.5982162, 18.0072963 49.5981733, 18.0073786 49.5981504, 18.0074221 49.5981383, 18.0075999 49.5980709)",,,,,
"[428960240, 228264050, 428960239]",,,K. Schwarze,residential,50,False,True,24.393,"LINESTRING (18.0065327 49.5988471, 18.0065645 49.5989117, 18.0066071 49.5989934, 18.0065986 49.599036, 18.0065794 49.5990546)",,,yes,,
"[24030349, 692272558]",,,Karla Kryla,residential,50,False,True,99.187,"LINESTRING (18.0125099 49.5925022, 18.0126158 49.5925174, 18.0127136 49.5925384, 18.0128129 49.5925739, 18.0131828 49.5927396, 18.0133262 49.592806, 18.0135152 49.5928782, 18.0137033 49.5929326)",,,,,
228264053,,,Karla Kryla,residential,50,False,False,46.907,"LINESTRING (18.0125099 49.5925022, 18.0120167 49.5924584, 18.0118646 49.5924478)",,,,,
"[228264059, 228264074, 143482043]",,,"['Nerudova', 'Revoluční']",residential,50,False,True,326.68199999999996,"LINESTRING (18.0125099 49.5925022, 18.0125801 49.592397, 18.0126469 49.5923331, 18.0127694 49.5922159, 18.0128961 49.5920948, 18.0130118 49.5919841, 18.0130278 49.5919725, 18.0133402 49.5917459, 18.0136386 49.5916158, 18.0139552 49.5914777, 18.014361 49.5913008, 18.014801 49.5910679, 18.014779 49.5910108, 18.0147392 49.5909897, 18.0142485 49.5907292, 18.0141651 49.5906849, 18.013845 49.5905183)",,,,,
32964995,,,Zborovská,residential,50,False,True,52.520999999999994,"LINESTRING (18.0161902 49.590533, 18.0158683 49.5906054, 18.015802 49.5906184, 18.0157459 49.590627, 18.015684 49.5906325, 18.0156335 49.5906331, 18.0155953 49.5906305, 18.0155532 49.5906216, 18.0155205 49.5906106, 18.0154963 49.5906009)",,,,,
525719173,,,Dvořákova,residential,50,False,False,135.598,"LINESTRING (18.0169303 49.5926127, 18.0167369 49.5925597, 18.0165611 49.5925131, 18.0163345 49.5924502, 18.0159977 49.5923567, 18.0158801 49.5923241, 18.0158562 49.5923175, 18.0156099 49.5922479, 18.0156902 49.5921237, 18.0157099 49.5920932, 18.0157821 49.5919813)",,,,,
32965000,1,,Nádražní,residential,50,True,False,130.476,"LINESTRING (18.0159464 49.5935964, 18.0160003 49.5935192, 18.0161824 49.5933421, 18.0163515 49.5931776, 18.016362 49.5931674, 18.0168252 49.592717, 18.0169303 49.5926127)",,,,,
223028804,,,Máchova,residential,50,False,False,91.119,"LINESTRING (18.0159464 49.5935964, 18.0156555 49.5935212, 18.0154395 49.5934653, 18.0152338 49.593412, 18.0147725 49.5932923)",,,,,
468824144,,,Máchova,residential,50,False,False,34.762,"LINESTRING (18.0159464 49.5935964, 18.0159352 49.5936452, 18.0159248 49.5936905, 18.0158753 49.5939056)",,,,,
"[32965001, 682368868]",,,Máchova,residential,50,False,True,65.137,"LINESTRING (18.0159464 49.5935964, 18.016552 49.5937531, 18.0167857 49.5938136)",,,,,
