osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,junction,access
5383202,Husova,residential,False,False,52.944,"LINESTRING (15.5746841 49.6094621, 15.5744289 49.6095029, 15.5740069 49.6095703, 15.5739707 49.6095761)",,,,,,
"[30909208, 1184928222]",Husova,residential,False,False,163.221,"LINESTRING (15.5746841 49.6094621, 15.5748691 49.6094303, 15.5749715 49.6094127, 15.5751373 49.6093842, 15.5769336 49.6093956)",3,50,,,,
"[1184928224, 1184928225, 1184928226, 1184928223]",Masarykova,primary,False,True,154.619,"LINESTRING (15.5746841 49.6094621, 15.574508 49.6090536, 15.574395 49.6087967, 15.5742474 49.6084609, 15.5741907 49.6083319, 15.5740994 49.6081242)","['4', '5']",50,19;34,,,
"[1165404336, 51896791, 5383212, 326798391]",,secondary,False,False,148.314,"LINESTRING (15.5773043 49.6028113, 15.577453 49.6028468, 15.5774945 49.6028572, 15.577527 49.6028654, 15.5777645 49.6029253, 15.577802 49.6029366, 15.5788191 49.6032437, 15.579092 49.6032883, 15.5792089 49.6033074)",,50,150,yes,,
"[37853192, 37853193, 10266879]",Masarykova,primary,False,False,461.299,"LINESTRING (15.5773043 49.6028113, 15.5772553 49.6028957, 15.5772121 49.6029624, 15.5770189 49.6032249, 15.5769152 49.6033338, 15.5766605 49.6035644, 15.5765778 49.6036338, 15.5758521 49.6041894, 15.5752147 49.6046781, 15.5749475 49.6048799, 15.5748605 49.6049455, 15.5747036 49.6050833, 15.5743101 49.6054411, 15.5740105 49.6058484, 15.5737983 49.6062388)",4,50,19;34;150,yes,,
1266632145,Humpolecká,primary,False,False,44.475,"LINESTRING (15.5773043 49.6028113, 15.5771539 49.6027807, 15.5771133 49.6027726, 15.5770575 49.6027614, 15.5767072 49.6027116)",2,50,19;34,,,
"[1243986286, 1243986287]",,secondary,True,False,28.431,"LINESTRING (15.5794734 49.6031613, 15.579528 49.6031628, 15.5795831 49.6031716, 15.5796344 49.6031872, 15.57968 49.603209, 15.5797179 49.6032363, 15.5797468 49.6032678, 15.5797656 49.6033024)",,50,150,,roundabout,
"[5383209, 1237856138, 24341838]",,secondary,False,False,88.53099999999999,"LINESTRING (15.579475 49.6035309, 15.5795054 49.6036646, 15.5795198 49.6037386, 15.5795357 49.6037953, 15.5795538 49.603874, 15.5796301 49.6042655, 15.5796407 49.6043197)",2,50,150,yes,,
130694777,,secondary,True,False,35.647,"LINESTRING (15.579475 49.6035309, 15.5794251 49.6035265, 15.5793745 49.6035158, 15.5793253 49.6034981, 15.5792825 49.6034744, 15.5792476 49.6034458, 15.5792221 49.6034132, 15.5792081 49.6033824, 15.5792027 49.6033515, 15.5792089 49.6033074)",,50,150,,roundabout,
4725328,Humpolecká,primary,False,True,80.047,"LINESTRING (15.574852 49.6025959, 15.5759574 49.6026667)",2,50,19;34,,,
301754485,Na Losích,residential,False,False,83.834,"LINESTRING (15.574852 49.6025959, 15.5747827 49.6033485)",,,,,,
"[4725328, 222035615]",Humpolecká,primary,False,False,138.424,"LINESTRING (15.574852 49.6025959, 15.5742819 49.6025843, 15.5732797 49.6027579, 15.5729724 49.6027967)",2,50,19;34,,,
"[5383210, 130694715]",Dolní,residential,False,False,107.24,"LINESTRING (15.5798879 49.6055576, 15.5798947 49.6056322, 15.5799051 49.6057477, 15.5799135 49.6058401, 15.5799338 49.606298, 15.5798937 49.6064267, 15.579814 49.6065029)",,30,,,,
"[1184930564, 24341839]",Dolní,secondary,True,False,138.799,"LINESTRING (15.5798879 49.6055576, 15.579809 49.605133, 15.5797249 49.6047216, 15.5797095 49.6046524, 15.5796772 49.6044962, 15.5796407 49.6043197)",2,30,150,,,
"[381435419, 105331324]",Havlíčkovo náměstí,residential,True,False,140.94899999999998,"LINESTRING (15.579814 49.6065029, 15.5798405 49.606562, 15.5798013 49.607305, 15.579697 49.607306, 15.5793418 49.6073095, 15.5791751 49.6073111, 15.5790875 49.6073119)",,30,,,,
229138258,Dolní,residential,False,False,104.08,"LINESTRING (15.579814 49.6065029, 15.5792911 49.6070852, 15.5790875 49.6073119)",,30,,,,
"[5383210, 130694715]",Dolní,residential,False,True,107.24,"LINESTRING (15.579814 49.6065029, 15.5798937 49.6064267, 15.5799338 49.606298, 15.5799135 49.6058401, 15.5799051 49.6057477, 15.5798947 49.6056322, 15.5798879 49.6055576)",,30,,,,
41987936,Horní,residential,False,False,102.379,"LINESTRING (15.5790875 49.6073119, 15.5790143 49.6073894, 15.5789511 49.6074712, 15.5787816 49.6078425, 15.5786319 49.60818)",,30,,,,
229138258,Dolní,residential,False,True,104.08,"LINESTRING (15.5790875 49.6073119, 15.5792911 49.6070852, 15.579814 49.6065029)",,30,,,,
"[381435418, 30904563]",Havlíčkovo náměstí,residential,True,False,86.568,"LINESTRING (15.5790875 49.6073119, 15.5790777 49.6072401, 15.5790609 49.607193, 15.5788322 49.6065518)",,30,,,,
9666590,Žižkova,secondary,True,False,53.427,"LINESTRING (15.5806174 49.6054718, 15.580224 49.6055193, 15.5798879 49.6055576)",,50,150,,,
5383205,Boženy Němcové,residential,True,False,56.6,"LINESTRING (15.5804556 49.6091631, 15.5803294 49.6086607)",,,,,,
5383203,Štáflova,residential,False,True,166.433,"LINESTRING (15.5804556 49.6091631, 15.5799328 49.6092152, 15.5784558 49.6093602, 15.5783624 49.6093694, 15.5781746 49.609397)",,30,,,,
"[40528933, 1147460022, 1147460021]",U Trojice,residential,False,"[False, True]",129.59,"LINESTRING (15.5804556 49.6091631, 15.5809441 49.6092113, 15.5810924 49.6092259, 15.5817584 49.6095306, 15.5820947 49.6095589)",,,,,,
5383203,Štáflova,residential,False,False,166.433,"LINESTRING (15.5781746 49.609397, 15.5783624 49.6093694, 15.5784558 49.6093602, 15.5799328 49.6092152, 15.5804556 49.6091631)",,30,,,,
30904599,Dobrovského,residential,False,False,28.320999999999998,"LINESTRING (15.5781746 49.609397, 15.5781318 49.6095894, 15.5781176 49.609649)",,,,,,
30909208,Husova,residential,False,True,89.485,"LINESTRING (15.5781746 49.609397, 15.5781034 49.6094009, 15.578024 49.6094053, 15.5775 49.6094083, 15.5769336 49.6093956)",,50,,,,
41987936,Horní,residential,False,True,60.266,"LINESTRING (15.5781746 49.609397, 15.5782022 49.6092644, 15.5783307 49.6088648)",,30,,,,
30909208,Husova,residential,False,False,89.485,"LINESTRING (15.5769336 49.6093956, 15.5775 49.6094083, 15.578024 49.6094053, 15.5781034 49.6094009, 15.5781746 49.609397)",,50,,,,
"[30909208, 1184928222]",Husova,residential,False,True,163.22100000000003,"LINESTRING (15.5769336 49.6093956, 15.5751373 49.6093842, 15.5749715 49.6094127, 15.5748691 49.6094303, 15.5746841 49.6094621)",3,50,,,,
588358426,Beckovského,residential,False,False,32.416,"LINESTRING (15.5769336 49.6093956, 15.5769078 49.6093186, 15.5768383 49.6091107)",,,,,,
5383196,,unclassified,False,False,102.083,"LINESTRING (15.5753809 49.6059706, 15.5754164 49.6058863, 15.5754648 49.6057711, 15.5754845 49.6055299, 15.5755714 49.6054308, 15.575729 49.6052646, 15.5758588 49.6051277)",,,,,,
1184928229,Beckovského,residential,False,False,67.095,"LINESTRING (15.5753809 49.6059706, 15.5755561 49.6059955, 15.575751 49.606466)",,50,,,,
"[5383194, 1184928229]",Beckovského,residential,False,True,118.277,"LINESTRING (15.5753809 49.6059706, 15.5745181 49.6060935, 15.5740783 49.6061561, 15.5740243 49.606172, 15.5737983 49.6062388)",3,50,,,,
30904592,Trčkova,residential,False,False,67.992,"LINESTRING (15.575751 49.606466, 15.5766571 49.6062954)",,,,,,
105326729,Beckovského,residential,True,False,148.36599999999999,"LINESTRING (15.575751 49.606466, 15.5757837 49.6065313, 15.576059 49.6070811, 15.5761173 49.6072287, 15.5762946 49.6076581, 15.5762988 49.6077488)",,30,,,,
1184928229,Beckovského,residential,False,True,67.095,"LINESTRING (15.575751 49.606466, 15.5755561 49.6059955, 15.5753809 49.6059706)",,50,,,,
"[5383194, 1184928229]",Beckovského,residential,False,False,118.277,"LINESTRING (15.5737983 49.6062388, 15.5740243 49.606172, 15.5740783 49.6061561, 15.5745181 49.6060935, 15.5753809 49.6059706)",3,50,,,,
"[37853192, 37853193, 10266879]",Masarykova,primary,False,True,461.299,"LINESTRING (15.5737983 49.6062388, 15.5740105 49.6058484, 15.5743101 49.6054411, 15.5747036 49.6050833, 15.5748605 49.6049455, 15.5749475 49.6048799, 15.5752147 49.6046781, 15.5758521 49.6041894, 15.5765778 49.6036338, 15.5766605 49.6035644, 15.5769152 49.6033338, 15.5770189 49.6032249, 15.5772121 49.6029624, 15.5772553 49.6028957, 15.5773043 49.6028113)",4,50,19;34;150,yes,,
1184928227,Masarykova,primary,False,False,213.392,"LINESTRING (15.5737983 49.6062388, 15.5736901 49.6066892, 15.5737591 49.607207, 15.5738938 49.6076103, 15.5740644 49.6080368, 15.5740994 49.6081242)",4,50,19;34,,,
98600442,,residential,False,False,30.506,"LINESTRING (15.5762988 49.6077488, 15.5764644 49.6077183, 15.576706 49.6076737)",,,,,,
"[1184928228, 30909212]",Havlíčkova,residential,True,False,163.888,"LINESTRING (15.5762988 49.6077488, 15.5745721 49.6080475, 15.5742999 49.6080917, 15.5742467 49.6081003, 15.5740994 49.6081242)",3,50,,,,
5383196,,unclassified,False,True,102.083,"LINESTRING (15.5758588 49.6051277, 15.575729 49.6052646, 15.5755714 49.6054308, 15.5754845 49.6055299, 15.5754648 49.6057711, 15.5754164 49.6058863, 15.5753809 49.6059706)",,,,,,
"[1184928224, 1184928225, 1184928226, 1184928223]",Masarykova,primary,False,False,154.619,"LINESTRING (15.5740994 49.6081242, 15.5741907 49.6083319, 15.5742474 49.6084609, 15.574395 49.6087967, 15.574508 49.6090536, 15.5746841 49.6094621)","['4', '5']",50,19;34,,,
1184928227,Masarykova,primary,False,True,213.392,"LINESTRING (15.5740994 49.6081242, 15.5740644 49.6080368, 15.5738938 49.6076103, 15.5737591 49.607207, 15.5736901 49.6066892, 15.5737983 49.6062388)",4,50,19;34,,,
30776334,Prokopa Holého,residential,False,False,146.459,"LINESTRING (15.5826014 49.6052597, 15.5828191 49.6054035, 15.5840248 49.6061999)",,,,,,
229138262,Žižkova,secondary,False,False,190.139,"LINESTRING (15.5826014 49.6052597, 15.5831141 49.6051357, 15.5841675 49.6048494, 15.5848182 49.6047603, 15.5851022 49.6047616)",2,50,150,,,
797519681,Žižkova,secondary,False,True,81.387,"LINESTRING (15.5826014 49.6052597, 15.5823827 49.6053053, 15.5819781 49.6053426, 15.5817515 49.6053492, 15.5815915 49.6053348, 15.5814898 49.6053257)",2,50,150,,,
