osmid,bridge,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,access,tunnel
"[22745658, 117618142]",yes,125,"['Nový most', 'Ovčárecká']",secondary,70,False,False,445.707,"LINESTRING (15.2076363 50.0282015, 15.2076354 50.0284986, 15.2076567 50.0294064, 15.2076454 50.0303579, 15.2076365 50.0307484, 15.2075204 50.0311603, 15.2073131 50.031613, 15.2070167 50.0321511)",,,,
"[117618142, 48335823]",yes,125,Nový most,secondary,70,False,True,208.30599999999998,"LINESTRING (15.2076363 50.0282015, 15.2076344 50.0280713, 15.2076087 50.0272561, 15.2076778 50.0265458, 15.2077064 50.0263305)",4,,,
24046358,,12557,Veltrubská,tertiary,50,False,False,79.69,"LINESTRING (15.2040179 50.0317553, 15.2039067 50.0318523, 15.2038246 50.0319515, 15.2037756 50.0320445, 15.2036475 50.0324213)",,,,
28999749,,,Brankovická,residential,,False,False,184.376,"LINESTRING (15.2040179 50.0317553, 15.2038936 50.0317758, 15.2037952 50.031792, 15.2036851 50.0318217, 15.2033805 50.0319038, 15.2029002 50.0320468, 15.2016848 50.0324561)",,,,
"[316920689, 29019538]",,12557,Antonína Kaliny,tertiary,,False,True,53.69799999999999,"LINESTRING (15.2040179 50.0317553, 15.204247 50.031604, 15.2044653 50.0314806, 15.2045647 50.0314244)",2,,,
156223669,,125,,secondary,50,False,False,38.143,"LINESTRING (15.2077212 50.0259876, 15.2077064 50.0263305)",4,,,
156223633,,,Kutnohorská,tertiary,,False,False,31.150000000000002,"LINESTRING (15.2077212 50.0259876, 15.2076034 50.0259849, 15.2075167 50.0259829, 15.2073759 50.0260129, 15.2073332 50.0260219, 15.207297 50.0260296)",,,,
203177826,,125,U Křižovatky,secondary,50,False,True,62.272000000000006,"LINESTRING (15.2077212 50.0259876, 15.2077278 50.0259643, 15.2077494 50.0258877, 15.2077543 50.0258637, 15.207779 50.025783, 15.2078736 50.0255893, 15.2079801 50.0254569)",2,,,
9584326,,12557,Na Louži,tertiary,,False,False,45.88,"LINESTRING (15.2069056 50.0324101, 15.206304 50.0322655)",2,,,
156233899,,125,Ovčárecká,secondary,50,False,False,39.649,"LINESTRING (15.2069056 50.0324101, 15.2068584 50.0325451, 15.2068113 50.0327612)",,,,
203177162,,125,Ovčárecká,secondary,70,False,True,29.873,"LINESTRING (15.2069056 50.0324101, 15.206943 50.032323, 15.2070167 50.0321511)",,,,
28534792,,,Riegrova,residential,,False,False,94.241,"LINESTRING (15.195407 50.0260048, 15.1952646 50.0259584, 15.1951853 50.0259405, 15.1950996 50.0259336, 15.194985 50.0259474, 15.1941969 50.026188)",,,,
203182536,,38H,Jaselská,tertiary,50,False,True,55.309,"LINESTRING (15.195407 50.0260048, 15.1955339 50.0258746, 15.195679 50.025748, 15.195806 50.025667, 15.1958853 50.0256167)",2,,,
203177826,,125,U Křižovatky,secondary,50,False,False,62.272,"LINESTRING (15.2079801 50.0254569, 15.2078736 50.0255893, 15.207779 50.025783, 15.2077543 50.0258637, 15.2077494 50.0258877, 15.2077278 50.0259643, 15.2077212 50.0259876)",2,,,
"[316920689, 29019538]",,12557,Antonína Kaliny,tertiary,,False,False,53.698,"LINESTRING (15.2045647 50.0314244, 15.2044653 50.0314806, 15.204247 50.031604, 15.2040179 50.0317553)",2,,,
367680693,,,Jiráskovo náměstí,tertiary,,True,False,24.935,"LINESTRING (15.2045647 50.0314244, 15.2045286 50.0313847, 15.2045195 50.0313271, 15.2045436 50.0312814, 15.2046032 50.03124, 15.2046242 50.0312319)",,roundabout,,
156223669,,125,,secondary,50,False,True,38.143,"LINESTRING (15.2077064 50.0263305, 15.2077212 50.0259876)",4,,,
"[117618142, 48335823]",yes,125,Nový most,secondary,70,False,False,208.306,"LINESTRING (15.2077064 50.0263305, 15.2076778 50.0265458, 15.2076087 50.0272561, 15.2076344 50.0280713, 15.2076363 50.0282015)",4,,,
203179390,,,,secondary_link,,True,False,47.3,"LINESTRING (15.2077064 50.0263305, 15.207567 50.0261355, 15.2075511 50.0261133, 15.2075322 50.0260978, 15.2075033 50.0260828, 15.207297 50.0260296)",,,,
28534468,yes,,Masarykovův most,tertiary,30,False,True,106.649,"LINESTRING (15.2039562 50.0288022, 15.2041908 50.0297494)",2,,,
"[28534468, 864959069]",yes,,"['Masarykovův most', 'Mostní']",tertiary,30,False,"[False, True]",43.04,"LINESTRING (15.2039562 50.0288022, 15.2038777 50.0284978, 15.2038852 50.028466, 15.203911 50.0284227)",2,,,
"[944167067, 32668293]",yes,,Starokolínská,residential,,True,False,227.63899999999998,"LINESTRING (15.2039562 50.0288022, 15.2040501 50.0287872, 15.2041407 50.0287727, 15.2043194 50.0287424, 15.2049523 50.0285816, 15.2053671 50.0284957, 15.2057775 50.0284498, 15.2060496 50.0284412, 15.2065402 50.0284613, 15.2070338 50.0283674)",,,,
28999749,,,Brankovická,residential,,False,False,13.198,"LINESTRING (15.2016848 50.0324561, 15.2015223 50.0325126)",,,,
28999770,,,Za Baštou,residential,,False,False,54.6,"LINESTRING (15.2016848 50.0324561, 15.2014824 50.0319826)",,,,
28999749,,,Brankovická,residential,,False,True,184.376,"LINESTRING (15.2016848 50.0324561, 15.2029002 50.0320468, 15.2033805 50.0319038, 15.2036851 50.0318217, 15.2037952 50.031792, 15.2038936 50.0317758, 15.2040179 50.0317553)",,,,
28534471,,,Mostní,tertiary,,False,False,71.607,"LINESTRING (15.2039343 50.0277862, 15.2039758 50.0282592, 15.2039637 50.0283333, 15.2039389 50.028382, 15.203911 50.0284227)",,,,
28534471,,,Mostní,tertiary,,False,True,88.45200000000001,"LINESTRING (15.2039343 50.0277862, 15.2039074 50.0276137, 15.2038891 50.0274963, 15.2038499 50.0273567, 15.2037874 50.027104, 15.2037547 50.0269997)",,,,
28534493,,,Školská,residential,,False,True,188.88799999999998,"LINESTRING (15.2039343 50.0277862, 15.2042423 50.0277115, 15.2048745 50.0274507, 15.205822 50.027115, 15.2059745 50.0270609, 15.2062437 50.0269655)",,,,
28534471,,,Mostní,tertiary,,False,False,88.452,"LINESTRING (15.2037547 50.0269997, 15.2037874 50.027104, 15.2038499 50.0273567, 15.2038891 50.0274963, 15.2039074 50.0276137, 15.2039343 50.0277862)",,,,
40868009,,,Kutnohorská,residential,,True,False,76.694,"LINESTRING (15.2037547 50.0269997, 15.2035885 50.0270508, 15.202793 50.0273063)",,,,
117617146,,,Politických vězňů,tertiary,,False,True,87.00999999999999,"LINESTRING (15.2037547 50.0269997, 15.2036223 50.0268791, 15.2034332 50.0267353, 15.2029698 50.0264023)",2,,,
"[181173673, 203179479]",,,Kutnohorská,tertiary,,False,True,157.64,"LINESTRING (15.2037547 50.0269997, 15.203929 50.0269484, 15.2041226 50.0268932, 15.2049904 50.0266648, 15.2057912 50.026454)",3,,,
172713010,,,Kutnohorská,residential,,False,False,9.685,"LINESTRING (15.202793 50.0273063, 15.2026707 50.0273439)",,,,
28534470,,,Rubešova,residential,,True,False,95.038,"LINESTRING (15.202793 50.0273063, 15.2028175 50.0273426, 15.2029453 50.0275326, 15.2033365 50.0280864)",,,,
172713010,,,Kutnohorská,residential,,False,True,9.685,"LINESTRING (15.2026707 50.0273439, 15.202793 50.0273063)",,,,
"[216869993, 28534486]",,,"['Parléřova', 'Brandlova']",residential,,True,False,125.234,"LINESTRING (15.2026707 50.0273439, 15.202646 50.0273158, 15.2021574 50.0267592, 15.2015328 50.0268959, 15.201487 50.0269059)",,,,
40868007,,,Kutnohorská,residential,,True,False,62.194,"LINESTRING (15.2018928 50.0275951, 15.2026707 50.0273439)",,,,
40868007,,,Kutnohorská,residential,,True,False,18.845,"LINESTRING (15.2016735 50.0276892, 15.2018245 50.0276219, 15.2018928 50.0275951)",,,,
181173672,,,Karlovo náměstí,residential,,True,False,66.878,"LINESTRING (15.2016735 50.0276892, 15.2017322 50.0277562, 15.2018386 50.027924, 15.2020251 50.0282458)",,,,
28534495,,,Husova,residential,,True,False,97.035,"LINESTRING (15.2033365 50.0280864, 15.2032118 50.0281188, 15.2026429 50.0282021, 15.2022587 50.0282691, 15.2021624 50.0282764, 15.2020251 50.0282458)",,,,
40868017,,,Rubešova,residential,,True,False,62.815,"LINESTRING (15.2033365 50.0280864, 15.2035861 50.028346, 15.2036992 50.0284406, 15.2037129 50.0284457, 15.203737 50.0284479, 15.2037813 50.0284436, 15.203911 50.0284227)",,,,
"[28534496, 28534497]",,,"['Kovářská', 'Zámecká']",residential,,True,False,150.675,"LINESTRING (15.2009211 50.0285272, 15.2008597 50.0286421, 15.2008234 50.0286639, 15.200705 50.0286968, 15.1998111 50.0289449, 15.1995293 50.0284861)",,,,
172713009,,,Karlovo náměstí,residential,,True,False,66.497,"LINESTRING (15.2009211 50.0285272, 15.2006826 50.0281385, 15.2005873 50.027969)",,,,
"[172713008, 28534494]",,,Karlovo náměstí,residential,,True,False,53.676,"LINESTRING (15.2005873 50.027969, 15.2011229 50.0278284, 15.2012847 50.0277894)",,,,
117617146,,,Politických vězňů,tertiary,,False,True,22.894,"LINESTRING (15.2029698 50.0264023, 15.2027415 50.0262578)",2,,,
117617146,,,Politických vězňů,tertiary,,False,False,87.00999999999999,"LINESTRING (15.2029698 50.0264023, 15.2034332 50.0267353, 15.2036223 50.0268791, 15.2037547 50.0269997)",2,,,
28534472,,,Zahradní,residential,,True,False,104.937,"LINESTRING (15.2012528 50.0259735, 15.2014275 50.0259133, 15.2016492 50.0258369, 15.2026213 50.0256403)",,,,
117617146,,,Politických vězňů,tertiary,,False,False,116.703,"LINESTRING (15.2012528 50.0259735, 15.2017367 50.0259622, 15.2018579 50.0259622, 15.2020162 50.0259697, 15.2021699 50.0259962, 15.2023681 50.0260492, 15.2025731 50.0261513, 15.2027415 50.0262578)",2,,,
117617146,,,Politických vězňů,tertiary,,False,True,54.724999999999994,"LINESTRING (15.2012528 50.0259735, 15.2007424 50.0260416, 15.2006315 50.0260564, 15.2005007 50.0260652)",2,,,
800608281,,,Politických vězňů,tertiary,,False,False,24.224,"LINESTRING (15.1992993 50.0265788, 15.1995816 50.0264581)",,,,
28534514,,,Politických vězňů,tertiary,,False,True,96.589,"LINESTRING (15.1992993 50.0265788, 15.1985483 50.0269363, 15.1982116 50.0270948)",,,,
156223664,,,Kmochova,residential,,False,False,69.406,"LINESTRING (15.1992993 50.0265788, 15.1992325 50.0265626, 15.1990091 50.0265741, 15.1986595 50.0266071, 15.1983396 50.0266344)",,,,
197637602,,,Politických vězňů,residential,,False,False,62.484,"LINESTRING (15.1978062 50.0273694, 15.1977753 50.0272783, 15.1978269 50.0270615, 15.1982116 50.0270948)",,,,
