osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,width,access
133284210,468,Ostravská,secondary,50,False,True,69.229,"LINESTRING (18.621926 49.7459081, 18.6218174 49.7459839, 18.6217007 49.7460385, 18.6215949 49.746065, 18.6214082 49.7460783, 18.62105 49.7460829)",,,,
"[891579441, 1087913669, 515295447]",648,Frýdecká,secondary,50,False,True,179.99200000000002,"LINESTRING (18.621926 49.7459081, 18.6215467 49.7456312, 18.6206988 49.7450127, 18.6204661 49.7448405, 18.6203789 49.7447792, 18.620262 49.7446982)",,,,
707586587,,Komorní,residential,,False,False,95.717,"LINESTRING (18.6193748 49.745979, 18.6194509 49.7468384)",,,,
"[234853301, 234855630]",,Tyršova,residential,,False,True,128.387,"LINESTRING (18.6193748 49.745979, 18.619366 49.7458963, 18.6192526 49.7448271)",,,,
701543246,4684,Ostravská,tertiary,50,False,False,120.91999999999999,"LINESTRING (18.6193748 49.745979, 18.6206329 49.7460589, 18.62105 49.7460829)",,,,
29713685,04822,Viaduktová,tertiary,50,False,False,63.686,"LINESTRING (18.6208648 49.7470019, 18.6210466 49.7470764, 18.6214435 49.7472447, 18.6216209 49.7472991)",,,,
29713705,468,Viaduktová,secondary,50,False,True,103.09199999999998,"LINESTRING (18.6208648 49.7470019, 18.62089 49.7469229, 18.621013 49.7463326, 18.62105 49.7460829)",,,,
43345752,468,Karvinská,secondary,50,False,False,160.84799999999998,"LINESTRING (18.6208648 49.7470019, 18.6207304 49.7471467, 18.6205902 49.747285, 18.6195951 49.7481927)",,,,
29713685,04822,Viaduktová,tertiary,50,False,True,63.68600000000001,"LINESTRING (18.6216209 49.7472991, 18.6214435 49.7472447, 18.6210466 49.7470764, 18.6208648 49.7470019)",,,,
29713703,04822,Nádražní,tertiary,50,True,False,105.408,"LINESTRING (18.6216209 49.7472991, 18.622013 49.7467725, 18.6222719 49.7464497)",,,,
331486666,04824,Viaduktová,tertiary,50,True,False,97.655,"LINESTRING (18.6229343 49.7474962, 18.6227748 49.7475049, 18.6225513 49.7474706, 18.621992 49.7473873, 18.6216209 49.7472991)",,,,
29881674,04824,Sokola-Tůmy,tertiary,50,True,False,64.584,"LINESTRING (18.6236122 49.7471207, 18.6234162 49.7472357, 18.6230797 49.7474491, 18.6229343 49.7474962)",,,,
29881682,04824,Hlavní třída,tertiary,,False,False,82.26199999999999,"LINESTRING (18.6236122 49.7471207, 18.6239262 49.7473525, 18.6242909 49.7476216, 18.6243648 49.7476782)",,,,
29713688,,Hlavní třída,tertiary,50,True,False,24.754,"LINESTRING (18.6224338 49.7462109, 18.6224639 49.7462662, 18.6225195 49.7463247, 18.6226112 49.7463994)",,,,
929644526,04822,Nádražní,tertiary,50,False,False,120.523,"LINESTRING (18.6224338 49.7462109, 18.6224937 49.746128, 18.6230634 49.7452064)",,,,
