osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge,junction,width
28900133,Karlova,residential,False,False,294.56399999999996,"LINESTRING (17.3834266 48.9543697, 17.383356 48.9543934, 17.382966 48.9545588, 17.3819701 48.9548678, 17.3814202 48.9550861, 17.3806934 48.9553548, 17.3801094 48.9555494, 17.3799085 48.9556553)",,,,,,
846931619,třída Masarykova,primary,False,False,79.766,"LINESTRING (17.3834266 48.9543697, 17.3835502 48.9544951, 17.3836759 48.954599, 17.3841037 48.9549315)",55,50,,,,
846931619,třída Masarykova,primary,False,True,112.14599999999999,"LINESTRING (17.3834266 48.9543697, 17.3833944 48.9543311, 17.3832149 48.9540882, 17.3830537 48.9538872, 17.3829523 48.9537871, 17.3828778 48.9537228, 17.3828035 48.9536718, 17.3827337 48.9536284, 17.3825714 48.9535494)",55,50,,,,
"[48125043, 44803318]",třída Masarykova,primary,False,False,211.25000000000003,"LINESTRING (17.3765454 48.9498742, 17.376789 48.9499597, 17.3776768 48.9502763, 17.3779356 48.9504091, 17.3781435 48.950536, 17.3786132 48.9508666, 17.3786915 48.9509207, 17.3788238 48.9510121)",55,50,,,,
28900141,Kovářská,residential,False,False,122.77300000000001,"LINESTRING (17.3849044 48.9555777, 17.3848192 48.9556249, 17.384769 48.9556485, 17.3846222 48.9557235, 17.3843243 48.9558756, 17.3839885 48.9560358, 17.3837952 48.9561323, 17.3835616 48.9562418)",,,,,,
846931619,třída Masarykova,primary,False,False,109.797,"LINESTRING (17.3849044 48.9555777, 17.3851766 48.9557979, 17.3858336 48.956354)",55,50,,,,
846931619,třída Masarykova,primary,False,True,92.725,"LINESTRING (17.3849044 48.9555777, 17.3848684 48.9555435, 17.3845932 48.9553203, 17.3844875 48.955235, 17.3842697 48.9550451, 17.3841037 48.9549315)",55,50,,,,
1149994151,náměstí Míru,residential,False,False,12.726,"LINESTRING (17.3834264 48.950446, 17.3833259 48.9505395)",,,,,,
"[663122281, 28760187, 997564764, 677780302]",Stolářská,residential,False,False,107.63399999999999,"LINESTRING (17.3834264 48.950446, 17.3835718 48.9505383, 17.3836976 48.9506145, 17.3838232 48.9506906, 17.3839169 48.9507507, 17.3842709 48.9509779, 17.3843846 48.9510586, 17.3844669 48.95113)",,,,,,
28760192,Komenského,residential,True,False,100.545,"LINESTRING (17.3788238 48.9510121, 17.3788925 48.9509676, 17.3798042 48.9503772)",,,,,,
44803294,třída Masarykova,primary,False,False,127.44200000000001,"LINESTRING (17.3788238 48.9510121, 17.3791959 48.9512936, 17.3793869 48.951438, 17.3795725 48.9515714, 17.3796542 48.9516301, 17.3799848 48.9518677)",55,50,,,,
"[48125043, 44803318]",třída Masarykova,primary,False,True,211.25,"LINESTRING (17.3788238 48.9510121, 17.3786915 48.9509207, 17.3786132 48.9508666, 17.3781435 48.950536, 17.3779356 48.9504091, 17.3776768 48.9502763, 17.376789 48.9499597, 17.3765454 48.9498742)",55,50,,,,
"[28760696, 384946650, 528336000, 528336080]","['náměstí Míru', 'Sokolovská']",residential,True,False,205.71999999999997,"LINESTRING (17.3830731 48.9527872, 17.3830256 48.9527253, 17.3829994 48.9526914, 17.3825022 48.9520267, 17.3824642 48.9519819, 17.3825705 48.951946, 17.3829077 48.9518307, 17.383353 48.9516825, 17.3833927 48.9516698, 17.3837536 48.9515492)",,30,1,,,
171239883,Svatoplukova,primary,False,False,163.205,"LINESTRING (17.3830731 48.9527872, 17.3831264 48.9527733, 17.3835378 48.952644, 17.3844163 48.952368, 17.3849704 48.9522149, 17.3851045 48.952176)",54,,,,,
978688803,Svatoplukova,primary,False,True,38.998000000000005,"LINESTRING (17.3830731 48.9527872, 17.382983 48.9528135, 17.3829226 48.9528312, 17.3825729 48.9529092)",54,50,2,,,
377435667,třída Masarykova,primary,False,False,27.61,"LINESTRING (17.3799848 48.9518677, 17.3802275 48.9520581)",55,50,2,,,
28760810,Za Poštou,residential,False,False,20.356,"LINESTRING (17.3799848 48.9518677, 17.3800317 48.9518436, 17.3800746 48.9518189, 17.3801994 48.9517509)",,30,,,,
44803294,třída Masarykova,primary,False,True,127.44200000000001,"LINESTRING (17.3799848 48.9518677, 17.3796542 48.9516301, 17.3795725 48.9515714, 17.3793869 48.951438, 17.3791959 48.9512936, 17.3788238 48.9510121)",55,50,,,,
"[539858848, 39256260, 543165853]",park Petra Bezruče,residential,False,True,83.63300000000001,"LINESTRING (17.3790248 48.9498262, 17.3792116 48.9499616, 17.3794501 48.9501346, 17.3797641 48.9503484, 17.3798042 48.9503772)",,,,,,
"[28847769, 384990019, 384990020]",Chaloupky,residential,False,"[False, True]",196.278,"LINESTRING (17.384633 48.9547329, 17.3845158 48.9546232, 17.3841092 48.9542951, 17.3839417 48.954133, 17.3839005 48.9540741, 17.3837712 48.9536947, 17.3837383 48.9536221, 17.3833244 48.9535415, 17.383119 48.9534937, 17.383041 48.9534703)",,,,,,
28847950,Hrnčířky,residential,False,False,72.03099999999999,"LINESTRING (17.384633 48.9547329, 17.3847852 48.9546798, 17.3848696 48.9546357, 17.3849518 48.9545743, 17.3850601 48.9544675, 17.3851765 48.9543533, 17.385238 48.9543179, 17.3853112 48.9542778)",,,,,,
28847950,Hrnčířky,residential,False,True,44.516000000000005,"LINESTRING (17.384633 48.9547329, 17.3843539 48.9548349, 17.3841037 48.9549315)",,,,,,
