osmid,name,highway,oneway,reversed,length,maxspeed,geometry,access,bridge,lanes,ref,junction
866726036,Langrova,residential,False,False,13.243,,"LINESTRING (16.9692052 49.9667974, 16.9693521 49.9667249)",,,,,
27101129,nám. Republiky,residential,False,False,133.103,40,"LINESTRING (16.9692052 49.9667974, 16.9693143 49.9669184, 16.9695359 49.9671702, 16.9697265 49.9674004, 16.970105 49.9678451)",,,,,
74502782,Langrova,residential,False,True,55.980000000000004,50,"LINESTRING (16.9692052 49.9667974, 16.9691359 49.9667291, 16.9690704 49.9666784, 16.9690057 49.9666383, 16.9689397 49.9666068, 16.9687935 49.9665412, 16.9686257 49.9664676)",,,,,
74502798,,residential,False,False,23.005000000000003,,"LINESTRING (16.9692052 49.9667974, 16.9690589 49.9668859, 16.9689897 49.9669496)",,,,,
30281361,Okružní,residential,False,True,400.96000000000004,,"LINESTRING (16.9686257 49.9664676, 16.9686747 49.9662617, 16.9687351 49.9660848, 16.9686261 49.9656693, 16.9685291 49.9651426, 16.968514 49.9648694, 16.9685594 49.9646057, 16.9687055 49.9643891, 16.9688809 49.9641716, 16.9694189 49.9636539, 16.9697603 49.9635795, 16.9701422 49.9635255, 16.9702675 49.9634125)",destination,,,,
74502782,Langrova,residential,False,False,55.980000000000004,50,"LINESTRING (16.9686257 49.9664676, 16.9687935 49.9665412, 16.9689397 49.9666068, 16.9690057 49.9666383, 16.9690704 49.9666784, 16.9691359 49.9667291, 16.9692052 49.9667974)",,,,,
"[30281366, 74502805, 74502782]",Langrova,residential,False,True,73.43299999999999,50,"LINESTRING (16.9686257 49.9664676, 16.968506 49.9664245, 16.9684187 49.9663922, 16.9683539 49.9663725, 16.9682591 49.9663436, 16.9681429 49.9663121, 16.9680318 49.9662904, 16.9677484 49.9662431, 16.967673 49.9662324)",,yes,2,,
6553664,Radniční,residential,False,True,90.947,,"LINESTRING (16.9739943 49.965128, 16.9735378 49.9651237, 16.9733462 49.9651286, 16.9731765 49.9651604, 16.9730917 49.9652059, 16.9729644 49.965306, 16.9728508 49.9653529)",,,,,
26228721,M. R. Štefánika,residential,False,False,211.52,,"LINESTRING (16.9739943 49.965128, 16.974051 49.9651199, 16.9740994 49.9650937, 16.974172 49.965004, 16.9741878 49.9649821, 16.9749281 49.9639592, 16.9753074 49.9634434)",,,2,,
60804692,Slovanská,residential,False,False,222.04500000000002,,"LINESTRING (16.9739943 49.965128, 16.9739181 49.9650646, 16.9738912 49.964996, 16.973786 49.9647386, 16.973701 49.9645947, 16.9735388 49.9644498, 16.9729163 49.9640667, 16.9725498 49.9638257, 16.9723962 49.9637188, 16.9723035 49.9636122, 16.9722513 49.9635305)",,,,,
