osmid,ref,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,bridge
50401346,01021,tertiary,30,6.5,False,True,21.61,"LINESTRING (15.4299987 50.7722472, 15.4298178 50.7724043)",,
30968240,,residential,30,,False,True,123.048,"LINESTRING (15.4299987 50.7722472, 15.4301423 50.7722321, 15.4308881 50.7721538, 15.4311937 50.772026, 15.431322 50.7719349, 15.4315141 50.7717984)",,
188340294,01021,tertiary,30,6.5,False,False,190.88099999999997,"LINESTRING (15.4299987 50.7722472, 15.4305303 50.7717638, 15.4307413 50.7716169, 15.4310265 50.7714245, 15.4311748 50.771345, 15.4313458 50.7712818, 15.4315043 50.7712453, 15.4317563 50.7711967, 15.4319708 50.771148)",,
30968243,,residential,30,,False,True,127.333,"LINESTRING (15.4336624 50.7704979, 15.4336925 50.7705295, 15.4337268 50.7705655, 15.4338164 50.7706998, 15.4339135 50.7709803, 15.4339669 50.7713552, 15.4340603 50.7715765, 15.4340716 50.7716034)",,
"[188340294, 188340295]",01021,tertiary,30,6.5,False,False,153.79000000000002,"LINESTRING (15.4336624 50.7704979, 15.4339142 50.770419, 15.434063 50.7703673, 15.4343522 50.7702139, 15.4345833 50.7700725, 15.4347638 50.7699676, 15.4349275 50.7698595, 15.4350249 50.769776, 15.4351283 50.7696647, 15.4352022 50.769556)",2,
188340294,01021,tertiary,30,6.5,False,True,129.04,"LINESTRING (15.4336624 50.7704979, 15.4332339 50.77063, 15.4328899 50.770768, 15.4328313 50.7707915, 15.4325368 50.7709247, 15.4322507 50.7710702, 15.4321112 50.7711089)",,
1173211098,,residential,30,,False,True,62.021,"LINESTRING (15.4336624 50.7704979, 15.4336233 50.7704593, 15.4331865 50.7700283)",,
1173211098,,residential,30,,False,False,62.021,"LINESTRING (15.4331865 50.7700283, 15.4336233 50.7704593, 15.4336624 50.7704979)",,
188340294,01021,tertiary,30,6.5,False,False,10.788,"LINESTRING (15.4319708 50.771148, 15.4321112 50.7711089)",,
188340294,01021,tertiary,30,6.5,False,True,190.88100000000003,"LINESTRING (15.4319708 50.771148, 15.4317563 50.7711967, 15.4315043 50.7712453, 15.4313458 50.7712818, 15.4311748 50.771345, 15.4310265 50.7714245, 15.4307413 50.7716169, 15.4305303 50.7717638, 15.4299987 50.7722472)",,
