osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,bridge,maxspeed,junction
38216662,Nad Šafranicí,residential,False,False,140.824,"LINESTRING (16.8952099 49.5899744, 16.8952065 49.5900058, 16.8952116 49.5900482, 16.8952297 49.5901016, 16.895256 49.5901506, 16.8952794 49.5901894, 16.8954433 49.5903895, 16.8958725 49.5911584)",,,,,
262940228,Zádvoří,secondary,False,False,60.503,"LINESTRING (16.8952099 49.5899744, 16.8951236 49.5899624, 16.8950396 49.589947, 16.8949405 49.5899218, 16.8948625 49.5898952, 16.8944574 49.5897417)",366,,,,
262940228,Zádvoří,secondary,False,True,172.13099999999997,"LINESTRING (16.8927878 49.5901888, 16.8928297 49.5901729, 16.8928666 49.5901502, 16.8929031 49.5901171, 16.8929355 49.5900709, 16.8929629 49.5900268, 16.8929926 49.5899837, 16.8930267 49.5899393, 16.8933223 49.5896111, 16.8933919 49.5895511, 16.8934345 49.5895229, 16.8934754 49.589499, 16.8935359 49.5894801, 16.8935996 49.5894701, 16.8936562 49.5894667, 16.8937129 49.5894683, 16.8937845 49.589478, 16.8938522 49.589496, 16.8939414 49.5895292, 16.894273 49.5896651, 16.8944574 49.5897417)",366,,,,
302511576,Zádvoří,secondary,False,False,37.034000000000006,"LINESTRING (16.8927878 49.5901888, 16.8927099 49.5902078, 16.8926439 49.5902185, 16.8925917 49.5902219, 16.8925248 49.5902206, 16.8924284 49.5902146, 16.8923485 49.5902071, 16.892283 49.5902057)",366,,,,
302511579,,residential,False,True,63.953,"LINESTRING (16.8927878 49.5901888, 16.8928389 49.5902346, 16.8928816 49.5902541, 16.8929335 49.5902677, 16.8930067 49.5902815, 16.8930488 49.5902954, 16.8930794 49.5903092, 16.8931173 49.5903339, 16.8931686 49.5903719, 16.8932412 49.5904115, 16.8933237 49.5904526, 16.8933919 49.5904792, 16.8935024 49.590511)",,,,,
30614853,Karafiátova,tertiary,True,False,244.14099999999996,"LINESTRING (16.8913555 49.590378, 16.8913204 49.5904034, 16.8912739 49.5904583, 16.8909557 49.5908084, 16.890814 49.5909644, 16.8905886 49.5912075, 16.8905264 49.5912728, 16.8904429 49.591354, 16.890372 49.5914149, 16.8903055 49.5914589, 16.890224 49.5915064, 16.8901244 49.5915552, 16.8900286 49.5915936, 16.8899301 49.591619, 16.8898234 49.5916357, 16.8891979 49.5917124, 16.8891416 49.5917173, 16.8890877 49.5917192, 16.8890446 49.5917167, 16.8890143 49.5917131, 16.8889865 49.59171)",36628,,,,
289656264,Švehlova,secondary,False,True,12.026,"LINESTRING (16.8913555 49.590378, 16.8913972 49.5903621, 16.8914344 49.5903509, 16.891508 49.5903353)",366,,,,
4537281,Hřbitovní,secondary,False,True,86.123,"LINESTRING (16.8878 49.5914412, 16.8878525 49.5914463, 16.8879125 49.5914585, 16.8879779 49.5914751, 16.8883939 49.591594, 16.8886309 49.5916664, 16.8887441 49.5917041, 16.8888102 49.5917212, 16.8888547 49.5917271, 16.8889027 49.5917293)",366,,,,
262940198,Husova,secondary,False,False,185.281,"LINESTRING (16.8878 49.5914412, 16.8877543 49.5914413, 16.8876927 49.5914454, 16.8876292 49.5914537, 16.8875581 49.5914676, 16.8874582 49.5914968, 16.8873797 49.5915234, 16.887313 49.5915555, 16.8872541 49.5915868, 16.8871871 49.591627, 16.8871093 49.5916811, 16.8870369 49.5917394, 16.8863131 49.5923834, 16.8862557 49.592424, 16.8861859 49.592463, 16.886133 49.5924886, 16.8860892 49.5925086, 16.8859906 49.5925526)",366,2,,,
"[9816656, 687803954, 257764076, 257764077]",Jiráskova,tertiary,False,False,100.53,"LINESTRING (16.8854436 49.5922249, 16.8854165 49.5921998, 16.8852629 49.5920489, 16.8852058 49.5919846, 16.8851712 49.5919396, 16.8851451 49.5919064, 16.8851154 49.5918624, 16.8850871 49.5918122, 16.8850632 49.5917601, 16.8850394 49.5916985, 16.8849886 49.5915296, 16.8849521 49.5913921)",36620,,yes,,
9816656,Jiráskova,tertiary,False,True,39.187,"LINESTRING (16.8854436 49.5922249, 16.8856729 49.5924471, 16.8857346 49.5925222)",36620,,,,
38216655,Vodní,residential,False,True,247.096,"LINESTRING (16.8854436 49.5922249, 16.8854914 49.5922018, 16.8856483 49.5920865, 16.8860318 49.5917575, 16.8862995 49.5916151, 16.8869308 49.5914079, 16.8870947 49.5912499, 16.8871786 49.59111, 16.8871941 49.5909566, 16.8872185 49.5907163, 16.8872212 49.5905171)",,,,30,
4537281,Hřbitovní,secondary,False,False,86.123,"LINESTRING (16.8889027 49.5917293, 16.8888547 49.5917271, 16.8888102 49.5917212, 16.8887441 49.5917041, 16.8886309 49.5916664, 16.8883939 49.591594, 16.8879779 49.5914751, 16.8879125 49.5914585, 16.8878525 49.5914463, 16.8878 49.5914412)",366,,,,
262940230,Vrchlického,secondary,True,False,6.497,"LINESTRING (16.8889027 49.5917293, 16.8889248 49.5917281, 16.8889523 49.591722, 16.8889865 49.59171)",366,,,,
289656247,Vrchlického,secondary,False,True,197.90800000000002,"LINESTRING (16.8889027 49.5917293, 16.8888817 49.5918567, 16.8888691 49.591958, 16.8888687 49.5919966, 16.8888749 49.5920397, 16.8888932 49.5921058, 16.8889106 49.5921701, 16.8889328 49.5922388, 16.8889724 49.5923404, 16.8890056 49.5924086, 16.8890438 49.5924807, 16.8890826 49.5925416, 16.8891359 49.5926219, 16.8891844 49.5926864, 16.8892376 49.5927538, 16.8893141 49.5928363, 16.8893669 49.592888, 16.8894578 49.5929794, 16.8895638 49.5930798, 16.8897328 49.5932303, 16.8898081 49.5932808, 16.8898805 49.5933289)",373,2,,,
6170015,Tyršova,residential,False,False,68.602,"LINESTRING (16.8898805 49.5933289, 16.889533 49.5936253, 16.889301 49.5938183)",,,,,
289656247,Vrchlického,secondary,False,False,197.90800000000002,"LINESTRING (16.8898805 49.5933289, 16.8898081 49.5932808, 16.8897328 49.5932303, 16.8895638 49.5930798, 16.8894578 49.5929794, 16.8893669 49.592888, 16.8893141 49.5928363, 16.8892376 49.5927538, 16.8891844 49.5926864, 16.8891359 49.5926219, 16.8890826 49.5925416, 16.8890438 49.5924807, 16.8890056 49.5924086, 16.8889724 49.5923404, 16.8889328 49.5922388, 16.8889106 49.5921701, 16.8888932 49.5921058, 16.8888749 49.5920397, 16.8888687 49.5919966, 16.8888691 49.591958, 16.8888817 49.5918567, 16.8889027 49.5917293)",373,2,,,
289656247,Vrchlického,secondary,False,True,44.935,"LINESTRING (16.8898805 49.5933289, 16.8900043 49.5933848, 16.8902053 49.5934479, 16.8903336 49.5934828, 16.8904367 49.5935078)",373,2,,,
6170012,9. května,unclassified,False,True,421.22400000000005,"LINESTRING (16.8904367 49.5935078, 16.8904975 49.5934367, 16.8919345 49.5924447, 16.8922147 49.5922454, 16.8923294 49.5921387, 16.8923934 49.5920407, 16.8924359 49.5918333, 16.8924139 49.5914569, 16.892283 49.5902057)",,,,,
