osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,junction
36932019,Nad Cihelnou,residential,False,False,95.086,"LINESTRING (17.869183 49.0891913, 17.8691605 49.0892081, 17.869133 49.0892266, 17.8690904 49.089253, 17.868206 49.0897582)",,,,
243625250,Luhačovská,secondary,False,False,216.16599999999997,"LINESTRING (17.869183 49.0891913, 17.8693151 49.0892419, 17.8694695 49.0892944, 17.869565 49.0893252, 17.8696712 49.0893552, 17.8698178 49.0893941, 17.8699559 49.0894244, 17.8700863 49.0894535, 17.870238 49.08948, 17.8704012 49.0895048, 17.8706049 49.0895301, 17.8707974 49.0895465, 17.8710176 49.0895559, 17.8712393 49.0895584, 17.8720484 49.0895437)",493,50,,
271070292,Osvobození,secondary,False,False,160.434,"LINESTRING (17.8811871 49.0859484, 17.8810591 49.0860738, 17.8809818 49.0861391, 17.8808861 49.0862147, 17.8808518 49.0862404, 17.8807426 49.0863222, 17.8805909 49.0864228, 17.8803862 49.0865525, 17.8801716 49.0866808, 17.8799468 49.0868115, 17.8798713 49.0868523, 17.8797931 49.0868938, 17.8797213 49.0869287, 17.8796373 49.0869627)",493,50,,
"[36931982, 1214739405, 1214739406]",Spojovací,residential,False,False,81.007,"LINESTRING (17.8811871 49.0859484, 17.8811499 49.0859334, 17.8810981 49.0859182, 17.8803975 49.0857335, 17.8802297 49.0856882, 17.8801625 49.0856661)",,,yes,
"[108352688, 417011498, 396347163]",Osvobození,secondary,False,True,114.06700000000001,"LINESTRING (17.8764027 49.0891205, 17.8767056 49.089009, 17.8769071 49.0889253, 17.8771641 49.0888239, 17.8773491 49.0887281, 17.8774699 49.0886595, 17.877576 49.0885929, 17.8776673 49.0885255)",493,50,yes,
"[396347153, 396347154, 36931985]",Horní náměstí,residential,False,False,32.702000000000005,"LINESTRING (17.8764027 49.0891205, 17.8763476 49.0890604, 17.8763175 49.0890276, 17.8762384 49.0889388, 17.8762003 49.0888867, 17.8761806 49.0888651)",,,yes,
"[396347186, 396347188, 396347189]",náměstí Mezi Šenky,secondary,False,False,197.105,"LINESTRING (17.8764027 49.0891205, 17.8762657 49.0891714, 17.8761099 49.0892247, 17.8759696 49.0892661, 17.8758142 49.0893103, 17.8755819 49.0893614, 17.8753785 49.0893988, 17.8752354 49.0894254, 17.8750604 49.0894497, 17.8748886 49.0894686, 17.8746913 49.0894821, 17.8746035 49.0894871, 17.8744772 49.0894942, 17.873799 49.0895117)",493,50,yes,
199125921,náměstí Mezi Šenky,secondary,False,True,82.842,"LINESTRING (17.873799 49.0895117, 17.873477 49.0895175, 17.8726618 49.0895322)",493,50,,
"[396275459, 396347158, 396347159]",Komenského,tertiary,False,False,247.454,"LINESTRING (17.873799 49.0895117, 17.8738068 49.089656, 17.873809 49.0897029, 17.8738115 49.0897456, 17.8738127 49.0897778, 17.8738672 49.0903572, 17.873884 49.0904992, 17.8739245 49.0907519, 17.8740546 49.0912197, 17.8741959 49.0917178)",4932,50,yes,
"[396347186, 396347188, 396347189]",náměstí Mezi Šenky,secondary,False,True,197.105,"LINESTRING (17.873799 49.0895117, 17.8744772 49.0894942, 17.8746035 49.0894871, 17.8746913 49.0894821, 17.8748886 49.0894686, 17.8750604 49.0894497, 17.8752354 49.0894254, 17.8753785 49.0893988, 17.8755819 49.0893614, 17.8758142 49.0893103, 17.8759696 49.0892661, 17.8761099 49.0892247, 17.8762657 49.0891714, 17.8764027 49.0891205)",493,50,yes,
243625250,Luhačovská,secondary,False,True,216.16600000000003,"LINESTRING (17.8720484 49.0895437, 17.8712393 49.0895584, 17.8710176 49.0895559, 17.8707974 49.0895465, 17.8706049 49.0895301, 17.8704012 49.0895048, 17.870238 49.08948, 17.8700863 49.0894535, 17.8699559 49.0894244, 17.8698178 49.0893941, 17.8696712 49.0893552, 17.869565 49.0893252, 17.8694695 49.0892944, 17.8693151 49.0892419, 17.869183 49.0891913)",493,50,,
"[396347185, 396347187, 1270930969]",náměstí Mezi Šenky,secondary,False,False,44.686,"LINESTRING (17.8720484 49.0895437, 17.8721751 49.089541, 17.8722141 49.0895402, 17.8724565 49.0895353, 17.8726618 49.0895322)",493,50,yes,
"[949831528, 36932014]",K Parku,residential,False,False,152.565,"LINESTRING (17.8720484 49.0895437, 17.8720537 49.0896422, 17.8720536 49.0896877, 17.872052 49.0897063, 17.8720498 49.0897268, 17.8720427 49.0897584, 17.8720233 49.0897992, 17.8719926 49.0898483, 17.8719426 49.0899099, 17.8718862 49.0899639, 17.8716658 49.0901621, 17.871603 49.0902199, 17.8715471 49.0902934, 17.8714314 49.0905458, 17.8713639 49.0908062)",,50,,
36932004,,residential,False,True,66.905,"LINESTRING (17.8776673 49.0885255, 17.877771 49.0885823, 17.8778621 49.0886341, 17.8778944 49.0886574, 17.8779106 49.0886774, 17.8779244 49.0887032, 17.8779389 49.0887454, 17.8779718 49.0888897, 17.877975 49.0889035, 17.8779856 49.08895, 17.8779929 49.0889691, 17.8780055 49.0889883, 17.8780249 49.0890063, 17.8780466 49.0890196, 17.8780709 49.0890325)",,,,
"[108352688, 417011498, 396347163]",Osvobození,secondary,False,False,114.06700000000001,"LINESTRING (17.8776673 49.0885255, 17.877576 49.0885929, 17.8774699 49.0886595, 17.8773491 49.0887281, 17.8771641 49.0888239, 17.8769071 49.0889253, 17.8767056 49.089009, 17.8764027 49.0891205)",493,50,yes,
"[417011498, 396347164, 342339790]",Osvobození,secondary,False,True,140.76500000000001,"LINESTRING (17.8776673 49.0885255, 17.8777744 49.0884358, 17.8778449 49.0883714, 17.8779356 49.0882796, 17.8779806 49.0882282, 17.878218 49.0879325, 17.8782717 49.0878673, 17.8784453 49.0876504, 17.878537 49.0875339, 17.8785837 49.0874813, 17.8786311 49.0874308)",493,50,,
36931978,Dlouhá,residential,False,False,38.448,"LINESTRING (17.8808858 49.0879517, 17.881038 49.0877811, 17.8811491 49.087652)",,,,
515440012,K. Vystrčila,secondary,False,True,124.90899999999999,"LINESTRING (17.8808858 49.0879517, 17.8806696 49.0878577, 17.8805321 49.087802, 17.8803778 49.0877448, 17.8802666 49.0877068, 17.8793873 49.087407)",494,,,
36931982,Spojovací,residential,False,False,102.065,"LINESTRING (17.8801625 49.0856661, 17.8789545 49.0852007)",,,,
"[1214739405, 1214739406, 36931982]",Spojovací,residential,False,True,81.007,"LINESTRING (17.8801625 49.0856661, 17.8802297 49.0856882, 17.8803975 49.0857335, 17.8810981 49.0859182, 17.8811499 49.0859334, 17.8811871 49.0859484)",,,yes,
"[1270930968, 36931993, 417006853]","['Mladotické nábřeží', 'Zámečnická']",residential,False,True,195.263,"LINESTRING (17.8801625 49.0856661, 17.880069 49.0860214, 17.8798411 49.0862388, 17.8797787 49.0862899, 17.879714 49.086334, 17.879556 49.0864192, 17.8789345 49.0866947, 17.8788927 49.086704, 17.8788489 49.0867038, 17.878809 49.0866978, 17.8787719 49.086682, 17.8787084 49.0866372, 17.878692 49.0866257, 17.8785773 49.0865943, 17.8784146 49.0866118)",,,,
36931982,Spojovací,residential,False,True,102.065,"LINESTRING (17.8789545 49.0852007, 17.8801625 49.0856661)",,,,
36931983,L. Výducha,residential,False,False,76.762,"LINESTRING (17.8789545 49.0852007, 17.8785682 49.085843)",,,,
36931983,L. Výducha,residential,False,False,67.175,"LINESTRING (17.8785682 49.085843, 17.8780002 49.086319)",,,,
36931983,L. Výducha,residential,False,True,76.762,"LINESTRING (17.8785682 49.085843, 17.8789545 49.0852007)",,,,
36931998,Úvoz,residential,False,True,111.439,"LINESTRING (17.8785682 49.085843, 17.8775577 49.0850904)",,,,
36931992,,residential,False,True,50.16,"LINESTRING (17.877088 49.0871381, 17.8777057 49.0873377)",,,,
36931983,L. Výducha,residential,False,False,31.14,"LINESTRING (17.877088 49.0871381, 17.8769649 49.0872267, 17.8768444 49.0873112, 17.8767942 49.0873414)",,,,
36931983,L. Výducha,residential,False,True,112.78,"LINESTRING (17.877088 49.0871381, 17.8772077 49.087018, 17.87725 49.0869759, 17.8772986 49.0869276, 17.8773758 49.0868612, 17.8779249 49.0863835, 17.8779619 49.0863509, 17.8780002 49.086319)",,,,
36931983,L. Výducha,residential,False,True,31.14,"LINESTRING (17.8767942 49.0873414, 17.8768444 49.0873112, 17.8769649 49.0872267, 17.877088 49.0871381)",,,,
36931991,K Nábřeží,residential,False,True,66.74000000000001,"LINESTRING (17.8767942 49.0873414, 17.8773074 49.0876945, 17.8773437 49.0877223, 17.8773544 49.0877353, 17.877364 49.0877506, 17.8773684 49.0877682, 17.8773693 49.0877952)",,,,
199125929,Jar. Šály,residential,False,False,97.40400000000001,"LINESTRING (17.8767942 49.0873414, 17.8767512 49.08736, 17.8767177 49.0873693, 17.8766749 49.0873763, 17.876545 49.0873883, 17.8764603 49.0873972, 17.8763843 49.087409, 17.8763261 49.087422, 17.8762626 49.0874397, 17.8762145 49.0874589, 17.8761633 49.0874812, 17.875998 49.0875647, 17.8758055 49.087664, 17.8757482 49.0876987, 17.8757084 49.0877285, 17.8756678 49.0877657)",,,,
199125929,Jar. Šály,residential,False,True,97.40399999999998,"LINESTRING (17.8756678 49.0877657, 17.8757084 49.0877285, 17.8757482 49.0876987, 17.8758055 49.087664, 17.875998 49.0875647, 17.8761633 49.0874812, 17.8762145 49.0874589, 17.8762626 49.0874397, 17.8763261 49.087422, 17.8763843 49.087409, 17.8764603 49.0873972, 17.876545 49.0873883, 17.8766749 49.0873763, 17.8767177 49.0873693, 17.8767512 49.08736, 17.8767942 49.0873414)",,,,
396347152,Horní náměstí,residential,False,True,115.475,"LINESTRING (17.8756678 49.0877657, 17.8756422 49.0877636, 17.8755993 49.0877728, 17.8754968 49.0878262, 17.8752707 49.0879608, 17.8750737 49.0880848, 17.8748577 49.0882265, 17.874684 49.0883297, 17.8746522 49.0883534, 17.8746409 49.0883705, 17.8746382 49.0883871, 17.8746397 49.0884037, 17.874652 49.0884244, 17.8747047 49.0884826)",,,,
396347155,Horní náměstí,residential,False,False,35.562,"LINESTRING (17.8756678 49.0877657, 17.8754858 49.0879628, 17.8754162 49.0880398)",,,,
199125930,Horní náměstí,residential,False,True,66.079,"LINESTRING (17.8748255 49.0884815, 17.8748341 49.0884532, 17.8748487 49.0884269, 17.8748763 49.0884, 17.874918 49.0883656, 17.874977 49.088327, 17.8753717 49.0880689, 17.8754162 49.0880398)",,,,
