osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,junction,access,bridge,tunnel
9822674,Jindřichova,residential,False,True,188.646,"LINESTRING (12.936017 49.4419786, 12.9358728 49.4420169, 12.935742 49.4420561, 12.9355978 49.4421036, 12.9345723 49.4424513, 12.9341687 49.4425388, 12.933614 49.4426112)",,,,,,,
10308723,Šumavská,residential,False,False,256.98,"LINESTRING (12.936017 49.4419786, 12.9360248 49.4420058, 12.9361037 49.442156, 12.9361539 49.442354, 12.936145 49.4424901, 12.9361084 49.4426362, 12.9360392 49.4427674, 12.9359194 49.4428861, 12.9357564 49.4429707, 12.9355547 49.4430453, 12.9340147 49.4434298)",,,,,,,
10308723,Šumavská,residential,False,False,156.90300000000002,"LINESTRING (12.9336142 49.4435813, 12.9325637 49.443604, 12.9319437 49.4435936, 12.9318851 49.4435979, 12.9318262 49.4436089, 12.9314737 49.4436988)",,,,,,,
10308723,Šumavská,residential,False,True,34.641999999999996,"LINESTRING (12.9336142 49.4435813, 12.9336357 49.4435527, 12.9336726 49.4435221, 12.9340147 49.4434298)",,,,,,,
"[816907523, 816907524]",Husova třída,primary,False,True,74.128,"LINESTRING (12.9364284 49.4404461, 12.9360183 49.4406083, 12.9355493 49.4407891)",22,50,,,,,
22954591,Dukelská,primary,False,False,139.986,"LINESTRING (12.9339198 49.4414638, 12.93409 49.4414201, 12.9343001 49.4413406, 12.934512 49.4412462, 12.9348201 49.4411118, 12.9350779 49.4409935, 12.9353104 49.4408951, 12.9354196 49.4408467, 12.9355493 49.4407891)",22,50,2,,,,
22954594,náměstí Svobody,primary,False,True,44.716,"LINESTRING (12.9339198 49.4414638, 12.9337954 49.4414786, 12.9333091 49.4415271)",22,50,2,,,,
967342154,Dukelská,residential,False,True,61.92100000000001,"LINESTRING (12.9339198 49.4414638, 12.9339153 49.441519, 12.9338814 49.4415631, 12.9338518 49.441578, 12.9336316 49.441689, 12.9333136 49.4418237)",,,,,,,
816907521,Prokopa Velikého,secondary,False,False,68.799,"LINESTRING (12.9294987 49.4417625, 12.9295695 49.4419237, 12.929736 49.4423616)",193,50,,,,,
"[1009726473, 816907522, 22954593]",Poděbradova,primary,False,False,260.612,"LINESTRING (12.9294987 49.4417625, 12.9297126 49.441776, 12.9306234 49.441735, 12.9308738 49.4417202, 12.9310434 49.4417114, 12.9311376 49.4417061, 12.9313495 49.4416942, 12.931565 49.441683, 12.9323048 49.4416313, 12.9326595 49.441595, 12.9330814 49.4415463)",22,50,"['2', '3']",,,,
"[924524163, 924524164, 924524165, 924524166, 258840116]",Komenského,primary,False,True,276.13800000000003,"LINESTRING (12.9294987 49.4417625, 12.9293821 49.4417465, 12.9286182 49.441638, 12.9278793 49.4415392, 12.9275206 49.4414994, 12.9273878 49.4414863, 12.9269433 49.44144, 12.926754 49.4413938, 12.9266107 49.4413434, 12.9264459 49.4412409, 12.9262974 49.4411306, 12.9261668 49.4410551, 12.9260008 49.4409592)",22;193,,3,,,,
