osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,lanes,width
1219707719,Pražská,tertiary,False,False,77.226,,"LINESTRING (13.9622628 49.0838257, 13.9625666 49.0844911)",,,
303665042,Pražská,tertiary,False,True,154.82999999999998,1449,"LINESTRING (13.9622628 49.0838257, 13.9625179 49.0837941, 13.9625946 49.0837545, 13.9627077 49.0836395, 13.9632166 49.083241, 13.963797 49.082913)",,,
303665043,Pražská,tertiary,False,True,269.237,,"LINESTRING (13.9622628 49.0838257, 13.962183 49.0837456, 13.9620611 49.0836659, 13.9611999 49.0832588, 13.9603521 49.0828123, 13.9599907 49.0825943, 13.9597896 49.0823366, 13.9597078 49.0822317, 13.9596627 49.082162)",,,
43306745,Holečkova,residential,False,False,113.595,,"LINESTRING (13.9627204 49.0787062, 13.9618631 49.0778528)",,,
371337658,Husova,tertiary,False,False,57.13,,"LINESTRING (13.9627204 49.0787062, 13.962618 49.078793, 13.962446 49.078896, 13.962333 49.078947, 13.96211 49.079016)",,,
"[371337658, 1015048850]",Husova,tertiary,False,"[False, True]",197.997,,"LINESTRING (13.9627204 49.0787062, 13.96292 49.078537, 13.963048 49.078368, 13.9632419 49.0780607, 13.963337 49.07791, 13.9634916 49.0775727, 13.9635217 49.0774912, 13.9635325 49.0774489, 13.9635459 49.0773905, 13.963561 49.0773423, 13.9635667 49.077332, 13.9635778 49.0773133, 13.9635921 49.0772952, 13.9636086 49.077278, 13.9636273 49.0772617, 13.963648 49.0772466, 13.9636707 49.0772327, 13.963695 49.0772201, 13.9637209 49.0772089, 13.9637482 49.0771991, 13.9637766 49.077191, 13.963806 49.0771844, 13.9638361 49.0771795, 13.9638668 49.0771763, 13.9638977 49.0771748)",,,
1221625500,Dlouhá Louka,residential,False,True,28.156,,"LINESTRING (13.9627204 49.0787062, 13.9627453 49.0787599, 13.9628522 49.0788631, 13.9629191 49.0789207)",,,
161768177,Husova,tertiary,False,True,53.727,,"LINESTRING (13.9614416 49.0792204, 13.96211 49.079016)",,,
"[43306744, 161768173]",Kozinova,residential,False,"[False, True]",262.935,,"LINESTRING (13.9614416 49.0792204, 13.9606115 49.0783719, 13.9603856 49.0784111, 13.959739 49.0787293, 13.9595281 49.0788702, 13.9593191 49.0790893, 13.959102 49.079255)",,,
161768177,Husova,tertiary,False,False,79.189,,"LINESTRING (13.9614416 49.0792204, 13.9608778 49.0794013, 13.9606882 49.0794776, 13.9604982 49.0795703)",,,
193919151,Nerudova,tertiary,False,True,8.578,14415,"LINESTRING (13.952968 49.0805091, 13.953063 49.0805547)",,,
"[371337665, 371337666, 303665044]",Purkyňova,residential,False,True,113.46199999999999,,"LINESTRING (13.952968 49.0805091, 13.9529641 49.0804374, 13.9529481 49.0803732, 13.9529343 49.0803173, 13.9526519 49.0800079, 13.9526377 49.0799924, 13.9523939 49.0797244, 13.9522402 49.0796323)",yes,,
30198286,náměstí Svobody,tertiary,False,True,82.09899999999999,14410,"LINESTRING (13.9579462 49.0817501, 13.9581555 49.08162, 13.9584157 49.0814755, 13.9584802 49.0814395, 13.9585729 49.0813877, 13.9588268 49.0812946)",,,
161768157,Nerudova,tertiary,False,True,107.99000000000001,14415,"LINESTRING (13.9579462 49.0817501, 13.9577268 49.0816335, 13.9572876 49.0815131, 13.9566197 49.0813299)",,,
172692371,Komenského,tertiary,False,False,77.12700000000001,14410,"LINESTRING (13.9579462 49.0817501, 13.9578669 49.0818172, 13.9576973 49.0820331, 13.9575086 49.0822846, 13.9574486 49.0823608)",,,
303665046,náměstí Svobody,residential,False,True,135.1,,"LINESTRING (13.9579462 49.0817501, 13.9579901 49.0817833, 13.9580756 49.0818237, 13.9581298 49.0818494, 13.9589984 49.0819649, 13.9596627 49.082162)",,,
30198286,náměstí Svobody,tertiary,False,False,82.09899999999999,14410,"LINESTRING (13.9588268 49.0812946, 13.9585729 49.0813877, 13.9584802 49.0814395, 13.9584157 49.0814755, 13.9581555 49.08162, 13.9579462 49.0817501)",,,
37141412,náměstí Svobody,tertiary,False,False,114.65899999999999,,"LINESTRING (13.9588268 49.0812946, 13.9591232 49.0815524, 13.9592044 49.081623, 13.9593317 49.0817337, 13.9593992 49.0818032, 13.959451 49.0818566, 13.9595536 49.0819846, 13.9596627 49.082162)",,,
161768177,Husova,tertiary,False,True,27.380000000000003,,"LINESTRING (13.9588268 49.0812946, 13.9587995 49.0811659, 13.9588122 49.0810499)",,,
30198287,Vlachova,residential,False,False,130.918,,"LINESTRING (13.9574486 49.0823608, 13.9573845 49.0825256, 13.9573339 49.0827714, 13.9573369 49.0830891, 13.9573494 49.0831942, 13.9574089 49.0833297, 13.9575348 49.0835066)",,,
